Raw	POS	Lemma	Remarks
بارگاهن	NOUN	بارگاه	
بازياب	NOUN	بازياب	
بال	NOUN	بال	
باهين	NOUN	باهي	
بحرِ	NOUN	بحرِ	
بخار	NOUN	بخار	
بدسلوڪي	NOUN	بدسلوڪي	
بدنامي	NOUN	بدنامي	
بربريت	NOUN	بربريت	
بروهي	NOUN	بروهي	
برپا	NOUN	برپا	
بلا	NOUN	بلا	
بلوچستان	NOUN	بلوچستان	
بمبارن	NOUN	بمبار	
بندوبست	NOUN	بندوبست	
بها	NOUN	بها	
بهڻ	NOUN	بهڻ	
بوٿ	NOUN	بوٿ	
بيانن	NOUN	بيان	
بيجنگ	NOUN	بيجنگ	
بيحرمتي	NOUN	بيحرمتي	
بيرڪ	NOUN	بيرڪ	
بيوسيءَ	NOUN	بيوسيءَ	
بيگناهه	NOUN	بيگناهه	
بچاءَ	NOUN	بچاءَ	
بچت	NOUN	بچت	
تاثر	NOUN	تاثر	
تال	NOUN	تال	
تحريڪن	NOUN	تحريڪ	
تحسين	NOUN	تحسين	
تحفو	NOUN	تحفو	
تحقيقن	NOUN	تحقيق	
ترجمن	NOUN	ترجمو	
تسلسل	NOUN	تسلسل	
تصويرن	NOUN	تصوير	
تعزيت	NOUN	تعزيت	
تلاشي	NOUN	تلاشي	
تنقيد	NOUN	تنقيد	
توازن	NOUN	توازن	
توقع	NOUN	توقع	
توهار	NOUN	توهار	
توهين	NOUN	توهان	
تياريون	NOUN	تياري	
تيغو	NOUN	تيغو	
تيل	NOUN	تيل	
تڪليف	NOUN	تڪليف	
ثبوت	NOUN	ثبوت	
ثقافتن	NOUN	ثقافت	
جاسوس	NOUN	جاسوس	
جاسوسي	NOUN	جاسوسي	
جامع	NOUN	جامع	
جانثارن	NOUN	جانثار	
جاندارن	NOUN	جاندار	
جانيون	NOUN	جان	
جاين	NOUN	جاءِ	
جدائي	NOUN	جدائي	
جذبو	NOUN	جذبو	
جرڳو	NOUN	جرڳو	
جماعت	NOUN	جماعت	
جند	NOUN	جند	
جنوريءَ	NOUN	جنوريءَ	
جنگي	NOUN	جنگي	
جهاتيون	NOUN	جهاتي	
جهار	NOUN	جهار	
جهاز	NOUN	جهاز	
جهازن	NOUN	جهاز	
جهوتون	NOUN	جهوت	
جوئر	NOUN	جوئر	
جوائنٽ	NOUN	جوائنٽ	
جوڻيجن	NOUN	جوڻيجو	
جوڻيجو	NOUN	جوڻيجو	
جڳهه	NOUN	جڳهه	
جھيڙو	NOUN	جھيڙو	
حاضري	NOUN	حاضري	
حاضريءَ	NOUN	حاضريءَ	
حامي	NOUN	حامي	
حجت	NOUN	حجت	
حلّوس	NOUN	حلّوس	
حنادي	NOUN	حنادي	
حيرانگي	NOUN	حيرانگي	
حيلا	NOUN	حيلو	
حڪمران	NOUN	حڪمران	
حڪمرانن	NOUN	حڪمران	
حڪومتون	NOUN	حڪومت	
خاتمي	NOUN	خاتمو	
خاصيتن	NOUN	خاصيت	
خاطري	NOUN	خاطري	
خاميون	NOUN	خامي	
خرابي	NOUN	خرابي	
خراج	NOUN	خراج	
خودمختياري	NOUN	خودمختياري	
دائرا	NOUN	دائرو	
دائري	NOUN	دائرو	
داخلا	NOUN	داخلا	
داروغا	NOUN	داروغو	
دايا	NOUN	دايو	
در	NOUN	در	
درخشان	NOUN	درخشان	
درد	NOUN	درد	
درسگاھ	NOUN	درسگاھ	
درگاهه	NOUN	درگاهه	
دستا	NOUN	دستو	
دستاويز	NOUN	دستاويز	
دلدار	NOUN	دلدار	
دماغ	NOUN	دماغ	
دهشتگرديءَ	NOUN	دهشتگرد	
دهشتگرن	NOUN	دهشتگر	
دوا	NOUN	دوا	
دٻاءَ	NOUN	دٻاءَ	
ذات	NOUN	ذات	
ذميوارين	NOUN	ذميوار	
ر	NOUN	ر	
رئيس	NOUN	رئيس	
رئيساڻي	NOUN	رئيساڻو	
رابطي	NOUN	رابطو	
راڄوڻي	NOUN	راڄوڻو	
راڄڙ	NOUN	راڄڙ	
راڳي	NOUN	راڳي	
رجسٽريشن	NOUN	رجسٽريشن	
رشوت	NOUN	رشوت	
رليف	NOUN	رليف	
رنج	NOUN	رنج	
رهائشگاهه	NOUN	رهائشگاهه	
رهاڪن	NOUN	رهاڪو	
رهواسي	NOUN	رهواسي	
روايت	NOUN	روايت	
رول	NOUN	رول	
روپيا	NOUN	روپيا	
روپين	NOUN	روپيو	
روڻيون	NOUN	روڻ	
ريپبلڪن	NOUN	ريپبلڪن	
ريگيلويشن	NOUN	ريگيلويشن	
رُخ	NOUN	رُخ	
رِڍ	NOUN	رِڍ	
رڙين	NOUN	رڙ	
رڪاوٽ	NOUN	رڪاوٽ	
زمينن	NOUN	زمين	
سئو	NOUN	سئو	
سارين	NOUN	ساري	
سانئيم	NOUN	سانئين	
سبيلون	NOUN	سبيلون	
سراغ	NOUN	سراغ	
سنگ	NOUN	سنگ	
سهري	NOUN	سهري	
سهولت	NOUN	سهولت	
سهيلين	NOUN	سهيلي	
سورمي	NOUN	سورمي	
سول	NOUN	سول	
سون	NOUN	سون	
سياح	NOUN	سياح	
سياسيءَ	NOUN	سياسيءَ	
سيل	NOUN	سيل	
سينٽي	NOUN	سينٽي	
سپاهي	NOUN	سپاهي	
سپلاءِ	NOUN	سپلاءِ	
سڄاڻ	NOUN	سڄاڻ	
سچائي	NOUN	سچائي	
سچوئيشن	NOUN	سچوئيشن	
سڪار	NOUN	سڪار	
سڪسز	NOUN	سڪسز	
سگهه	NOUN	سگهه	
سھولتون	NOUN	سھولت	
شئي	NOUN	شئي	
شامي	NOUN	شامي	
شاهدن	NOUN	شاهد	
شاهڪار	NOUN	شاهڪار	
شاهڪارن	NOUN	شاهڪار	
شاگردياڻي	NOUN	شاگردياڻي	
شخصيت	NOUN	شخصي	
شرمندا	NOUN	شرمندو	
شرپسند	NOUN	شرپسند	
شل	NOUN	شل	
شهادت	NOUN	شهادت	
شيءِ	NOUN	شيءِ	
شيـنهـڻ	NOUN	شيـنهـڻ	
شڪاري	NOUN	شڪار	
صاحب	NOUN	صاحب	
صدا	NOUN	صدا	
صديءَ	NOUN	صديءَ	
صفحو	NOUN	صفحو	
صلاحن	NOUN	صلاح	
صوبا	NOUN	صوبا	
ضايع	NOUN	ضايع	
ضياءُ	NOUN	ضياءُ	
طالبان	NOUN	طالبان	
طبلي	NOUN	طبلي	
طوطو	NOUN	طوطو	
طوطِي	NOUN	طوطو	
طوفان	NOUN	طوفان	
عباسي	NOUN	عباسي	
عذاب	NOUN	عذاب	
عزتِ	NOUN	عزتِ	
عمارتن	NOUN	عمارت	
عملي	NOUN	عملي	
عنايتون	NOUN	عنايت	
عه	NOUN	عه	
عورتون	NOUN	عورت	
غريب	NOUN	غريب	
غلطيءَ	NOUN	غلطيء	
فارمس	NOUN	فارمس	
فراهمي	NOUN	فراهمي	
فرشتا	NOUN	فرشتا	
فزڪس	NOUN	فزڪس	
فساد	NOUN	فساد	
فلسطينين	NOUN	فلسطيني	
فنانس	NOUN	فنانس	
فنڊز	NOUN	فنڊز	
فوتي	NOUN	فوتي	
فوتين	NOUN	فوتي	
فوجين	NOUN	فوجي	
فونن	NOUN	فون	
فونون	NOUN	فون	
فوٽيج	NOUN	فوٽيج	
فوڊ	NOUN	فوڊ	
فيلسوفاڻن	NOUN	فيلسوفاڻو	
فيڊر	NOUN	فيڊر	
فڪر	NOUN	فڪر	
قاضي	NOUN	قاضي	
قبر	NOUN	قبر	
قدمن	NOUN	قدم	
قسمن	NOUN	قسم	
قصو	NOUN	قصو	
قومون	NOUN	قوم	
قيادت	NOUN	قيادت	
لائٽ	NOUN	لائٽ	
لازم	NOUN	لازم	
لاشارين	NOUN	لاشاري	
لاڳاپا	NOUN	لاڳاپو	
لفظن	NOUN	لفظ	
ليڪچررن	NOUN	ليڪچر	
لکڻين	NOUN	لکڻي	
مائٽ	NOUN	مائٽ	
ماتحت	NOUN	ماتحت	
ماريو	NOUN	مار	
ماپ	NOUN	ماپ	
ماڊل	NOUN	ماڊل	
ماڙي	NOUN	ماڙي	
متاثرين	NOUN	متاثر	
مجرم	NOUN	مجرم	
مجلس	NOUN	مجلس	
مجلسن	NOUN	مجلس	
محافظن	NOUN	محافظ	
محبان	NOUN	محب	
محبوب	NOUN	محبوب	
محمد	NOUN	محمد	
مدرسن	NOUN	مدرسو	
مدو	NOUN	مدو	
مراد	NOUN	مراد	
مرضيءَ	NOUN	مرضيءَ	
مريدن	NOUN	مريد	
مسافر	NOUN	مسافر	
مسمات	NOUN	مسمات	
مشاورت	NOUN	مشاورت	
مشنري	NOUN	مشنري	
مشورا	NOUN	مشورو	
مطالبو	NOUN	مطالبو	
معاملو	NOUN	معاملو	
معاهدو	NOUN	معاهدو	
معطل	NOUN	معطل	
معمول	NOUN	معمول	
مقام	NOUN	مقام	
مقتول	NOUN	مقتول	
ملرز	NOUN	ملر	
ملز	NOUN	مل	
ملن	NOUN	مل	
ملڪيت	NOUN	ملڪيت	
ممڪن	NOUN	ممڪن	
منتقل	NOUN	منتقل	
منصوبن	NOUN	منصوبو	
منطق	NOUN	منطق	
منظرن	NOUN	منظر	
منعقد	NOUN	منعقد	
مهربانيءَ	NOUN	مهربانيءَ	
مهرو	NOUN	مهرو	
مهماني	NOUN	مهماني	
مهندارن	NOUN	مهندار	
مهيا	NOUN	مهيا	Review needed
موبائيل	NOUN	موبائيل	
موضوع	NOUN	موضوع	
مولانا	NOUN	مولانا	
موٽ	NOUN	موٽ	
موڙ	NOUN	موڙ	
موڙي	NOUN	موڙي	
مير	NOUN	مير	
ميرخان	NOUN	ميرخان	
ميلز	NOUN	ميلز	
ميمبر	NOUN	ميمبر	
ميڊيڪل	NOUN	ميڊيڪل	
مڙسس	NOUN	مڙس	
مڙسن	NOUN	مڙس	
مڙهه	NOUN	مڙهه	
نائب	NOUN	نائب	
نامه	NOUN	نامو	
ناڪابندي	NOUN	ناڪابندي	
نشتر	NOUN	نشتر	
نشر	NOUN	نشر	
نظرثاني	NOUN	نظرثاني	
نظرين	NOUN	نظريو	
نظريو	NOUN	نظريو	
نفس	NOUN	نفس	
نماڻي	NOUN	نماڻو	
نمبر	NOUN	نمبر	
نواب	NOUN	نواب	
نواز	NOUN	نواز	
نوٽيس	NOUN	نوٽيس	
نياڻين	NOUN	نياڻي	
نيٽ	NOUN	نيٽ	
نيڪالي	NOUN	نيڪالي	
نگهباني	NOUN	نگهباني	
هارمونيم	NOUN	هارمونيم	
هاري	NOUN	هاري	
هاڃيڪار	NOUN	هاڃيڪار	
هاڪ	NOUN	هاڪ	
هـَـرن	NOUN	هـَـر	
هليو	NOUN	هليو	
هنڌن	NOUN	هنڌ	
هول	NOUN	هول	
هوڪرا	NOUN	هوڪرو	
هٽي	NOUN	هٽي	
هٿيارن	NOUN	هٿيار	
هڪل	NOUN	هڪل	
واحد	NOUN	واحد	
واسطي	NOUN	واسطو	
واقعا	NOUN	واقعو	
واهي	NOUN	واهي	
وايون	NOUN	وائي	
واڳ	NOUN	واڳ	
ور	NOUN	ور	
ورجاءُ	NOUN	ورجاءُ	
ورهاست	NOUN	ورهاست	
ورڪ	NOUN	ورڪ	
وزن	NOUN	وزن	
وستين	NOUN	وستي	
وسيلي	NOUN	وسيلو	
وسڪاري	NOUN	وسڪارو	
وضاحت	NOUN	وضاحت	
وفات	NOUN	وفات	
وقار	NOUN	وقار	
ونگار	NOUN	ونگار	
وهاب	NOUN	وهاب	
ويراڳ	NOUN	ويراڳ	
وٿ	NOUN	وٿ	
وڌ	NOUN	وڌ	
وڏيرن	NOUN	وڏيرو	
وکر	NOUN	وکر	
يوسي	NOUN	يوسي	
يونين	NOUN	يونين	
َدير	NOUN	َدير	
ٺهراءُ	NOUN	ٺهراءُ	
ٺيڪ	NOUN	ٺيڪ	
ٻارڙا	NOUN	ٻارڙو	
ٻارڙيون	NOUN	ٻارڙي	
ٻال	NOUN	ٻال	
ٻرڙو	NOUN	ٻرڙو	
ٻولهه	NOUN	ٻولهه	
ٽائيٽل	NOUN	ٽائيٽل	
ٽانڪ	NOUN	ٽانڪ	
ٽرئفڪ	NOUN	ٽرئفڪ	
ٽريڪ	NOUN	ٽريڪ	
ٽورنامينٽ	NOUN	ٽورنامينٽ	
ٽوڪون	NOUN	ٽوڪون	
ٽيليفون	NOUN	ٽيليفون	
ٽيليويزن	NOUN	ٽيليويزن	
ٽيليڪام	NOUN	ٽيليڪام	
ٽُٻي	NOUN	ٽُٻي	
پابندين	NOUN	پابندي	
پارٽيسپيشن	NOUN	پارٽيسپيشن	
پارٽين	NOUN	پارٽين	
پارڪ	NOUN	پارڪ	
پانڌيئڙن	NOUN	پانڌيئڙو	
پبلڪ	NOUN	پبلڪ	
پتو	NOUN	پتو	
پتڻ	NOUN	پتڻ	
پد	NOUN	پد	
پرائيويٽ	NOUN	پرائيويٽ	
پرزي	NOUN	پرزو	
پرسنلٽي	NOUN	پرسنلٽي	
پروفارما	NOUN	پروفارما	
پروفيسرن	NOUN	پروفيسر	
پريس	NOUN	پريس	
پلئه	NOUN	پلئه	
پلاٽ	NOUN	پلاٽ	
پليجو	NOUN	پليجو	
پهرن	NOUN	پهر	
پهلو	NOUN	پهلو	
پور	NOUN	پور	
پيرا	NOUN	پير	
پيماني	NOUN	پيمانو	
پيهي	NOUN	پيهي	
پيٽرياس	NOUN	پيٽرياس	
پيڙا	NOUN	پيڙو	
پيڙائيءَ	NOUN	پيڙائيءَ	
پيڪيج	NOUN	پيڪيج	
پٺ	NOUN	پٺ	
پٺڀرائي	NOUN	پٺڀرائي	
پڙهندڙن	NOUN	پڙهنندڙ	Review needed
پڪي	NOUN	پڪو	
ٿرڊ	NOUN	ٿرڊ	
ٿنڀا	NOUN	ٿنڀو	
ڀارت	NOUN	ڀارت	
ڀاڄ	NOUN	ڀاڄ	
ڀاڙا	NOUN	ڀاڙو	
ڀليڪار	NOUN	ڀليڪار	
چنا	NOUN	چنو	
چور	NOUN	چور	
چيڪنگ	NOUN	چيڪنگ	
چَهيءَ	NOUN	چَهي	
ڇاپا	NOUN	ڇاپا	
ڇتين	NOUN	ڇت	
ڇوڪرين	NOUN	ڇوڪر	
ڊائريڪٽر	NOUN	ڊائريڪٽر	
ڊائنوسورز	NOUN	ڊائنوسار	
ڊالرن	NOUN	ڊالر	
ڊاڪٽرن	NOUN	ڊاڪٽر	
ڊاڪٽرياڻي	NOUN	ڊاڪٽرياڻي	
ڊسٽرڪٽ	NOUN	ڊسٽرڪٽ	
ڊسپوزل	NOUN	ڊسپوزل	
ڊفينس	NOUN	ڊفينس	
ڊويزنن	NOUN	ڊويزن	
ڌاڙا	NOUN	ڌاڙو	
ڌڙڪ	NOUN	ڌڙڪ	
ڌڻ	NOUN	ڌڻ	
ڌڻين	NOUN	ڌڻي	
ڏاهن	NOUN	ڏاهو	
ڏاڍائي	NOUN	ڏاڍ	
ڏاڙهي	NOUN	ڏاڙهي	
ڏنڊ	NOUN	ڏنڊ	
ڏوهه	NOUN	ڏوهه	
ڏير	NOUN	ڏير	
ڏکيائي	NOUN	ڏکيائي	
ڏکڻ	NOUN	ڏکڻ	
ڦيرا	NOUN	ڦيرو	
کاتو	NOUN	کاتو	
کانڀاڻي	NOUN	کانڀاڻ	
کوسو	NOUN	کوسو	
کونهارو	NOUN	کونهارو	
کوهه	NOUN	کوهه	
کيپ	NOUN	کيپ	
ڪابينا	NOUN	ڪابينا	
ڪاررواين	NOUN	ڪارروائي	
ڪارنهن	NOUN	ڪارنهن	
ڪاروائي	NOUN	ڪاروائي	
ڪارٽون	NOUN	ڪارٽ	
ڪارڊ	NOUN	ڪارڊ	
ڪاميٽيون	NOUN	ڪاميٽي	
ڪانٽن	NOUN	ڪانٽو	
ڪاپيءَ	NOUN	ڪاپيءَ	
ڪاٿي	NOUN	ڪاٿي	
ڪتن	NOUN	ڪتو	
ڪرمپور	NOUN	ڪرمپور	
ڪرڪ	NOUN	ڪرڪ	
ڪرڪيٽ	NOUN	ڪرڪيٽ	
ڪرڪيٽر	NOUN	ڪرڪيٽر	
ڪشمير	NOUN	ڪشمير	
ڪـُن	NOUN	ڪـُن	
ڪمپنين	NOUN	ڪمپني	
ڪمپيوٽر	NOUN	ڪمپيوٽر	
ڪوتاھيون	NOUN	ڪوتاھ	
ڪيسن	NOUN	ڪيسو	
ڪيمرائون	NOUN	ڪيمرا	
ڪيمپن	NOUN	ڪيمپ	
ڪٽ	NOUN	ڪٽ	
گادي	NOUN	گادي	
گاڏي	NOUN	گاڏي	
گند	NOUN	گند	
گهارا	NOUN	گهارو	
گهاري	NOUN	گهار	
گهرائي	NOUN	گهرو	
گهڙين	NOUN	گهڙي	
گورنمينٽ	NOUN	گورنمينٽ	
گيسٽ	NOUN	گيسٽ	
گڊگورننس	NOUN	گڊگورننس	
ڳچيءَ	NOUN	ڳچي	
ڳڙهه	NOUN	ڳڙهه	
ھارين	NOUN	ھاري	
1	NUM	1	
11	NUM	11	
120	NUM	120	
14	NUM	14	
16	NUM	16	
1954ع	NUM	1954ع	
1998ع	NUM	1998ع	
23	NUM	23	
250	NUM	250	
254	NUM	254	
33	NUM	33	
35	NUM	35	
42	NUM	42	
55	NUM	55	
60	NUM	60	
600	NUM	600	
62	NUM	62	
800	NUM	800	
B.T	NUM	B.T	Review Needed
اڍائي	NUM	اڍائي	Review Needed
زخمي	NUM	زخمي	Review Needed
سٺ	NUM	سٺ	
هون	NUM	هون	
هين	NUM	هين	
ويهه	NUM	ويهه	
ڇهه	NUM	ڇهه	
بي	PART	بي	
سهي	PART	سهي	
نٿي	PART	نٿي	
ِئي	PART	ِئي	
اُها	PRON	اُها	
توسان	PRON	توسان	
تڏهن	PRON	تڏهن	
جهڙو	PRON	جهڙو	
جڏهن	PRON	جڏهن	
خود	PRON	خود	
سا	PRON	سا	
مٿن	PRON	مٿن	Review Needed
هُو	PRON	هُو	
پاڻهي	PRON	پاڻ	
پنھنجا	PRON	پنھنجو	
ڪجهه	PRON	ڪجهه	
Eircom	PROPN	Eircom	
IRA	PROPN	IRA	
آئرش	PROPN	آئرش	
آئرڪام	PROPN	آئرڪام	
آمر	PROPN	آمر	
ابو	PROPN	ابو	
اتر	PROPN	اتر	
احسن	PROPN	احسن	
ارب	PROPN	ارب	
اسرائيل	PROPN	اسرائيل	
اقبال	PROPN	اقبال	
الدين	PROPN	الدين	
الشيخ	PROPN	الشيخ	
العلوم	PROPN	العلوم	
الياس	PROPN	الياس	
انور	PROPN	انور	
انگلنڊ	PROPN	انگلنڊ	
اوباما	PROPN	اوباما	
اوما	PROPN	اوما	
اوڍو	PROPN	اوڍو	
ايڊمرل	PROPN	ايڊمرل	
اپريل	PROPN	اپريل	
اڪرم	PROPN	اڪرم	
