Text	POS	Lemma	
واقع	ADJ	واقع	
ويچارو	ADJ	ويچارو	
ويڳاڻو	ADJ	ويڳاڻو	
وچولي	ADJ	وچولو	
ٻاهرين	ADJ	ٻاهريون	
ٽريڪ	ADJ	ٽريڪ	
ٽنگيل	ADJ	ٽنگيل	
ٽيو	ADJ	ٽيو	
پراڻا	ADJ	پراڻو	
پوريون	ADJ	پوري	
ڀلو	ADJ	ڀلو	
ڀلي	ADJ	ڀلو	
ڀڳ	ADJ	ڀڳ	
ڀڳل	ADJ	ڀڳل	
ڄاڻايل	ADJ	ڄاڻايو	
چئن	ADJ	چئو	
چئني	ADJ	چئن	
چار	ADJ	چار	
چالاڪ	ADJ	چالاڪ	
چوٿين	ADJ	چوٿون	
ڇتو	ADJ	ڇتو	
کيرا	ADJ	کيرو	
ڪمبخت	ADJ	ڪمبخت	
ڪچو	ADJ	ڪچو	
ڪڙڪيدار	ADJ	ڪڙڪيدار	
گم	ADJ	گم	
گهاٽي	ADJ	گهاٽو	
گيدي	ADJ	گيدي	
گڊ	ADJ	گڊ	
الاجي	ADP	الاجي	
بدران	ADP	بدران	
بنان	ADP	بنا	
حوالي	ADP	حوالي	
دا	ADP	دا	
رمطابق	ADP	رمطابق	Seems Spelling mistake
زده	ADP	زده	
ساڻن	ADP	ساڻو	
سوڌو	ADP	سوڌو	
سوڌوُ	ADP	سوڌو	
متعلق	ADP	متعلق	
منجهانئس	ADP	منجهان	
هين	ADP	هين	
وچ	ADP	وچ	
ڀلا	ADP	ڀلو	
ڄڻ	ADP	ڄڻ	
کانئس	ADP	کان	
آخر	ADV	آخر	
ائين	ADV	ائين	
ابتڙ	ADV	ابتڙ	
اجهو	ADV	اجهو	
اندران	ADV	اندر	
اڃاسو	ADV	اڃاسو	
اڳيئي	ADV	اڳي	
جهٽ	ADV	جهٽ	
خوب	ADV	خوب	
سرعام	ADV	سرعام	
سلهاڙجي	ADV	سلهاڙجي	
سلهاڙيل	ADV	سلهاڙيل	
سڌو	ADV	سڌو	
سگهو	ADV	سگهو	
مسين	ADV	مسين	
ملي	ADV	مل	
مٿس	ADV	مٿي	
مٿن	ADV	مٿي	
مٿين	ADV	مٿي	
هـُـنهين	ADV	هـــونئن	
هيٺين	ADV	هيٺ	
هيڪاري	ADV	هيڪارو	
ورهوڪو	ADV	ورهوڪو	
ويجها	ADV	ويجهو	
پروڪو	ADV	پروڪو	
پرڀرو	ADV	پرڀرو	
پٽ	ADV	پٽ	
ڀر	ADV	ڀر	
ڌڙم	ADV	ڌڙم	
ڪاڏي	ADV	ڪاڏي	
ڪيڏانهن	ADV	ڪيڏانهن	
ڪڍ	ADV	ڪڍ	
جنهنڪري	CCONJ	جنهنڪري	
جي	CCONJ	جي	
ڪي	CCONJ	ڪي	
تباهي	DET	تباهي	Seem incorrect UPOS
جهڙي	DET	جهڙو	
مان	DET	مان	
خبردار	INTJ	خبردار	
چڱو	INTJ	چڱو	
ڙي	INTJ	ڙي	
آئنده	NOUN	آئنده	
آئيندي	NOUN	آئيندو	
آرمري	NOUN	آرمري	
آرٽيڪل	NOUN	آرٽيڪل	
آزادي	NOUN	آزادي	
آساني	NOUN	آساني	
آستان	NOUN	آستان	
آسرو	NOUN	آسرو	
آفتن	NOUN	آفت	
آکاڻي	NOUN	آکاڻي	
آکاڻيءَ	NOUN	آکاڻي	
آکاڻيون	NOUN	آکاڻي	
اثاثن	NOUN	اثاثو	
ارمان	NOUN	ارمان	
اسٽاپ	NOUN	اسٽاپ	
اسٽيشن	NOUN	اسٽيشن	
اشو	NOUN	اشو	
اصل	NOUN	اصل	
اصلاح	NOUN	اصلاح	
اصلاحات	NOUN	اصلاح	
اطمينان	NOUN	اطمينان	
اعتراض	NOUN	اعتراض	
الرا	NOUN	الرا	
انٽرنيشنل	NOUN	انٽرنيشنل	
انڊس	NOUN	انڊس	
انگهو	NOUN	انگهو	
اوسي	NOUN	اوسي	
اوسيڙي	NOUN	اوسيڙو	
اونائي	NOUN	اونائي	
اونايون	NOUN	اونائي	
اوهان	NOUN	اوهان	This should be PRON
اوور	NOUN	اوور	
اوڏانهن	NOUN	اوڏانهن	
اوڳاهي	NOUN	اوڳاهي	
ايز	NOUN	ايز	
اُتان	NOUN	اُتي	Should be ADV 
اُڃ	NOUN	اُڃ	
اٿارٽي	NOUN	اٿارٽي	
اڪائونٽنگ	NOUN	اڪائونٽنگ	
اڳوڻي	NOUN	اڳوڻو	
بت	NOUN	بت	
بجاراڻي	NOUN	بجاراڻي	
بدمعاشي	NOUN	بدمعاشي	
برطانيا	NOUN	برطانيا	
بـُـل	NOUN	بـُـل	
بلو	NOUN	بلو	
بلوچ	NOUN	بلوچ	
بندر	NOUN	بندر	
بنڊ	NOUN	بنڊ	
بنگلو	NOUN	بنگلو	
بهادر	NOUN	بهادر	
بهلڪاڻي	NOUN	بهلڪاڻي	
بينچ	NOUN	بينچ	
بيهڻ	NOUN	بيهڻ	
بچائي	NOUN	بچا	
تائيد	NOUN	تائيد	
تازا	NOUN	تازا	
تجويز	NOUN	تجويز	
ترقياتي	NOUN	ترقياتي	
تصديق	NOUN	تصديق	
تعاون	NOUN	تعاون	
تعلقن	NOUN	تعلقو	
تعلقو	NOUN	تعلقو	
تـرڪـڻ	NOUN	تـرڪـڻ	
تقريب	NOUN	تقريب	
تلاءَ	NOUN	تلاءَ	
تلاءُ	NOUN	تلاءُ	
تلاش	NOUN	تلاش	
تماشي	NOUN	تماشو	
تند	NOUN	تند	
توبهه	NOUN	توبهه	
تيزي	NOUN	تيزي	
تڙڀيڙ	NOUN	تڙڀيڙ	
تڪن	NOUN	تڪ	
ثابتي	NOUN	ثابتي	
جاگير	NOUN	جاگير	
جتوئي	NOUN	جتوئي	
جذبي	NOUN	جذبو	
جلسو	NOUN	جلسو	
جمال	NOUN	جمال	
جمع	NOUN	جمع	
جمعو	NOUN	جمعو	
جهنڊو	NOUN	جهنڊو	
جهٽ	NOUN	جهٽ	
جهڳا	NOUN	جهڳو	
جوئي	NOUN	جوئي	
جوانن	NOUN	جوان	
جوڻيجا	NOUN	جوڻيجو	
حاڪم	NOUN	حاڪم	
حرڪت	NOUN	حرڪت	
حساس	NOUN	حساس	
حفاظت	NOUN	حفاظت	
حلف	NOUN	حلف	
حياتيءَ	NOUN	حياتيءَ	
خراب	NOUN	خراب	
خطرو	NOUN	خطرو	
خلل	NOUN	خلل	
خواجا	NOUN	خواجو	
خواهش	NOUN	خواهش	
خواهشون	NOUN	خواهش	
خوبي	NOUN	خوبي	
خود	NOUN	خود	
خيما	NOUN	خيمو	
داخل	NOUN	داخل	
داس	NOUN	داس	
درآمد	NOUN	درآمد	
دراني	NOUN	دراني	
درجي	NOUN	درجو	
درخواستن	NOUN	درخواست	
دروازن	NOUN	دروازو	
دعا	NOUN	دعا	
دلجاءِ	NOUN	دلجاءِ	
دم	NOUN	دم	
دمدمي	NOUN	دمدمي	
دولاب	NOUN	دولاب	
دُٻي	NOUN	دُٻو	
دٻجي	NOUN	دٻجي	may be a noun
دڳُ	NOUN	دڳُ	
ذميوار	NOUN	ذميوار	
رباني	NOUN	رباني	
رستم	NOUN	رستم	
رسيون	NOUN	رسو	
رضاڪارن	NOUN	رضاڪار	
رعب	NOUN	رعب	
رفتار	NOUN	رفتار	
رمارڪس	NOUN	رمارڪ	
رهواسين	NOUN	رهواسي	
روايتون	NOUN	روايت	
روڊن	NOUN	روڊ	
روڪي	NOUN	روڪ	
ريلو	NOUN	ريلو	
ريڙهه	NOUN	ريڙهه	
رُوڙ	NOUN	رُوڙ	
رِڍَ	NOUN	رِڍَ	
رٽائرمينٽ	NOUN	رٽائرمينٽ	
رکڻي	NOUN	رکڻي	
زلزلي	NOUN	زلزلو	
زنانا	NOUN	زنانو	
ساند	NOUN	ساند	
سانگي	NOUN	سانگي	
ساڄي	NOUN	ساڄو	
سبزوئي	NOUN	سبزوئي	
ستين	NOUN	ست	
سرائي	NOUN	سرائي	
سرندي	NOUN	سرندو	
سرٽيفڪيٽ	NOUN	سرٽيفڪيٽ	
سرگرمين	NOUN	سرگرمي	
سرگرميون	NOUN	سرگرمي	
سعيو	NOUN	سعيو	
سفارتي	NOUN	سفارتي	
سفارش	NOUN	سفارش	
سلامتيءَ	NOUN	سلامتيءَ	
سلطان	NOUN	سلطان	
سندراڻي	NOUN	سندراڻي	
سهي	NOUN	سهي	
سومرا	NOUN	سومرو	
سونهارو	NOUN	سونهارو	
سونٽيون	NOUN	سونٽي	
سويرو	NOUN	سويرو	
سيلنگ	NOUN	سيلنگ	
سيٺار	NOUN	سيٺار	
سيڪشن	NOUN	سيڪشن	
سٽي	NOUN	سٽي	
سچل	NOUN	سچل	
سڌو	NOUN	سڌو	
سکپور	NOUN	سکپور	
سڪل	NOUN	سڪل	
شهلياڻي	NOUN	شهلياڻي	
شوق	NOUN	شوق	
شيهن	NOUN	شيھن	
شيهي	NOUN	شيهو	
صفحا	NOUN	صفحو	
طئي	NOUN	طئي	
طرفن	NOUN	طرف	
طريقيڪا	NOUN	طريقيڪا	spelling mistake
طلب	NOUN	طلب	
عام	NOUN	عام	
عدليا	NOUN	عدليا	
علائقائي	NOUN	علائقو	
عمرون	NOUN	عمر	
غار	NOUN	غار	
غوث	NOUN	غوث	
غوثپور	NOUN	غوثپور	
فجر	NOUN	فجر	
فراهم	NOUN	فراهم	
فلو	NOUN	فلو	
فوٽ	NOUN	فوٽ	
فيصلي	NOUN	فيصلو	
فٽ	NOUN	فٽ	
قانونسازي	NOUN	قانونسازي	
لئيءَ	NOUN	لئيءَ	
لائبريري	NOUN	لائبريري	
لاشن	NOUN	لاش	
لال	NOUN	لال	
لاٿ	NOUN	لاٿ	
لاڻيءَ	NOUN	لاڻيءَ	
لقب	NOUN	لقب	
لقمو	NOUN	لقمو	
لوڪ	NOUN	لوڪ	
لڏ	NOUN	لڏ	
لکي	NOUN	لکي	
لکين	NOUN	لک	
مئنيجمينٽ	NOUN	مئنيجمينٽ	
مار	NOUN	مار	
ماسٽر	NOUN	ماسٽر	
مال	NOUN	مال	
مانيءَ	NOUN	ماني	
متاع	NOUN	متاع	
متعلق	NOUN	متعلق	
محلي	NOUN	محلي	
مختص	NOUN	مختص	
مرزا	NOUN	مرزا	
مريد	NOUN	مريد	
مزو	NOUN	مزو	
مستحڪم	NOUN	مستحڪم	
مستي	NOUN	مستي	
مسلسل	NOUN	مسلسل	may be ADV
مشروط	NOUN	مشروط	
مصيبت	NOUN	مصيبت	
مطمئن	NOUN	مطمئن	
معجزو	NOUN	معجزو	
معززين	NOUN	معزز	
مـوتي	NOUN	مـوتي	
مقابلو	NOUN	مقابلو	
مقاصد	NOUN	مقصد	
مقدس	NOUN	مقدس	
مقرري	NOUN	مقرري	
ملازمن	NOUN	ملازم	
ملتوي	NOUN	ملتوي	
مملڪت	NOUN	مملڪت	
من	NOUN	من	
مندر	NOUN	مندر	
منصوبا	NOUN	منصوبو	
منصوبي	NOUN	منصوبو	
منٿون	NOUN	منٿ	
مهر	NOUN	مهر	
مهم	NOUN	مهم	
موتي	NOUN	موتي	
موج	NOUN	موج	
موٽرون	NOUN	موٽر	
موچي	NOUN	موچي	
مياڻي	NOUN	مياڻي	
ميثاق	NOUN	ميثاق	
ميراڻي	NOUN	ميراڻي	
ميٽر	NOUN	ميٽر	
مَنهن	NOUN	مَنهن	
مٿاهيون	NOUN	مٿانھين	
مڏ	NOUN	مڏ	
ناليون	NOUN	نالي	
ناچ	NOUN	ناچ	
نثار	NOUN	نثار	
نجات	NOUN	نجات	
نظرداري	NOUN	نظرداري	
نـَـر	NOUN	نـَـر	
نندو	NOUN	نندو	
نندواڻي	NOUN	نندواڻو	
نون	NOUN	نئون	
نيرو	NOUN	نيرو	
نيروٽيءَ	NOUN	نيروٽي	
نيشنل	NOUN	نيشنل	
نيڪال	NOUN	نيڪال	
هائوڪار	NOUN	هائوڪار	
هاريءَ	NOUN	هاريءَ	
هراس	NOUN	هراس	
هرن	NOUN	هر	
هـُـرلي	NOUN	هـُـرلو	
همايون	NOUN	همايون	
همدردي	NOUN	همدردي	
هنبوڇيءَ	NOUN	هنبوڇيءَ	
هنڌان	NOUN	هنڌي	
هوم	NOUN	هوم	
هونئن	NOUN	هونئن	
هيرا	NOUN	هيرو	
هيري	NOUN	هيري	
هيليڪاپٽرن	NOUN	هيليڪاپٽر	
هيٺاهيون	NOUN	هيٺ	
هيڏانهن	NOUN	هيڏانهن	
هڪٻئي	NOUN	هڪٻيو	
واجهه	NOUN	واجهه	
وارننگ	NOUN	وارننگ	
واريءَ	NOUN	واريءَ	
وزيرن	NOUN	وزير	
وسيلن	NOUN	وسيلو	
وسڪارو	NOUN	وسڪارو	
وهڪرن	NOUN	وهڪرو	
وهڪرو	NOUN	وهڪرو	
ويٺا	NOUN	ويٺو	May be a Verb
وٿين	NOUN	وٿي	
وک	NOUN	وک	
وڪوڙي	NOUN	وڪوڙ	May be a Verb
ٺڪاءُ	NOUN	ٺڪاءُ	
ٻاهرين	NOUN	ٻاهريون	
ٻوهي	NOUN	ٻوهي	
ٻوٽي	NOUN	ٻوٽي	
ٻيلو	NOUN	ٻيلو	
ٻيلي	NOUN	ٻيلو	
ٻيو	NOUN	ٻيو	
ٻيڙيون	NOUN	ٻيڙي	
ٻچڙن	NOUN	ٻچڙو	
ٻگي	NOUN	ٻگو	
ٽئين	NOUN	ٽئون	
ٽاهه	NOUN	ٽاهه	
ٽنڊي	NOUN	ٽنڊو	
ٽوڙي	NOUN	ٽوڙ	
ٽيڪنيڪل	NOUN	ٽيڪنيڪل	
ٽِڪار	NOUN	ٽِڪار	
ٽٻي	NOUN	ٽٻي	
ٽٻيون	NOUN	ٽٻي	
ٽپ	NOUN	ٽپ	
ٽڪي	NOUN	ٽڪي	
ٽڻ	NOUN	ٽڻ	
پارٽيون	NOUN	پارٽي	
پاسو	NOUN	پاسو	
پانڌي	NOUN	پانڌي	
پاٻوڙي	NOUN	پاٻوڙو	
پاڙن	NOUN	پاڙو	
پاڳارو	NOUN	پاڳارو	
پتافي	NOUN	پتافي	
پختونخوا	NOUN	پختونخوا	
پرنسپل	NOUN	پرنسپل	
پرهه	NOUN	پرهه	
پريشر	NOUN	پريشر	
پلاڻ	NOUN	پلاڻ	
پلرن	NOUN	پلر	
پلونگڙا	NOUN	پلونگڙو	
پلونگڙو	NOUN	پلونگڙو	
پليد	NOUN	پليد	
پنهواري	NOUN	پنهوار	
پهه	NOUN	پهه	
پهچن	NOUN	پهچ	May be a Verb
پيارو	NOUN	پيارو	
پيتي	NOUN	پيتي	
پيج	NOUN	پيج	
پيشاب	NOUN	پيشاب	
پيڙهه	NOUN	پيڙهه	
پٺن	NOUN	پٺ	
پڃر	NOUN	پڃر	
پڇاڙيءَ	NOUN	پڇاڙي	
پکو	NOUN	پکو	
ٿاڻن	NOUN	ٿاڻو	
ٿـُـڙ	NOUN	ٿـُـڙ	
ڀائر	NOUN	ڀائر	
ڀائو	NOUN	ڀائو	
ڀائيواري	NOUN	ڀائيواري	
ڀاتي	NOUN	ڀاتي	
ڀت	NOUN	ڀت	
ڀيتن	NOUN	ڀيت	
ڀيو	NOUN	ڀيو	
ڀيڻ	NOUN	ڀيڻ	
ڀڄي	NOUN	ڀڄ	May be a Verb
ڀڳ	NOUN	ڀڳ	
ڄام	NOUN	ڄام	
ڄـُـڪ	NOUN	ڄـُـڪ	
ڄڻا	NOUN	ڄڻو	
ڄڻو	NOUN	ڄڻو	
چاچڙ	NOUN	چاچڙ	
چبوترا	NOUN	چبوترو	
چـَران	NOUN	چـَر	
چـَـهيءَ	NOUN	چـَهي	
چـُون	NOUN	چـُون	
چنبو	NOUN	چنبو	
چندن	NOUN	چندو	
چنڻ	NOUN	چن	
چونڊن	NOUN	چونڊ	
چَهي	NOUN	چَهو	
چپن	NOUN	چپ	
چڙ	NOUN	چڙ	
چڪي	NOUN	چڪي	
ڇائي	NOUN	ڇائي	
ڇانوڻي	NOUN	ڇانوڻي	
ڇند	NOUN	ڇند	
ڇوڙ	NOUN	ڇوڙ	
ڇيڻي	NOUN	ڇيڻي	
ڊزاسٽر	NOUN	ڊزاسٽر	
ڊڊيون	NOUN	ڊڊي	
ڍانچو	NOUN	ڍانچو	
ڏاچين	NOUN	ڏاچي	
ڏاچيون	NOUN	ڏاچي	
ڏنل	NOUN	ڏنل	
ڏنو	NOUN	ڏنو	
ڏنڊا	NOUN	ڏنڊو	
ڏنڊن	NOUN	ڏنڊو	
ڏنڊو	NOUN	ڏنڊو	
ڏهاڪي	NOUN	ڏهاڪو	
ڦورو	NOUN	ڦورو	
ڦولهڙيان	NOUN	ڦولهڙي	
ڦولهڙيون	NOUN	ڦولهڙي	
ڦٽيءَ	NOUN	ڦٽي	
کاتا	NOUN	کاتو	
کاري	NOUN	کاري	
کاهي	NOUN	کاهي	
کاڌ	NOUN	کاڌ	
کاڌي	NOUN	کاڌو	
کرل	NOUN	کرل	
کينهوڙي	NOUN	کينهوڙو	
کڙيو	NOUN	کڙيو	
کک	NOUN	کک	
ڪئٽلاگ	NOUN	ڪئٽلاگ	
ڪارو	NOUN	ڪارو	
ڪالعدم	NOUN	ڪالعدم	
ڪامپليڪس	NOUN	ڪامپليڪس	
ڪانا	NOUN	ڪانو	
ڪانن	NOUN	ڪانو	
ڪتيءَ	NOUN	ڪتو	
ڪرسي	NOUN	ڪرسي	
ڪرنٽ	NOUN	ڪرنٽ	
ڪرڻي	NOUN	ڪرڻي	
ڪـن	NOUN	ڪـن	
ڪـَني	NOUN	ڪـَنو	
ڪـُـڏ	NOUN	ڪـُـڏ	
ڪلر	NOUN	ڪلر	
ڪلواڙي	NOUN	ڪلواڙو	
ڪلوميٽر	NOUN	ڪلوميٽر	
ڪلي	NOUN	ڪلو	
ڪمن	NOUN	ڪم	
ڪنڌ	NOUN	ڪنڌ	
ڪوتاهي	NOUN	ڪوتاهي	
ڪورڪمانڊر	NOUN	ڪورڪمانڊر	
ڪوڙي	NOUN	ڪوڙو	
ڪيهاٽ	NOUN	ڪيهاٽ	
ڪيٽي	NOUN	ڪيٽي	
ڪپ	NOUN	ڪپ	
ڪپڙن	NOUN	ڪپڙو	
ڪچا	NOUN	ڪچو	
ڪچي	NOUN	ڪچو	
ڪڙڪي	NOUN	ڪڙڪي	
ڪڪڙين	NOUN	ڪڪڙ	
گبلو	NOUN	گبلو	
گجڪار	NOUN	گجڪار	
گجڪارون	NOUN	گجڪار	
گداڙيءَ	NOUN	گداڙي	
گدڙن	NOUN	گدڙ	
گرڙاٽ	NOUN	گرڙاٽ	
گس	NOUN	گس	
گندري	NOUN	گندري	
گهارن	NOUN	گهارو	
گهارو	NOUN	گهارو	
گهانگهرو	NOUN	گهانگهرو	
گهور	NOUN	گهور	
گهڻيءَ	NOUN	گهڻيءَ	
گور	NOUN	گور	
گورننس	NOUN	گورننس	
گوڏي	NOUN	گوڏو	
گپ	NOUN	گپ	
گڏ	NOUN	گڏ	
گڏهه	NOUN	گڏهه	
ڳالهاء	NOUN	ڳاله	May be a Verb
ڳولا	NOUN	ڳولا	
ڳوٺاڻا	NOUN	ڳوٺاڻو	
ڳوڙهه	NOUN	ڳوڙهه	
ڳچين	NOUN	ڳچي	
130	NUM	130	
175	NUM	175	
1947ع	NUM	1947ع	
1976ع	NUM	1976ع	
1985ع	NUM	1985ع	
2005ع	NUM	2005ع	
22	NUM	22	
238	NUM	238	
239	NUM	239	
اٺ	NUM	اٺ	
هزارين	NUM	هزار	
ٻي	NUM	ٻہ	
پهريون	NUM	پهريون	
ڏيڍ	NUM	ڏيڍ	
نا	PART	نا	
ڪانه	PART	ڪانه	
آء	PRON	آء	
اُن	PRON	اُن	
توتان	PRON	تون	
توهين	PRON	تون	
تيستائين	PRON	تيستائين	
تيڏي	PRON	تيڏا	
جا	PRON	جو	
جو	PRON	جو	
جيستائين	PRON	جيستائين	
رسول	PRON	رسول	May be a NOUN or PROPN
سين	PRON	سين	
هي	PRON	هي	
پڇ	PRON	پڇ	May be a NOUN
ڪٿي	PRON	ڪٿي	
آگسٽ	PROPN	آگسٽ	
افتخار	PROPN	افتخار	
الاسد	PROPN	الاسد	
الطاڪيا	PROPN	الطاڪيا	
الف	PROPN	الف	
الهه	PROPN	الهه	
الهيار	PROPN	الهيار	
الهڏتي	PROPN	الهڏتي	
اولهه	PROPN	اولهه	
اوٻاوڙي	PROPN	اوٻاوڙي	
اُتر	PROPN	اُتر	
اُٻاوڙو	PROPN	اُٻاوڙو	
اُٻاوڙي	PROPN	اُٻاوڙو	
بائوديرو	PROPN	بائوديرو	
باگڙجي	PROPN	باگڙجي	
بخش	PROPN	بخش	
برابر	PROPN	برابر	
بسل	PROPN	بسل	
بشار	PROPN	بشار	
بشارالاسد	PROPN	بشارالاسد	
بشام	PROPN	بشام	
بلاول	PROPN	بلاول	
بچائي	PROPN	بچا	
بچل	PROPN	بچل	
بگن	PROPN	بگن	
توهين	PROPN	توھين	May be a NOUN
ثاقب	PROPN	ثاقب	
حيدر	PROPN	حيدر	
خانپور	PROPN	خانپور	
خليل	PROPN	خليل	
خورشيد	PROPN	خورشيد	
خيبر	PROPN	خيبر	
دايو	PROPN	دايو	
دفر	PROPN	دفر	
رمدي	PROPN	رمدي	
روهڙيءَ	PROPN	روهڙيءَ	
رڪ	PROPN	رڪ	
زاهد	PROPN	زاهد	
ساڌ	PROPN	ساڌ	
سنڌوءَ	PROPN	سنڌوءَ	
سيکاٽ	PROPN	سيکاٽ	
شاهنواز	PROPN	شاهنواز	
شهدادپور	PROPN	شهدادپور	
ضياءُ	PROPN	ضياءُ	
طاهرزادي	PROPN	طاهرزادو	
عاقل	PROPN	عاقل	
عبدالرحمان	PROPN	عبدالرحمان	
عبدالرزاق	PROPN	عبدالرزاق	
عبدالستار	PROPN	عبدالستار	
عبدالقيوم	PROPN	عبدالقيوم	
عبدالمجيد	PROPN	عبدالمجيد	
عثمان	PROPN	عثمان	
عزيزان	PROPN	عزيزان	
عمرڪوٽ	PROPN	عمرڪوٽ	
غوثپور	PROPN	غوثپور	
فاضل	PROPN	فاضل	
فتح	PROPN	فتح	
فرانس	PROPN	فرانس	
قائمي	PROPN	قائمي	
قادرپور	PROPN	قادرپور	
قالو	PROPN	قالو	
قربان	PROPN	قربان	
لاڙ	PROPN	لاڙ	
ماٿيلي	PROPN	ماٿيلو	
مبارڪپور	PROPN	مبارڪپور	
معشوق	PROPN	معشوق	
ممدا	PROPN	ممدا	
منڊوديرو	PROPN	منڊوديرو	
مولاداد	PROPN	مولاداد	
ميرخان	PROPN	ميرخان	
نثار	PROPN	نثار	
وارهه	PROPN	وارهه	
ولي	PROPN	ولي	
ٺٽي	PROPN	ٺٽو	
ٻنڊي	PROPN	ٻنڊو	
پنو	PROPN	پنو	
پنوعاقل	PROPN	پنوعاقل	
ٿرپارڪر	PROPN	ٿرپارڪر	
ڀاڻوٺ	PROPN	ڀاڻوٺ	
ڏوڪري	PROPN	ڏوڪرِي	
ڪرمپور	PROPN	ڪرمپور	
ڪشمور	PROPN	ڪشمور	
ڪنڌرا	PROPN	ڪنڌرو	
گوهر	PROPN	گوهر	
گيمڙو	PROPN	گيمڙو	
؛	PUNCT	؛	
آزمايون	VERB	آزما	
آهيان	VERB	آهي	
آيون	VERB	آئي	
اينديون	VERB	ايندو	
اُٿي	VERB	اُٿ	
اٿاري	VERB	اٿار	
اٿيئي	VERB	اٿئي	
اچيـَو	VERB	اچ	
بيهاري	VERB	بيهار	
بيهان	VERB	بيه	
بيهجي	VERB	بيه	
بيٺس	VERB	بيٺو	
بچائيندو	VERB	بچاءِ	
ترس	VERB	ترس	
ترسيا	VERB	ترسيو	
ته	VERB	ته	
تپايو	VERB	تپايو	
جهليس	VERB	جهل	
رکيائين	VERB	رک	
سانڍيو	VERB	سانڍ	
ستل	VERB	ستو	
سمجهو	VERB	سمجه	
سمجهيائين	VERB	سمجه	
سمجهين	VERB	سمجه	
سنڀالي	VERB	سنڀال	
سهڪندي	VERB	سهڪندو	
سڏائي	VERB	سڏاءِ	
سڏايائين	VERB	سڏاءِ	
سگهندا	VERB	سگهي	
سگهندس	VERB	سگهي	
قبول	VERB	قبول	
لاهي	VERB	لاه	
لاهيندي	VERB	لاه	
لاهڻ	VERB	لاهڻ	
لاٿائين	VERB	لاٿو	
لنگهندي	VERB	لنگه	
لنگهيون	VERB	لنگه	
لٿو	VERB	لھ	
لڙهيا	VERB	لڙه	
لڙهڻ	VERB	لڙهڻ	
لڪل	VERB	لڪو	
لڪو	VERB	لڪو	
لڪڻ	VERB	لڪڻ	
لڳس	VERB	لڳو	
لڳـا	VERB	لڳـو	
لڳن	VERB	لڳ	
ماني	VERB	ماني	may be a noun
متفق	VERB	متفق	
ملائيندڙ	VERB	ملائ	
مهٽجي	VERB	مهٽ	
موٽي	VERB	موٽ	
موڪليا	VERB	موڪل	
موڪلڻ	VERB	موڪل	
مٽيل	VERB	مٽيو	
نهاري	VERB	نهار	
نهاريائين	VERB	نهار	
نچن	VERB	نچ	
نچندڙ	VERB	نچ	
نچي	VERB	نچ	
نڪتا	VERB	نڪتو	
نڪتو	VERB	نڪتو	
نڪتي	VERB	نڪتو	
نڪرو	VERB	نڪر	
هجئي	VERB	هجئي	
هريل	VERB	هريو	
هريو	VERB	هريو	
هلائيندڙ	VERB	هلاءِ	
هلندس	VERB	هل	
هلندو	VERB	هل	
هنيائين	VERB	ھڻ	
هيس	VERB	آهي
هيو	VERB	هيو	
هڪل	VERB	هڪل	
