Word	POS	Predicted	Notes
بخوبي	ADJ	بخوبي	
بدصورت	ADJ	بدصورت	
بروهي	ADJ	بروهي	Should be a NOUN
بقايا	ADJ	بقايو	
بنهه	ADJ	بنهه	
بهتري	ADJ	بهتري	
بهر	ADJ	بهر	
بهري	ADJ	بهري	
بورچي	ADJ	بورچي	
بيمار	ADJ	بيمار	
بيهوش	ADJ	بيهوش	
بيوقوف	ADJ	بيوقوف	
بيڏوهي	ADJ	بيڏوهي	
بيگناهه	ADJ	بيگناهه	
بچيل	ADJ	بچيل	
بکيي	ADJ	بکيو	
تازو	ADJ	تازو	
تباهي	ADJ	تباهي	Should be a NOUN
تجارتي	ADJ	تجارتي	
تحقيقاتي	ADJ	تحقيقاتي	
ترقياتي	ADJ	ترقياتي	
ترهو	ADJ	ترهو	
ترڪ	ADJ	ترڪ	NOUN or PROPN
تعميري	ADJ	تعميري	
تقريباً	ADJ	تقريباً	
تقريري	ADJ	تقريري	
تندرست	ADJ	تندرست	
تنقيدي	ADJ	تنقيدي	
تنهنجيون	ADJ	تنهنج	PRON
تيزي	ADJ	تيزي	
تڏهوڪي	ADJ	تڏهوڪو	
تکا	ADJ	تکو	
تکو	ADJ	تکو	
تڪڙا	ADJ	تڪڙو	
ثقافتي	ADJ	ثقافتي	
جابلو	ADJ	جابلو	
جارحانه	ADJ	جارحانه	
جدا	ADJ	جدا	
جسماني	ADJ	جسماني	
جلدي	ADJ	جلدي	
جهرڪي	ADJ	جهرڪي	NOUN
جوڳا	ADJ	جوڳو	
جوڳن	ADJ	جوڳو	
جوڳو	ADJ	جوڳو	
جوڳيون	ADJ	جوڳي	
جيئرا	ADJ	جيئرو	
جيترو	ADJ	جيترو	
جيترون	ADJ	جيترو	
جيتري	ADJ	جيتري	
جڙيا	ADJ	جڙيو	
جھڙو	ADJ	جھڙو	
حاوي	ADJ	حاوي	
حفاظتي	ADJ	حفاظتي	
خانگي	ADJ	خانگي	
خصوصي	ADJ	خصوصي	
خواهشمند	ADJ	خواهشمند	
خودساخته	ADJ	خودساخته	
خودڪار	ADJ	خودڪار	
خورده	ADJ	خورده	
خوشخبري	ADJ	خوشخبري	
خوني	ADJ	خوني	
دراصل	ADJ	دراصل	
دستياب	ADJ	دستياب	
دشمن	ADJ	دشمن	NOUN
دلچسپ	ADJ	دلچسپ	
دور	ADJ	دور	
ديني	ADJ	ديني	
دکدائڪ	ADJ	دکدائڪ	
دھشتگرد	ADJ	دھشتگرد	
راغب	ADJ	راغب	
راڳي	ADJ	راڳي	
رحمدل	ADJ	رحمدل	
رخي	ADJ	رخي	
رد	ADJ	رد	
ردِ	ADJ	ردِ	
رنگين	ADJ	رنگين	
رهائشي	ADJ	رهائشي	
روايتي	ADJ	روايتي	
روزانو	ADJ	روز	ADV
روزاني	ADJ	روزاني	
روپيائي	ADJ	روپيائي	
زميني	ADJ	زميني	
زندهه	ADJ	زندهه	
زهريلو	ADJ	زهريلو	
زهريلي	ADJ	زهريلي	
زوردار	ADJ	زوردار	
سائي	ADJ	سائي	
سازشي	ADJ	سازشي	
ساليانو	ADJ	ساليانو	
سانورو	ADJ	سانورو	
ساٿاري	ADJ	ساٿاري	
ساڀيان	ADJ	ساڀيان	
ساڍا	ADJ	ساڍو	
ساڳي	ADJ	ساڳيو	
ست	ADJ	ست	
ستابو	ADJ	ستابو	
ستابي	ADJ	ستابو	
ستايل	ADJ	ستايل	
سجائي	ADJ	سجائي	
سرعام	ADJ	سرعام	
سستي	ADJ	سستي	
سعودي	ADJ	سعودي	
ســــاڳيا	ADJ	ســــاڳيو	
سـَون	ADJ	سـَون	
سلڇڻو	ADJ	سلڇڻو	
سمجهيل	ADJ	سمجهيل	
سموريون	ADJ	سموري	
سنئون	ADJ	سنئون	
سنجيده	ADJ	سنجيده	
سنهڙو	ADJ	سنهڙو	
سنگتي	ADJ	سنگتي	
سوا	ADJ	سوا	
سواتي	ADJ	سواتي	
سولو	ADJ	سولو	
سولي	ADJ	سولي	
سونهري	ADJ	سونهري	
سوويت	ADJ	سوويت	
سوچيل	ADJ	سوچيل	
سوکوٿائي	ADJ	سوکوٿائي	
سيچيوريٽڊ	ADJ	سيچيوريٽڊ	
سٺيون	ADJ	سٺي	
سڄيءَ	ADJ	سڄيءَ	
سچا	ADJ	سچو	
سچيءَ	ADJ	سچيءَ	
سچيت	ADJ	سچيت	
سکيو	ADJ	سکي	
سڳا	ADJ	سڳو	
سڳي	ADJ	سڳو	
سڻائو	ADJ	سڻائو	
سڻڀا	ADJ	سڻڀو	
سڻڀي	ADJ	سڻڀو	
شاعراڻو	ADJ	شاعراڻو	
شاهي	ADJ	شاهي	
شخصي	ADJ	شخصي	
شرمناڪ	ADJ	شرمناڪ	
شرميلو	ADJ	شرميلو	
ششدر	ADJ	ششدر	
شعوري	ADJ	شعوري	
شل	ADJ	شل	ADV
صوبائي	ADJ	صوبائي	
صوفياڻي	ADJ	صوفياڻو	
ضروري	ADJ	ضروري	
طاقتور	ADJ	طاقتور	
طبي	ADJ	طبي	
طرفو	ADJ	طرفو	
ظاهري	ADJ	ظاهري	
عاليشان	ADJ	عاليشان	
عدم	ADJ	عدم	
عقلمند	ADJ	عقلمند	
علائقائي	ADJ	علائقائي	
علمي	ADJ	علمي	
غافل	ADJ	غافل	
غيرمحفوظ	ADJ	غيرمحفوظ	
غيرمعمولي	ADJ	غيرمعمولي	
فرار	ADJ	فرار	
فرانسيسي	ADJ	فرانسيسي	
فرمانبردار	ADJ	فرمانبردار	
فريادي	ADJ	فريادي	
فني	ADJ	فني	
فوجي	ADJ	فوجي	
في	ADJ	في	
فيملي	ADJ	فيملي	NOUN
فيٽي	ADJ	فيٽي	
فڪري	ADJ	فڪري	
قبيلائي	ADJ	قبيلائي	
قطعي	ADJ	قطعي	ADV
قليل	ADJ	قليل	
قومي	ADJ	قوم	
قومپرست	ADJ	قومپرست	
لائق	ADJ	لائق	
لاطيني	ADJ	لاطيني	
لالچي	ADJ	لالچي	
لاڳاپيل	ADJ	لاڳاپيل	
لبرل	ADJ	لبرل	
لوڪل	ADJ	لوڪل	
ليبر	ADJ	ليبر	
لکين	ADJ	لک	
لڪيل	ADJ	لڪيل	
مالياتي	ADJ	مالياتي	
مالڪاڻا	ADJ	مالڪاڻو	
ماهي	ADJ	ماهي	
متارو	ADJ	متارو	
متاري	ADJ	متارو	
متحده	ADJ	متحده	
متوازن	ADJ	متوازن	
محب	ADJ	محب	
محتاط	ADJ	محتاط	
محروم	ADJ	محروم	
محض	ADJ	محض	
محوِ	ADJ	محوِ	VERB
مختصر	ADJ	مختصر	
مختيار	ADJ	مختيار	
مخصوص	ADJ	مخصوص	
مددگار	ADJ	مددگار	
مذمتي	ADJ	مذمتي	
مذڪوره	ADJ	مذڪوره	
مردانا	ADJ	مردانا	
مرڻينگ	ADJ	مرڻينگ	
مستحڪم	ADJ	مستحڪم	
مستقل	ADJ	مستقل	
مسلم	ADJ	مسلم	
مسڪين	ADJ	مسڪين	
مشرقي	ADJ	مشرقي	
معزز	ADJ	معزز	
معمولي	ADJ	معمولي	
معياري	ADJ	معياري	
مفاهمتي	ADJ	مفاهمتي	
مفت	ADJ	مفت	
مقتول	ADJ	مقتول	
مقدس	ADJ	مقدس	
ملئي	ADJ	ملئي	
ملتوي	ADJ	ملتوي	
ممتاز	ADJ	ممتاز	
منحرف	ADJ	منحرف	
منصفاڻي	ADJ	منصفاڻو	
منفي	ADJ	منفي	
مهيا	ADJ	مهيا	
موڪليل	ADJ	موڪل	
مٺيون	ADJ	مٺي	
مٿانهون	ADJ	مٿاھھ	
مڇريل	ADJ	مڇريل	
مک	ADJ	مک	
مھانگو	ADJ	مھانگو	
نئين	ADJ	نئين	
نااميدي	ADJ	نااميدي	
نابود	ADJ	نابود	
ناراض	ADJ	ناراض	
ناردرن	ADJ	ناردرن	
نازڪ	ADJ	نازڪ	
ناقص	ADJ	ناقص	
نالي	ADJ	نالي	
نامناسب	ADJ	نامناسب	
ناميارا	ADJ	ناميارو	
ناواقف	ADJ	ناواقف	
ناپاڪ	ADJ	ناپاڪ	
نروار	ADJ	نروار	
نصابي	ADJ	نصابي	
نمايان	ADJ	نمايان	
ننڍن	ADJ	ننڍو	
ننڍڙن	ADJ	ننڍڙو	
نيارا	ADJ	نيارو	
نين	ADJ	نين	
نيڪ	ADJ	نيڪ	
هاءِ	ADJ	هاءِ	
هاڪاري	ADJ	هاڪارو	
هرطرف	ADJ	هرطرف	ADV
هروڀرو	ADJ	هروڀرو	ADV
هلندڙ	ADJ	هلندڙ	
ههڙو	ADJ	اھڙو	
هوشيار	ADJ	هوشيار	
هيترو	ADJ	هيترو	
هيلي	ADJ	هيلي	
هيٺاهون	ADJ	هيٺاه	
هڪدم	ADJ	هڪدم	ADV
و	ADJ	و	CCONJ
وائڙو	ADJ	وائڙو	
واحد	ADJ	واحد	
واسطيدار	ADJ	واسطيدار	
واقع	ADJ	واقع	
واقعي	ADJ	واقعي	Either ADV or NOUN
وحشي	ADJ	وحشي	
وحشيانه	ADJ	وحشيانه	
وحشياڻي	ADJ	وحشياڻو	
ورسٽائل	ADJ	ورسٽائل	
وفادار	ADJ	وفادار	
وقتي	ADJ	وقتي	
ويجهي	ADJ	ويجهو	
ويهارو	ADJ	ويهارو	
ويچارا	ADJ	ويچارو	
ويڙهاڪ	ADJ	ويڙهاڪ	
ويڪرو	ADJ	ويڪرو	
وٽيل	ADJ	وٽيل	
وچولو	ADJ	وچولو	
وچينءَ	ADJ	وچين	
وڌيڪ	ADJ	وڌيڪ	
وڏن	ADJ	وڏو	
وڏيءَ	ADJ	وڏي	
وڏين	ADJ	وڏي	
يتيم	ADJ	يتيم	
يقينن	ADJ	يقينن	ADV
يوناني	ADJ	يوناني	
ٻاهريون	ADJ	ٻاهري	
ٻيءَ	ADJ	ٻيءَ	
ٻيڻا	ADJ	ٻيڻو	
ٻيڻي	ADJ	ٻيڻي	
ٽئين	ADJ	ٽئين	
ٽماڙ	ADJ	ٽماڙ	
ٽيئي	ADJ	ٽيئي	
ٽيون	ADJ	ٽيون	
پابند	ADJ	پابند	
پاڻمرادو	ADJ	پاڻمرادو	
پختو	ADJ	پختو	
پرائم	ADJ	پرائم	
پراعتماد	ADJ	پراعتماد	
پرامن	ADJ	پرامن	
پرانهين	ADJ	پرانهين	
پراڻن	ADJ	پراڻو	
پراڻيءَ	ADJ	پراڻيءَ	
پراڻين	ADJ	پراڻي	
پروف	ADJ	پروف	
پروفيشنل	ADJ	پروفيشنل	
پرڏيھي	ADJ	پرڏيھي	
پرڪشش	ADJ	پرڪشش	
پرڻيل	ADJ	پرڻيل	
پنيري	ADJ	پنيري	NOUN
پنڌرهين	ADJ	پنڌرهين	
پوئين	ADJ	پو	
پورا	ADJ	پورا	
پوريءَ	ADJ	پوريءَ	
پوين	ADJ	پويون	
پوڙھو	ADJ	پوڙھو	
پيارو	ADJ	پيارو	
پيداواري	ADJ	پيداواري	
پيرائتي	ADJ	پيرائتي	
پيراڻي	ADJ	پيراڻي	
پيچده	ADJ	پيچده	
پڃرو	ADJ	پڃرو	NOUN
پڌري	ADJ	پڌرو	
پڪا	ADJ	پڪا	
پڪل	ADJ	پڪل	
پڪو	ADJ	پڪو	
پڪي	ADJ	پڪي	
پھرين	ADJ	پھرين	
ٿلها	ADJ	ٿلهو	
ٿلهو	ADJ	ٿلهو	
ٿلهي	ADJ	ٿلهو	
ٿلهيون	ADJ	ٿلهي	
ٿوريون	ADJ	ٿورو	
ٿڌيون	ADJ	ٿڌي	
ڀريل	ADJ	ڀريل	
ڄاتل	ADJ	ڄاتل	
چارئي	ADJ	چارئي	
چانڊوڪي	ADJ	چانڊوڪي	
چند	ADJ	چند	
چوڪس	ADJ	چوڪس	
چٽو	ADJ	چٽو	
ڇهه	ADJ	ڇهه	
ڊانوا	ADJ	ڊانوا	
ڊنل	ADJ	ڊنل	
ڊگهو	ADJ	ڊگهو	
ڊگهين	ADJ	ڊگهي	
ڌماڪيدار	ADJ	ڌماڪيدار	
ڏورانهين	ADJ	ڏورانهين	
ڏٺل	ADJ	ڏٺل	
ڏکائتي	ADJ	ڏکائتو	
ڏکوئيندڙ	ADJ	ڏکوو	
ڏکي	ADJ	ڏکيو	
ڏکيو	ADJ	ڏکيو	
ڏکيون	ADJ	ڏکي	
ڏڪندڙ	ADJ	ڏڪندڙ	
ڦٽل	ADJ	ڦٽل	
کلمل	ADJ	کلمل	
کليل	ADJ	کليو	
کوٽي	ADJ	کوٽي	
کُلي	ADJ	کُلي	
ڪئين	ADJ	ڪئين	
ڪارآمد	ADJ	ڪارآمد	
ڪارا	ADJ	ڪارو	
ڪارائتي	ADJ	ڪارائتي	
ڪارو	ADJ	ڪارو	
ڪاروباري	ADJ	ڪاروباري	
ڪاري	ADJ	ڪاري	
ڪاش	ADJ	ڪاش	ADV or INTJ
ڪتابي	ADJ	ڪتابي	
ڪروڙين	ADJ	ڪروڙو	
ڪل	ADJ	ڪل	
ڪلاسيڪي	ADJ	ڪلاسيڪي	
ڪمرشل	ADJ	ڪمرشل	
ڪنو	ADJ	ڪنو	
ڪهڙي	ADJ	ڪهڙو	PRON or DET
ڪوڙو	ADJ	ڪوڙو	
ڪوڙيون	ADJ	ڪوڙو	
ڪڌن	ADJ	ڪڌو	
ڪڌو	ADJ	ڪڌو	
گامزن	ADJ	گامزن	ADV or VERB
گهاٽو	ADJ	گهاٽو	
گهٽجندڙ	ADJ	گهٽجندڙ	
گهڙو	ADJ	گهڙو	NOUN
گهڻائي	ADJ	گهڻو	
گهڻيون	ADJ	گهڻي	
گڏ	ADJ	گڏ	ADV
گڏو	ADJ	گڏو	NOUN
گھرو	ADJ	گھرو	
ڳرو	ADJ	ڳرو	
ھر	ADJ	ھر	
آن	ADP	آن	
آڏو	ADP	آڏو	
بغير	ADP	بغير	
تا	ADP	تا	
تائين	ADP	تائين	
جاٰ	ADP	جاٰ	
جهڙن	ADP	جهڙو	may be a PRON
جهڙيون	ADP	جهڙي	may be a PRON
جوڳي	ADP	جوڳو	may be an ADJ
خود	ADP	خود	
سـان	ADP	سـان	
سـمـيـت	ADP	سـمـيـت	
سواءِ	ADP	سواءِ	
علاوه	ADP	علاوه	
مطابق،	ADP	مطابق،	
منجهان	ADP	منجهان	
مين	ADP	مين	
مٿس	ADP	مٿي	
وسيلي	ADP	وسيلي	
وٽان	ADP	وٽ	
يعني	ADP	يعني	
ڀرسان	ADP	ڀرسان	
ڏانهس	ADP	ڏانهس	
ڏانهن	ADP	ڏانهن	
کانپو	ADP	کان	
کـي	ADP	کـي	
ڪو	ADP	ڪو	
۾پيل	ADP	۾پيل	tokenization problem ۾ پيل
اتـي	ADV	اتـي	
اهائي	ADV	اهائي	
ايڏو	ADV	ايڏو	
اُتان	ADV	اُت	
اُڦٽ	ADV	اُڦٽ	
اڳئي	ADV	اڳئي	
بابت	ADV	بابت	
بقول	ADV	بقول	
بنهه	ADV	بنهه	
بيشڪ	ADV	بيشڪ	
تائين	ADV	تائين	
تيئن	ADV	تي	
تڪڙو	ADV	تڪڙو	
جئين	ADV	جئين	
جتان	ADV	جتان	
جهڙوڪ	ADV	جهڙوڪ	
جيئرو	ADV	جيئرو	
جيان	ADV	جيان	
جيترو	ADV	جيترو	
جڏھن	ADV	جڏھن	
دراصل	ADV	دراصل	
دور	ADV	دور	
رڳي	ADV	رڳ	
ساڻس	ADV	ساڻس	
سوڌو	ADV	سوڌو	
طئي	ADV	طئي	
علاوه	ADV	علاوه	
فورن	ADV	فورن	
لڳ	ADV	لڳ	
مرڳو	ADV	مرڳو	
منجهس	ADV	منجهس	may also be an ADP
مهابي	ADV	مهابو	
نت	ADV	نت	
نجو	ADV	نجو	may be an ADJ
هونئن	ADV	هونئن	
هيئن	ADV	هيئن	
وانگي	ADV	وانگي	
وٽس	ADV	وٽس	
ٻاھران	ADV	ٻاھر	
پتو	ADV	پتو	
پرتي	ADV	پرتي	
پـوءِ	ADV	پـوءِ	
پوءِ	ADV	پوءِ	
پوئتي	ADV	پوئتي	
پٺتي	ADV	پٺتي	
ڀرسان	ADV	ڀرسان	
ڀل	ADV	ڀل	
ڀيري	ADV	ڀيرو	
چوڌاري	ADV	چوڌاري	
ڊڄي	ADV	ڊڄ	VERB
ڏاڍا	ADV	ڏاڍو	
ڪانه	ADV	ڪانه	
ڪين	ADV	ڪين	
ڪيڏاهن	ADV	ڪيڏاهن	
ڪيڏي	ADV	ڪيڏي	
ڪٿان	ADV	ڪٿي	
ڪڏهو	ADV	ڪڏهو	
ڪڏهوڪو	ADV	ڪڏهوڪو	
ھوڏانھن	ADV	ھوڏانھن	
ھيٺ	ADV	ھيٺ	
اينڊ	CCONJ	اينڊ	
و	CCONJ	و	
انهيءُ	DET	ان	
انھن	DET	ان	
اهائي	DET	اهو	
اِهو	DET	اِهو	
اھا	DET	اھا	
اھو	DET	اھو	
هـُن	DET	هـُن	
هيءَ	DET	هي	
هيءُ	DET	هيءُ	
هِن	DET	هِن	
ڪن	DET	ڪو	
ڪي	DET	ڪي	
مهرباني	INTJ	مهرباني	NOUN
هائو	INTJ	هائو	
آءُ	PRON	آءُ	
انھن	PRON	ان
اوهين	PRON	اوهين	
تنهن	PRON	تنهن	
تنهنجن	PRON	تنهنجو	
تنھن	PRON	تنھن	
تنھنجي	PRON	تنھنجو	
تهڙي	PRON	تهڙو	
توسان	PRON	توسان	
جس	PRON	جس	Seems a NOUN
جنھن	PRON	جنھن	
جيڪي	PRON	جيڪو	
جھڙو	PRON	جھڙو	
ساڻس	PRON	ساڻس	
سندس	PRON	سندس	
سندن	PRON	سندو	
سي	PRON	سي	
منهنجن	PRON	منهنجو	
مهنجي	PRON	مهنجو	
مونسان	PRON	مونسان	
ميري	PRON	ميري	
هتي	PRON	هتي	
هـُن	PRON	هـُن	
پنهنجين	PRON	پنهنجو	
پنهنجيون	PRON	پنهنجو	
پنھنجن	PRON	پنھنجو	
ڄڻ	PRON	ڄڻ	
ڪئين	PRON	ڪئين	
ڪـنـهـن	PRON	ڪـو	
ڪنھن	PRON	ڪو	
ڪهڙي	PRON	ڪهڙو	
ڪهڙين	PRON	ڪهڙو	
ڪيڏانهن	PRON	ڪيڏانهن	
ڪھڙو	PRON	ڪھڙو	
ھنن	PRON	ھي	
