Word	POS	Predicted Lemma	
مرعوب	ADJ	مرعوب	
مزيدار	ADJ	مزيدار	
مظلوم	ADJ	مظلوم	
معلوم	ADJ	معلوم	
مقبول	ADJ	مقبول	
ممبئي	ADJ	ممبئي	
ميچوئر	ADJ	ميچوئر	
مٺڙا	ADJ	مٺڙو	
مٿانهان	ADJ	مٿاھون	
مڙئي	ADJ	مڙئي	
نسورو	ADJ	نسورو	
نفسياتي	ADJ	نفسياتي	
ننڍا	ADJ	ننڍو	
نهايت	ADJ	نهايت	
نيچ	ADJ	نيچ	
نيڪ	ADJ	نيڪ	
نڀاڳي	ADJ	نڀاڳو	
هم	ADJ	هم	
هندي	ADJ	هندو	
ههڙي	ADJ	اھڙو	
هڪجهڙيون	ADJ	هڪجهڙو	
وائکا	ADJ	وائکو	
ويتر	ADJ	ويتر	
ويجهن	ADJ	ويجهو	
ويجهو	ADJ	ويجهو	
وڏيون	ADJ	وڏو	
يافته	ADJ	يافته	
يورپي	ADJ	يورپي	
ٻاراڻي	ADJ	ٻاراڻو	
ٻاهران	ADJ	ٻاهران	
ٻڌندڙ	ADJ	ٻڌندڙ	
ٽين	ADJ	ٽين	
ٽٽ	ADJ	ٽٽ	Should be a NOUN
ٽٽل	ADJ	ٽٽل	
پر	ADJ	پر	
پريان	ADJ	پريان	
پنجين	ADJ	پنجون	
پيتل	ADJ	پيتل	
ٿورا	ADJ	ٿورو	
ٿُلهي	ADJ	ٿُلهو	
ڀريي	ADJ	ڀريو	
ڀرپور	ADJ	ڀرپور	
ڀوائتا	ADJ	ڀوائتو	
ڇتي	ADJ	ڇتو	
ڊڄڻي	ADJ	ڊڄڻو	
ڊگهن	ADJ	ڊگهو	
ڊگهي	ADJ	ڊگهو	
ڌار	ADJ	ڌار	
ڌماڪو	ADJ	ڌماڪو	Should be a NOUN
ڏاڍيءَ	ADJ	ڏاڍو	
ڏاڍيون	ADJ	ڏاڍو	
ڪـُـرو	ADJ	ڪـُـرو	
ڪهڙيءَ	ADJ	ڪهڙو	Should be a PRON
گهڻ	ADJ	گهڻ	
گول	ADJ	گول	
ڳالهائو	ADJ	ڳالهائو	
آف	ADP	آف	
بمطابق	ADP	بمطابق	
دؤران	ADP	دؤران	
آخرڪار	ADV	آخرڪار	
اڄڪلهه	ADV	اڄڪلهه	
اڻ	ADV	اڻ	Should be aADJ
بنهه	ADV	بنهه	
جنهنڪري	ADV	جنهنڪري	
جيڏاهن	ADV	جيڏاهن	
سهي	ADV	سهي	
هاڻوڪي	ADV	هاڻوڪو	
هونءَ	ADV	هونءَ	
هيلوڪو	ADV	هيلوڪو	
هينئن	ADV	هينئن	
يقينناً	ADV	يقينناً	
پريان	ADV	پريان	
ڪيستائين	ADV	ڪيستائين	
ڪيڏي	ADV	ڪيڏي	
توڻي	CCONJ	توڻي	
يعني	CCONJ	يعني	
انهيءِ	DET	ان	
اهڙا	DET	اهڙو	
اُها	DET	اُها	
اُهو	DET	اُهو	
اُهي	DET	اُهو	
اِهي	DET	اِهو	
السلام	INTJ	السلام	
اي	INTJ	اي	
سانڊا	INTJ	سانڊو	
شل	INTJ	شل	
عليڪم	INTJ	عليڪم	
وعليڪم	INTJ	وعليڪم	
ياخدا	INTJ	ياخدا	
آثار	NOUN	آثار	
آرائين	NOUN	آرائين	
آس	NOUN	آس	
آمرن	NOUN	آمر	
آمريتن	NOUN	آمريت	
آچر	NOUN	آچر	
آڌار	NOUN	آڌار	
آڻ	NOUN	آڻ	
اجل	NOUN	اجل	
احوال	NOUN	احوال	
اخباري	NOUN	اخباري	Should be ADJ
اختياريون	NOUN	اختيار	
ادارو	NOUN	ادارو	
ارادن	NOUN	ارادو	
ارباب	NOUN	ارباب	
اسم	NOUN	اسم	
اشتهار	NOUN	اشتهار	
اصطلاح	NOUN	اصطلاح	
افزائي	NOUN	افزائي	
الرٽ	NOUN	الرٽ	
الم	NOUN	الم	
انتشار	NOUN	انتشار	
انتطام	NOUN	انتطام	
انتها	NOUN	انتها	
انجنيئر	NOUN	انجنيئر	
انسائيڪليوپيڊيا	NOUN	انسائيڪليوپيڊيا	
انسانيت	NOUN	انسانيت	
انعام	NOUN	انعام	
انويسٽيگيشن	NOUN	انويسٽيگيشن	
انٽرويو	NOUN	انٽرويو	
انڊسٽري	NOUN	انڊسٽري	
انڊسٽريءَ	NOUN	انڊسٽري	
انڪشاف	NOUN	انڪشاف	
اهتمام	NOUN	اهتمام	
اهل	NOUN	اهل	
اوزان	NOUN	اوزان	
ايجنسي	NOUN	ايجنسي	
ايماني	NOUN	ايماني	
اينڪر	NOUN	اينڪر	
ايڪو	NOUN	ايڪو	
ايڪي	NOUN	ايڪي	
اَبا	NOUN	اَبا	
اَدَبُ	NOUN	اَدَبُ	
اُبهام	NOUN	اُبهام	
اُس	NOUN	اُس	
اُڀار	NOUN	اُڀار	
اپاءَ	NOUN	اپاءَ	
اپر	NOUN	اپر	
اڪثريت	NOUN	اڪثريت	
اڳواڻيءَ	NOUN	اڳواڻيءَ	
اڳواڻڻ	NOUN	اڳواڻڻ	
اڳڀرائي	NOUN	اڳڀرائي	
اڻ	NOUN	اڻ	Should be ADJ
باب	NOUN	باب	
بازيابي	NOUN	بازياب	
باني	NOUN	باني	
باهيون	NOUN	باه	
بحثن	NOUN	بحث	
بحرانن	NOUN	بحران	
بربادي	NOUN	بربادي	
برف	NOUN	برف	
برفباري	NOUN	برفباري	
بزدلاڻين	NOUN	بزدلاڻ	
بغاوت	NOUN	بغاوت	
بلندين	NOUN	بلندي	
بليڪ	NOUN	بليڪ	
بمم	NOUN	بمم	
بناوٽ	NOUN	بناوٽ	
بندش	NOUN	بندش	
بهاني	NOUN	بهانو	
بورچي	NOUN	بورچي	
بورچيءَ	NOUN	بورچي	
بوکلاجي	NOUN	بوکلاجي	
بوکلاهٽ	NOUN	بوکلاهٽ	
بيري	NOUN	بيري	
بيزار	NOUN	بيزار	
بگٽو	NOUN	بگٽو	
تئونريءَ	NOUN	تئونريءَ	
تان	NOUN	تان	
تبديليءَ	NOUN	تبديليءَ	
تبصري	NOUN	تبصري	
تخليق	NOUN	تخليق	
ترميمن	NOUN	ترميم	
ترڪ	NOUN	ترڪ	
تعريف	NOUN	تعريف	
تعلقات	NOUN	تعلقات	
تعميل	NOUN	تعميل	
تلاشين	NOUN	تلاشي	
تمظيمن	NOUN	تمظيم	
تنظيم	NOUN	تنظيم	
تنظيمن	NOUN	تنظيم	
توڪ	NOUN	توڪ	
تپڻ	NOUN	تپڻ	
تڏا	NOUN	تڏو	
جائزي	NOUN	جائزي	
جاندار	NOUN	جاندار	
جاني	NOUN	جاني	
جانين	NOUN	جاني	
جاگيردارن	NOUN	جاگيردار	
جبل	NOUN	جبل	
جذبن	NOUN	جذب	
جرنلزم	NOUN	جرنلزم	
جرنلن	NOUN	جرنل	
جروار	NOUN	جروار	
جرڳي	NOUN	جرڳو	
جلاد	NOUN	جلاد	
جمع	NOUN	جمع	
جملي	NOUN	جملو	
جنازي	NOUN	جنازو	
جنتري	NOUN	جنتري	
جنرلن	NOUN	جنرل	
جنگجوئن	NOUN	جنگجو	
جهاد	NOUN	جهاد	
جهتيال	NOUN	جهتيال	
جهيڙو	NOUN	جهيڙو	
جوان	NOUN	جوان	
جوڻيجي	NOUN	جوڻيجو	
جيتامڙو	NOUN	جيتامڙو	
جيلن	NOUN	جيل	
جٺ	NOUN	جٺ	
حراست	NOUN	حراست	
حسد	NOUN	حسد	
حقيقتن	NOUN	حقيقت	
حقيقتون	NOUN	حقيقت	
خابرو	NOUN	خابرو	
خاصخيلي	NOUN	خاصخيلي	
خبرن	NOUN	خبر	
خبرون	NOUN	خبر	
خدمتن	NOUN	خدمت	
خدمتون	NOUN	خدمت	
خذمت	NOUN	خذمت	
خساري	NOUN	خسارو	
خوشحاليءَ	NOUN	خوشحاليءَ	
خون	NOUN	خون	
خيريت	NOUN	خيريت	
خيل	NOUN	خيل	
دؤر	NOUN	دؤر	
دبئي	NOUN	دبئي	
درخواستگذار	NOUN	درخواستگذار	
درناهه	NOUN	درناهه	
دروازو	NOUN	دروازو	
دري	NOUN	دري	
درٻار	NOUN	درٻار	
دعويٰ	NOUN	دعويٰ	
دفعو	NOUN	دفعو	
دلين	NOUN	دل	
دلچسپيءَ	NOUN	دلچسپيءَ	
دوست	NOUN	دوست	
دوڪانن	NOUN	دوڪان	
ديانتداري	NOUN	ديانتداري	
دڪانن	NOUN	دڪان	
ذمي	NOUN	ذمي	
ذهن	NOUN	ذهن	
ذهنيت	NOUN	ذهنيت	
ذيان	NOUN	ذيان	
راتيون	NOUN	رات	
راست	NOUN	راست	
راڄڌاني	NOUN	راڄڌاني	
راڪ	NOUN	راڪ	
راڪيٽ	NOUN	راڪيٽ	
راڻي	NOUN	راڻي	
راڻيءَ	NOUN	راڻي	
راھ	NOUN	راھ	
رجسٽر	NOUN	رجسٽر	
رحمي	NOUN	رحمي	
رس	NOUN	رس	
رفت	NOUN	رفت	
رموٽ	NOUN	رموٽ	
رنجو	NOUN	رنجو	
روسيءَ	NOUN	روسيءَ	
روينيو	NOUN	روينيو	
رويو	NOUN	رويو	
رويي	NOUN	رويو	
روٽ	NOUN	روٽ	
رياس	NOUN	رياس	
رياست	NOUN	رياست	
ريسٽورنٽ	NOUN	ريسٽورنٽ	
رَن	NOUN	رَن	
رُجحانن	NOUN	رُجحان	
رٽائر	NOUN	رٽائر	
رپورٽنگ	NOUN	رپورٽنگ	
رپيو	NOUN	رپيو	
زخمين	NOUN	زخمي	
سازشون	NOUN	سازش	
سالگرهه	NOUN	سالگرهه	
سبق	NOUN	سبق	
سردمهريءَ	NOUN	سردمهريءَ	
سرنگهه	NOUN	سرنگهه	
سروس	NOUN	سروس	
سرچ	NOUN	سرچ	
سزا	NOUN	سزا	
سفارتخانو	NOUN	سفارتخانو	
سفارتخاني	NOUN	سفارتخانو	
سلاد	NOUN	سلاد	
سلاڌاڻي	NOUN	سلاڌاڻي	
سلوڪ	NOUN	سلوڪ	
سماءَ	NOUN	سماءَ	
سوشلزم	NOUN	سوشلزم	
سوليءَ	NOUN	سوليءَ	
سوکڙي	NOUN	سوکڙو	
سيشلز	NOUN	سيشلز	
سيٽ	NOUN	سيٽ	
سيڙپ	NOUN	سيڙپ	
سيڪريٽرين	NOUN	سيڪريٽري	
سيڪنڊن	NOUN	سيڪنڊ	
سٽا	NOUN	سٽا	
سپاهه	NOUN	سپاهه	
سپلائي	NOUN	سپلائي	
سڀاڻ	NOUN	سڀاڻ	
سڃاڻپ	NOUN	سڃاڻپ	
سچائيءَ	NOUN	سچائيءَ	
سڌارا	NOUN	سڌارو	
شخصيتن	NOUN	شخصيت	
شدت	NOUN	شدت	
شراب	NOUN	شراب	
شرم	NOUN	شرم	
شعبي	NOUN	شعبي	
شعلا	NOUN	شعلا	
شهزادي	NOUN	شهزادي	
شهزاديون	NOUN	شهزادي	
شيرخواريءَ	NOUN	شيرخواريءَ	
شيشو	NOUN	شيشو	
صبر	NOUN	صبر	
صحابه	NOUN	صحابه	
صحافي	NOUN	صحافي	
صدي	NOUN	صدي	
صفن	NOUN	صف	
صلاحون	NOUN	صلاح	
صلاحيتن	NOUN	صلاحيت	
صندوق	NOUN	صندوق	
صنعا	NOUN	صنعا	
صوام	NOUN	صوام	
ضمانت	NOUN	ضمانت	
طبقي	NOUN	طبقو	
طريقي	NOUN	طريقو	
عبرت	NOUN	عبرت	
عدليه	NOUN	عدليه	
عراق	NOUN	عراق	
عزادارن	NOUN	عزادار	
عزتي	NOUN	عزتي	
عقيدت	NOUN	عقيدت	
علامتي	NOUN	علامتي	
علمن	NOUN	علم	
عنصر	NOUN	عنصر	
عهدي	NOUN	عهدو	
غزه	NOUN	غزه	
غلطين	NOUN	غلطي	
غم	NOUN	غم	
فارم	NOUN	فارم	
فخر	NOUN	فخر	
فلنڊر	NOUN	فلنڊر	
فيلڊ	NOUN	فيلڊ	
قاديانين	NOUN	قادياني	
قافلن	NOUN	قافلو	
قانوني	NOUN	قانون	
قبضا	NOUN	قبضا	
قرباني	NOUN	قرباني	
قرض	NOUN	قرض	
لاقانونيت	NOUN	لاقانونيت	
لاهن	NOUN	لاه	
لبيا	NOUN	لبيا	
لحاظ	NOUN	لحاظ	
لسٽ	NOUN	لسٽ	
لشڪر	NOUN	لشڪر	
لهجا	NOUN	لهجو	
لومڙيءَ	NOUN	لومڙي	
لومڙين	NOUN	لومڙي	
لوهار	NOUN	لوهار	
ليبلنگ	NOUN	ليبلنگ	
لُٽ	NOUN	لُٽ	
لٽ	NOUN	لٽ	
لکت	NOUN	لکت	
لکڻ	NOUN	لک	
لڪي	NOUN	لڪ	
ماء	NOUN	ماء	
مائرون	NOUN	مائر	
مائل	NOUN	مائل	
مادي	NOUN	مادي	
مارئي	NOUN	مارئي	
مارڪيٽن	NOUN	مارڪيٽ	
مايوسي	NOUN	مايوسي	
مايوسين	NOUN	مايوسئو	
مبتلا	NOUN	مبتلا	
مبني	NOUN	مبنو	
مت	NOUN	مت	
متاري	NOUN	متارو	
متعارف	NOUN	متعارف	
مجبورين	NOUN	مجبور	
محاذن	NOUN	محاذ	
مخلوق	NOUN	مخلوق	
مذاق	NOUN	مذاق	
مذاڪرن	NOUN	مذاڪرو	
مذاڪرو	NOUN	مذاڪرو	
مرحلن	NOUN	مرحلو	
مروت	NOUN	مروت	
مرچون	NOUN	مرچ	
مزاحمت	NOUN	مزاحمت	
مسئلي	NOUN	مسئلو	
مشن	NOUN	مشن	
مشينري	NOUN	مشينري	
مشڪلاتون	NOUN	مشڪل	
مصيبتون	NOUN	مصيبت	
مطالبن	NOUN	مطالبو	
معافي	NOUN	معافي	
مـُون	NOUN	مـُون	
مفلوج	NOUN	مفلوج	
ملون	NOUN	مل	
ملڪيتن	NOUN	ملڪيت	
ملڪين	NOUN	ملڪي	
مناسبت	NOUN	مناسبت	
منتقل	NOUN	منتقل	
منسوب	NOUN	منسوب	
مهاراج	NOUN	مهاراج	
مواخذي	NOUN	مواخذي	
موتن	NOUN	موت	
موڙهو	NOUN	موڙهو	
ميلا	NOUN	ميلا	
مينس	NOUN	مينس	
مينگل	NOUN	مينگل	
ميچوئر	NOUN	ميچوئر	
ميڙون	NOUN	ميڙ	
ميگا	NOUN	ميگا	
مُلڪ	NOUN	مُلڪ	
مُهرو	NOUN	مُهرو	
مٽن	NOUN	مٽ	
مٽيءَ	NOUN	مٽي	
مڪين	NOUN	مڪين	
مڱيندي	NOUN	مڱ	
نابري	NOUN	نابرو	
ناحق	NOUN	ناحق	
نارمل	NOUN	نارمو	
ناظرين	NOUN	ناظري	
نالائقيءَ	NOUN	نالائقيءَ	
نامينلسٽ	NOUN	نامينلسٽ	
ناهيد	NOUN	ناهيد	
ناول	NOUN	ناول	
ناڻو	NOUN	ناڻو	
نبض	NOUN	نبض	
نثر	NOUN	نثر	
نصب	NOUN	نصب	
نصيحت	NOUN	نصيحت	
نظريي	NOUN	نظريو	
نظم	NOUN	نظم	
نعرا	NOUN	نعرو	
نعرن	NOUN	نعري	
نعريبازي	NOUN	نعريبازي	
نقشن	NOUN	نقشو	
نقصانن	NOUN	نقصان	
نقطو	NOUN	نقطو	
نمائندي	NOUN	نمائندو	
ننڍ	NOUN	ننڍ	
ننگ	NOUN	ننگ	
نيرن	NOUN	نيرو	
نيوز	NOUN	نيوز	
نگارن	NOUN	نگارو	
هانءُ	NOUN	هانءُ	
هاٿي	NOUN	هاٿي	
هاٿين	NOUN	هاٿي	
هرکر	NOUN	هرکر	
هرڻ	NOUN	هرڻ	
همت	NOUN	همت	
همٿ	NOUN	همٿ	
هنگاما	NOUN	هنگاما	
هوٽل	NOUN	هوٽل	
هيرو	NOUN	هيرو	
هٿن	NOUN	هٿ	
هٿي	NOUN	هٿي	
هڏن	NOUN	هڏ	
هڙتال	NOUN	هڙتال	
وائکيون	NOUN	وائک	
وابستگي	NOUN	وابستگي	
وابستگيءَ	NOUN	وابستگي	
وارو	NOUN	وارو	
واعدن	NOUN	واعدو	
واعدو	NOUN	واعدو	
واٽ	NOUN	واٽ	
ورهين	NOUN	ورهي	
وسعت	NOUN	وسعت	
وطنن	NOUN	وطن	
وفاداري	NOUN	وفاداري	
ويجهه	NOUN	ويجهه	
ويچار	NOUN	ويچار	
ويگنن	NOUN	ويگنو	
ويگنون	NOUN	ويگن	
وٿاڻ	NOUN	وٿاڻ	
وڏائي	NOUN	وڏائي	
وڪري	NOUN	وڪرو	
وڳ	NOUN	وڳ	
وڳڻ	NOUN	وڳڻ	
يڪجهتي	NOUN	يڪجهتي	
َجواب	NOUN	َجواب	
ٺاهه	NOUN	ٺاهه	
ٺڳ	NOUN	ٺڳ	
ٻالڪ	NOUN	ٻالڪ	
ٻانهن	NOUN	ٻانهو	
ٻـيلي	NOUN	ٻـيلو	
ٻني	NOUN	ٻيو	
ٻوٽ	NOUN	ٻوٽ	
ٻٻرن	NOUN	ٻٻر	
ٽاسڪ	NOUN	ٽاسڪ	
ٽيليڪاسٽ	NOUN	ٽيليڪاسٽ	
ٽيچر	NOUN	ٽيچر	
ٽيڪم	NOUN	ٽيڪم	
ٽيڪنالاجيءَ	NOUN	ٽيڪنالاجيءَ	
پئڪيج	NOUN	پئڪيج	
پار	NOUN	پار	
پاسن	NOUN	پاسو	
پالو	NOUN	پالو	
پاليسيءَ	NOUN	پاليسيءَ	
پاور	NOUN	پاور	
پاڇولن	NOUN	پاڇولو	
پاڙا	NOUN	پاڙو	
پرسن	NOUN	پرسن	
پرسنز	NOUN	پرسنز	
پرعزم	NOUN	پرعزم	
پروسيس	NOUN	پروسيس	
پروفيسر	NOUN	پروفيسر	
پروپگنڊا	NOUN	پروپگنڊا	
پريشان	NOUN	پريشان	
پرَ	NOUN	پرَ	
پسمنظر	NOUN	پسمنظر	
پـَرَ	NOUN	پـَرَ	
پليٽ	NOUN	پليٽ	
پنهور	NOUN	پنهور	
پوانگ	NOUN	پوانگ	
پورهيو	NOUN	پورهيو	
پوليٽيڪل	NOUN	پوليٽيڪل	
پياري	NOUN	پياري	
پيارين	NOUN	پياري	
پيالو	NOUN	پيالو	
پيدائش	NOUN	پيدائش	
پيس	NOUN	پيس	
پيغام	NOUN	پيغام	
پيغامن	NOUN	پيغام	
پٽيون	NOUN	پٽي	
پچ	NOUN	پچ	
ٿام	NOUN	ٿام	
ٿنڀ	NOUN	ٿنڀ	
ڀاڄائي	NOUN	ڀاڄائي	
ڀرتي	NOUN	ڀرتي	
ڀوت	NOUN	ڀوت	
ڀومي	NOUN	ڀومو	
ڀڃ	NOUN	ڀڃ	
چؤڦير	NOUN	چؤڦير	
چؤڪس	NOUN	چؤڪس	
چئنلز	NOUN	چئنل	
چئنلن	NOUN	چئنل	
چالان	NOUN	چالان	
چاڙهن،	NOUN	چاڙه	
چلڪو	NOUN	چلڪو	
چمڪو	NOUN	چمڪو	
چنڊا	NOUN	چنڊو	
چورن	NOUN	چورو	
چوريءَ	NOUN	چوري	
چوها	NOUN	چوها	
چيتا	NOUN	چيتو	
چيلهه	NOUN	چيلهه	
چڪاس	NOUN	چڪاس	
ڇاپو	NOUN	ڇاپو	
ڇرڪ	NOUN	ڇرڪ	
ڇهه	NOUN	ڇهه	
ڇڳا	NOUN	ڇڳو	
ڊاهه	NOUN	ڊاهه	
ڊرائيور	NOUN	ڊرائيور	
ڊرامن	NOUN	ڊرامو	
ڊرون	NOUN	ڊرون	
ڌارائن	NOUN	ڌارا	
ڌاڙيلن	NOUN	ڌاڙيل	
ڌرڻو	NOUN	ڌرڻو	
ڌماڪا	NOUN	ڌماڪو	
ڌماڪن	NOUN	ڌماڪو	
ڌمڪين	NOUN	ڌمڪي	
ڌپو	NOUN	ڌپو	
ڏاڍايون	NOUN	ڏاڍائي	
ڏند	NOUN	ڏند	
ڏهاڙا	NOUN	ڏهاڙو	
ڏور	NOUN	ڏور	
ڏٻي	NOUN	ڏٻ	
ڦاهي	NOUN	ڦاهي	
ڦاهيءَ	NOUN	ڦاهي	
ڦلجي	NOUN	ڦلج	
ڦهلاءَ	NOUN	ڦهلاءِ	
کامي	NOUN	کامي	
کاڌل	NOUN	کاڌل	
کهرو	NOUN	کهرو	
کيل	NOUN	کيل	
ڪارروايون	NOUN	ڪارروائين	
ڪاروبار	NOUN	ڪاروبار	
ڪاريون	NOUN	ڪاري	
ڪاغذ	NOUN	ڪاغذ	
ڪاليج	NOUN	ڪاليج	
ڪانون	NOUN	ڪانو	
ڪاوشن	NOUN	ڪاوش	
ڪتي	NOUN	ڪتو	
ڪراڙي	NOUN	ڪراڙو	
ڪروڌ	NOUN	ڪروڌ	
ڪريٽن	NOUN	ڪريٽ	
ڪرپٽ	NOUN	ڪرپٽ	
ڪشي	NOUN	ڪشي	
ڪـَـرڪـَـر	NOUN	ڪـَـرڪـَـر	
ڪل	NOUN	ڪل	
ڪلاس	NOUN	ڪلاس	
ڪلب	NOUN	ڪلب	
ڪلهوڙي	NOUN	ڪلهوڙو	
ڪلوئي	NOUN	ڪلوئي	
ڪمبل	NOUN	ڪمبل	
ڪندڙن	NOUN	ڪن	
ڪنڀار	NOUN	ڪنڀار	
ڪنڀر	NOUN	ڪنڀر	
ڪوئو	NOUN	ڪوئو	
ڪوتائون	NOUN	ڪوتا	
ڪوني	NOUN	ڪوني	
ڪوٺين	NOUN	ڪوٺي	
ڪوٺيون	NOUN	ڪوٺي	
ڪيريئر	NOUN	ڪيريئر	
ڪيمپ	NOUN	ڪيمپ	
ڪٽهڙي	NOUN	ڪٽهڙو	
ڪڙميء	NOUN	ڪڙميو	
گروه	NOUN	گروه	
گروپن	NOUN	گروپ	
گفتگو	NOUN	گفتگو	
گهٽيون	NOUN	گهٽي	
گودامن	NOUN	گودام	
گيرس	NOUN	گيرس	
ڳنڍڙين	NOUN	ڳنڍڙي	
ڳچي	NOUN	ڳچو	
اربين	NUM	اربين	
ست	NUM	ست	
ستن	NUM	ست	
ويهن	NUM	ويه	
پنجويهه	NUM	پنجويهه	
پندرهن	NUM	پندرهن	
چوڏهن	NUM	چوڏهن	
ڏهن	NUM	ڏه	
اسانجن	PRON	اسانجو	
اسانجو	PRON	اسانجو	
جهڙي	PRON	جهڙو	
جوئي	PRON	جوئي	
جيون	PRON	جيو	
جيڪي	PRON	جيڪو	
سندس	PRON	سندس	
منهنجيون	PRON	منهنجو	
آدم	PROPN	آدم	
آسٽريليا	PROPN	آسٽريليا	
اسماعيل	PROPN	اسماعيل	
الدعوه	PROPN	الدعوه	
الرٽ	PROPN	الرٽ	
امر	PROPN	امر	
اوڀر	PROPN	اوڀر	
ايذرا	PROPN	ايذرو	
اينڊ	PROPN	اينڊ	
اڪارون	PROPN	اڪار	
بابن	PROPN	بابن	
باجوڙ	PROPN	باجوڙ	
برٽينڪا	PROPN	برٽينڪا	
بورس	PROPN	بورس	
تحسين	PROPN	تحسين	
توڪ	PROPN	توڪ	
ثناءُ	PROPN	ثناءُ	
جناب	PROPN	جناب	
جنوري	PROPN	جنوري	
جهرڪيءَ	PROPN	جهرڪي	
جيش	PROPN	جيش	
حاجره	PROPN	حاجره	
حاجي	PROPN	حاجي	
حافظ	PROPN	حافظ	
حسين	PROPN	حسين	
حيات	PROPN	حيات	
خالد	PROPN	خالد	
خيام	PROPN	خيام	
دانتي	PROPN	دانتي	
دوست	PROPN	دوست	
دوستو	PROPN	دوستو	
راجپوت	PROPN	راجپوت	
راڻا	PROPN	راڻا	
رُبوهي	PROPN	رُبوهي	
زمانه	PROPN	زمانه	
زهرالله	PROPN	زهرالله	
زوواگو	PROPN	زوواگو	
سراروغه	PROPN	سراروغه	
سرحد	PROPN	سرحد	
سريلنڪا	PROPN	سريلنڪا	
سرگوڌا	PROPN	سرگوڌا	
سلنجانا	PROPN	سلنجانا	
سولنگي	PROPN	سولنگي	
سيڪريٽريٽ	PROPN	سيڪريٽريٽ	
سڌ	PROPN	سڌ	
شاهنامو	PROPN	شاهنامو	
شهنشاهه	PROPN	شهنشاهه	
شيرپائو	PROPN	شيرپائو	
شيڪسپيئر	PROPN	شيڪسپيئر	
صنعا	PROPN	صنعا	
صوبي	PROPN	صوبو	
صومالي	PROPN	صوماليا	
صوماليا	PROPN	صوماليا	
ضابطهء	PROPN	ضابطهء	
ظفر	PROPN	ظفر	
عبدالباسط	PROPN	عبدالباسط	
عبدالغفار	PROPN	عبدالغفار	
عراق	PROPN	عراق	
عطاءُ	PROPN	عطاءُ	
عمراڻي	PROPN	عمراڻو	
غوث	PROPN	غوث	
فرينڊلي	PROPN	فرينڊلي	
فلسطين	PROPN	فلسطين	
فيلسوف	PROPN	فيلسوف	
قاهره	PROPN	قاهره	
قمرالدين	PROPN	قمرالدين	
لوشون	PROPN	لوش	
لياقت	PROPN	لياقت	
ليليٰ	PROPN	ليليٰ	
ليگ	PROPN	ليگ	
ماسڪو	PROPN	ماسڪو	
مانيٽرنگ	PROPN	مانيٽرنگ	
محب	PROPN	محب	
