Word	POS	Predicted	
سنڀاليون	VERB	سنڀال	
سهندو	VERB	سه	
سهي	VERB	سه	
سهگنداسين	VERB	سهگي	
سوچيل	VERB	سوچيل	ADJ
سوچين	VERB	سوچ	
سوچيندا	VERB	سوچ	
سيکاريندو	VERB	سيکار	
سُڻندا	VERB	سُڻ	
سٽيل	VERB	سٽ	
سٽين	VERB	سٽ	
سٽيندا	VERB	سٽ	
سڃاڻان	VERB	سڃاڻ	
سڃاڻن	VERB	سڃاڻ	
سڃاڻو	VERB	سڃاڻ	
سڏائجن	VERB	سڏائج	
سڏايل	VERB	سڏاءِ	
سڏايو	VERB	سڏاءِ	
سڏجي	VERB	سڏج	
سڏين	VERB	سڏ	
سڏيندي	VERB	سڏ	
سڙيل	VERB	سڙ	
سڙڻ	VERB	سڙ	
سکندا	VERB	سک	
سڪي	VERB	سڪ	
سڪڻ	VERB	سڪڻ	
سڻائڻ	VERB	سڻاءِ	
شرمائيندي	VERB	شرماءِ	
صفا	VERB	صفا	ADJ
طئه	VERB	طئه	ADJ or NOUN
طلبيون	VERB	طلب	
فاٽڻ	VERB	فاٽ	
فرمايو	VERB	فرماءِ	
قبولجڻ	VERB	قبولج	
قبولي	VERB	قبول	
قبوليو	VERB	قبول	
قبولڻ	VERB	قبول	
قرارڏئي	VERB	قرارئي	Tokenization Problem قرار ڏئي
لائي	VERB	لائي	
لاهين	VERB	لاه	
لاهيندو	VERB	لاه	
لاهيو	VERB	لاه	
لاهيون	VERB	لاه	
لاٿا	VERB	لاه	
لاٿو	VERB	لاه	
لاڳاپيل	VERB	لاڳاپيو	ADJ
لتاڙيو	VERB	لتاڙ	
لتاڙڻ	VERB	لتاڙ	
لـُڙهي	VERB	لـُڙه	
للڪاري	VERB	للڪار	
لمندي	VERB	لم	
لمندڙ	VERB	لم	
لنگهون	VERB	لنگھ	
لنگهي	VERB	لنگه	
لنگهيا	VERB	لنگه	
لنگهڻو	VERB	لنگه	
لهرايو	VERB	لهراءِ	
لهن	VERB	له	
لهندڙ	VERB	له	
لهڻ	VERB	له	
لوڏيندي	VERB	لوڏ	
لوڙهڻ	VERB	لوڙه	
لوڙيو	VERB	لوڙ	
ليٽندي	VERB	ليٽ	
ليٽي	VERB	ليٽ	
ليکجڻ	VERB	ليکج	
لٽيو	VERB	لٽ	
لٽڻ	VERB	لٽ	
لڄايو	VERB	لڄاءِ	
لڏندي	VERB	لڏ	
لڏندڙ	VERB	لڏ	
لڏي	VERB	لڏ	
لڏڻ	VERB	لڏ	
لڙهنديون	VERB	لڙه	
لڙڪندو	VERB	لڙڪ	
لڙڪيو	VERB	لڙڪ	
لڙڻ	VERB	لڙ	
لکرائي	VERB	لکراءِ	
لکن	VERB	لک	
لکندو	VERB	لک	
لکهو	VERB	لک	
لکو	VERB	لک	
لکيوسين	VERB	لک	
لڪا	VERB	لڪ	
لڪايل	VERB	لڪاءِ	
لڳايا	VERB	لڳاءِ	
لڳندا	VERB	لڳ	
لڳندي	VERB	لڳ	
لڳنديون	VERB	لڳ	
لڳيو	VERB	لڳ	
لڳيون	VERB	لڳ	
لڳڻا	VERB	لڳ	
لڳڻي	VERB	لڳ	
لڻبو	VERB	لڻ	
لڻجي	VERB	لڻج	
مارائي	VERB	ماراءِ	
مارايو	VERB	ماراءِ	
مارو	VERB	مارو	NOUN?
مارين	VERB	مار	
ماڻي	VERB	ماڻ	
ماڻيندو	VERB	ماڻ	
ماڻيندڙ	VERB	ماڻ	
مرنداسون	VERB	مرندو	
مرندس	VERB	مر	
مرندو	VERB	مر	
مرڪندا	VERB	مرڪ	
مرڪندي	VERB	مرڪ	
مرڻو	VERB	مر	
مـُئي	VERB	مـر	
مـُرڪندي	VERB	مـُرڪ	
ملندو	VERB	مل	
ملندي	VERB	مل	
ملندڙ	VERB	مل	
ملهايل	VERB	ملهاءِ	
ملهايون	VERB	ملهاءِ	
ملين	VERB	مل	
ملڻو	VERB	مل	
ملھائجندڙ	VERB	ملھاءِ	
موهي	VERB	موه	
موهيو	VERB	موه	
موٽن	VERB	موٽ	
موٽندي	VERB	موٽ	
موٽيو	VERB	موٽ	
موڪلائي	VERB	موڪلاءِ	
موڪليندو	VERB	موڪل	
موڪليندوسانس	VERB	موڪل	
ميچي	VERB	ميچ	
ميڙي	VERB	ميڙ	
مڃان	VERB	مڃ	
مڃون	VERB	مڃ	
مڃيا	VERB	مڃ	
مچي	VERB	مچ	
مڇرجي	VERB	مڇرج	
مکڻ	VERB	مک	
ننديو	VERB	نند	
نهاربو	VERB	نهار	
نيئندي	VERB	نيئن	
نيو	VERB	نيو	
نٽايو	VERB	نٽاءِ	
نپائڻ	VERB	نپاءِ	
نپجڻ	VERB	نپج	
نڪريو	VERB	نڪر	
هئائون	VERB	آهي	
هئم	VERB	آهي	
هائيجيڪ	VERB	هائيجيڪ	
هارائيندو	VERB	هاراءِ	
هارڻ	VERB	هار	
هلائي	VERB	هلاءِ	
هلائين	VERB	هلاءِ	
هلائينداسين	VERB	هلاءِ	
هلائڻو	VERB	هلاءِ	
هلايان	VERB	هلاءِ	
هلايو	VERB	هلاءِ	
هلن	VERB	هل	
هليون	VERB	هل	
هنئي	VERB	ھڻ	
هنيون	VERB	ھڻ	
هوندس	VERB	آھي	
هوندوء	VERB	آھي	
هونديون	VERB	آهي	
هياسين	VERB	آهي	
هٽائي	VERB	هٽاءِ	
هٽائڻ	VERB	هٽاءِ	
هٽايو	VERB	هٽاءِ	
هٽي	VERB	هٽ	
هڪليندو	VERB	هڪل	
هڪليو	VERB	هڪل	
هڻايو	VERB	هڻاءِ	
هڻجانءِ	VERB	هڻج	
هڻن	VERB	هڻ	
هڻندا	VERB	هڻ	
هڻنداسين	VERB	هڻ	
هڻو	VERB	هڻ	
واري	VERB	وارو	NOUN
وارڻ	VERB	وار	
واضح	VERB	واضح	ADJ
وانجهائي	VERB	وانجهاءِ	
وانجهجي	VERB	وانجهج	
واندي	VERB	واندو	ADJ
واپرايو	VERB	واپراءِ	
وتن	VERB	وت	
وتون	VERB	وت	
وجهان	VERB	وجه	
وجهبي	VERB	وجه	
وجهيو	VERB	وجه	
ورائي	VERB	وراءِ	
وراڻيس	VERB	وراڻ	
ورتائون	VERB	وٺ	
ورجايو	VERB	ورجاءِ	
ورنائڻ	VERB	ورناءِ	
ورهائڻ	VERB	ورهاءِ	
ورهايا	VERB	ورهاءِ	
ورهايل	VERB	ورهاءِ	
ورهايو	VERB	ورهاءِ	
وريل	VERB	ور	
وسائي	VERB	وساءِ	
وسائڻ	VERB	وساءِ	
وساڻل	VERB	وساڻو	
وندرائڻ	VERB	وندر	
وهايا	VERB	وهاءِ	
وهن	VERB	وه	
وهنجڻ	VERB	وهنج	
وهندا	VERB	وه	
وهنديون	VERB	وه	
وهيو	VERB	وه	
وياسين	VERB	وڃ	
ويل	VERB	وڃ	
وينديس	VERB	وڃ	
ويندينءَ	VERB	وڃ	
ويندڙن	VERB	وڃ	
ويهاري	VERB	ويه	
ويهاريائين	VERB	ويه	
ويهاريو	VERB	ويه	
ويهندا	VERB	ويه	
ويهه	VERB	ويه	
ويهو	VERB	ويه	
ويهڻ	VERB	ويه	
ويوهو	VERB	ويوهو	Tokenization problem  ويو هو
ويوَ	VERB	ويو	
ويٺيون	VERB	ويھ	
ويچاريو	VERB	ويچار	
ويچاريون	VERB	ويچار	
ويڙهائي	VERB	ويڙهاءِ	
ويڙهجي	VERB	ويڙهج	
وٺان	VERB	وٺ	
وٺانس	VERB	وٺ	
وٺجو	VERB	وٺج	
وٺرائيندي	VERB	وٺراءِ	
وٺراڻي	VERB	وٺراڻو	
وٺندا	VERB	وٺ	
وٺندڙ	VERB	وٺ	
وٽس	VERB	وٽس	
وٽي	VERB	وٽ	
وپرائي	VERB	وپرائي	
وڃاءِ	VERB	وڃاءِ	
وڃائڻ	VERB	وڃ	
وڃايون	VERB	وڃاءِ	
وڃجي	VERB	وڃج	
وڄائڻ	VERB	وڄاءِ	
وڄي	VERB	وڄ	
وڇايل	VERB	وڇاءِ	
وڌندو	VERB	وڌ	
وڌيا	VERB	وڌ	
وڌيون	VERB	وڌ	
وڙهي	VERB	وڙه	
وڙهڻ	VERB	وڙه	
وڪڻنداسون	VERB	وڪڻ	
وڪڻندس	VERB	وڪڻ	
وڪڻي	VERB	وڪڻ	
ياد	VERB	ياد	NOUN?
ٺاهيل	VERB	ٺاه	
ٺاهيندس	VERB	ٺاه	
ٺاهيندو	VERB	ٺاه	
ٺاهيندي	VERB	ٺاه	
ٺاهيو	VERB	ٺاه	
ٺاهيون	VERB	ٺاه	
ٺـاهـيـون	VERB	ٺـاهـ	
ٺهرائڻ	VERB	ٺهراءِ	
ٺهيو	VERB	ٺه	
ٺپرڻ	VERB	ٺپر	
ٺھيو	VERB	ٺھ	
ٻاري	VERB	ٻار	
ٻاريون	VERB	ٻار	
ٻارڻ	VERB	ٻار	
ٻاھر	VERB	ٻاھر	ADV or NOUN
ٻري	VERB	ٻر	
ٻـُڌو	VERB	ٻـُڌ	
ٻـُڌي	VERB	ٻـُڌ	
ٻوڙينديون	VERB	ٻوڙ	
ٻڌائجي	VERB	ٻڌاءِ	
ٻڌائين	VERB	ٻڌاءِ	
ٻڌائيندا	VERB	ٻڌاءِ	
ٻڌائيندو	VERB	ٻڌاءِ	
ٻڌائڻو	VERB	ٻڌاءِ	
ٻڌايان	VERB	ٻڌاءِ	
ٻڌايوته	VERB	ٻڌايوته	Tokenization Problem ٻڌايو ته
ٻڌجن	VERB	ٻڌج	
ٻڌندس	VERB	ٻڌ	
ٻڌيو	VERB	ٻڌ	
ٻڌڻي	VERB	ٻڌ	
ٽهڪي	VERB	ٽهڪ	
ٽهڪيو	VERB	ٽهڪ	
ٽوڙي	VERB	ٽوڙ	
ٽوڙيو	VERB	ٽوڙ	
ٽيڙي	VERB	ٽيڙ	
ٽِڪڻ	VERB	ٽِڪ	
ٽٽجي	VERB	ٽٽج	
ٽٽي	VERB	ٽٽ	
ٽپڻ	VERB	ٽپ	
ٽڙندا	VERB	ٽڙ	
ٽڙي	VERB	ٽڙ	
ٽڪرائجي	VERB	ٽڪراءِ	
ٽڪريون	VERB	ٽڪر	
پاتا	VERB	پاءِ	
پاليا	VERB	پال	
پالڻ	VERB	پالڻ	
پتوڙن	VERB	پتوڙ	
پرائيندڙ	VERB	پراءِ	
پرن	VERB	پر	NOUN
پشيمان	VERB	پشيمان	ADJ
پـُسائي	VERB	پـُساءِ	
پهتاسين	VERB	پهچ	
پهتل	VERB	پهچ	
پهتيون	VERB	پهچ	
پهچائيندو	VERB	پهچاءِ	
پهچائيندي	VERB	پهچاءِ	
پهچايا	VERB	پهچاءِ	
پهچون	VERB	پهچ	
پوريو	VERB	پور	
پونديون	VERB	پو	
پويان	VERB	پويان	ADV
پوکجن	VERB	پوکج	
پوکيا	VERB	پوک	
پوکين	VERB	پوک	
پوکيندا	VERB	پوک	
پوکيندو	VERB	پوک	
پوکيو	VERB	پوک	
پياريون	VERB	پياري	ADJ or NOUN
پيتو	VERB	پيءَ	
پُئي	VERB	پُئي	
پٽجي	VERB	پٽج	
پٽڻ	VERB	پٽ	
پچ	VERB	پچ	
پچائڻ	VERB	پچاءِ	
پچن	VERB	پچ	
پچندڙ	VERB	پچ	
پڇجي	VERB	پڇ	
پڇندا	VERB	پڇ	
پڙهائي	VERB	پڙھ	
پڙهائين	VERB	پڙھ	
پڙهندا	VERB	پڙه	
پکڙيون	VERB	پکڙ	
پڪاريندا	VERB	پڪار	
پڪڙيا	VERB	پڪڙ	
پڪڙيندو	VERB	پڪڙ	
پڪڙيو	VERB	پڪڙ	
پھچائڻ	VERB	پھچاءِ	
پھچي	VERB	پھچ	
پھچڻ	VERB	پھچ	
ٿائو	VERB	ٿائو	NOUN?
ٿجو	VERB	ٿج	
ٿوڏنو	VERB	ٿوڏ	Tokenization Problem ٿو ڏنو
ٿينداسون	VERB	آهي	
ٿيندس	VERB	آهي	
ٿينديس	VERB	آهي	
ٿيندين	VERB	آهي	
ٿيڻي	VERB	آهي	
ٿِي	VERB	آهي	
ٿڪجي	VERB	ٿڪج	
ڀائيندا	VERB	ڀاءِ	
ڀائيندي	VERB	ڀاءِ	
ڀائڻ	VERB	ڀاءِ	
ڀاڱي	VERB	ڀاڱي	ADP, NOUN, or ADJ
ڀرائي	VERB	ڀراءِ	
ڀريندس	VERB	ڀر	
ڀريون	VERB	ڀر	
ڀرڻ	VERB	ڀر	
ڀـُڃجي	VERB	ڀـُڃ	
ڀـُڃي	VERB	ڀـُڃ	
ڀلجي	VERB	ڀلج	
ڀوري	VERB	ڀور	
ڀوڳي	VERB	ڀوڳ	
ڀوڳيان	VERB	ڀوڳ	
ڀوڳڻ	VERB	ڀوڳ	
ڀيري	VERB	ڀيرو	NOUN?
ڀيٽ	VERB	ڀيٽ	
ڀيٽي	VERB	ڀيٽ	
ڀيڻ	VERB	ڀيڻ	NOUN
ڀٽڪندو	VERB	ڀٽڪ	
ڀڄندي	VERB	ڀڄ	
ڀڙڪي	VERB	ڀڙڪ	
ڀڻڪڻ	VERB	ڀڻڪ	
ڄاتيون	VERB	ڄاڻ	
ڄاڻائي	VERB	ڄاڻ	
ڄاڻايل	VERB	ڄاڻاءِ	
ڄاڻندا	VERB	ڄاڻ	
ڄاڻو	VERB	ڄاڻ	
ڄاڻون	VERB	ڄاڻ	
چئجانءِ	VERB	چئج	
چئون	VERB	چئ	
چاهيندا	VERB	چاه	
چاھيون	VERB	چاھ	
چريون	VERB	چر	
چـَندا	VERB	چـَ	NOUN?
چـُرن	VERB	چـُر	
چلي	VERB	چل	
چمڪائڻ	VERB	چمڪا	
چمڪيو	VERB	چمڪ	
چمڪيون	VERB	چمڪ	
چنبڙيل	VERB	چنبڙ	
چهٽي	VERB	چهٽ	
چورائي	VERB	چوراءِ	
چورائڻ	VERB	چوراءِ	
چورايو	VERB	چوراءِ	
چوريو	VERB	چور	
چوندا	VERB	چو	
چونڊجي	VERB	چونڊ	
چيتو	VERB	چيتو	NOUN
چيري	VERB	چير	
چيرينديون	VERB	چير	
چيم	VERB	چو	
چيوته	VERB	چو	Tokenziation problem چيو ته
چَٽ	VERB	چَٽ	
چٻاڙي	VERB	چٻاڙ	
چٻاڙڻ	VERB	چٻاڙ	
چٻي	VERB	چٻ	
چڀي	VERB	چڀ	
چچرجڻ	VERB	چچرج	
چڙهائيندو	VERB	چڙهاءِ	
چڙهيل	VERB	چڙه	
چکيو	VERB	چک	
چڪائڻا	VERB	چڪاءِ	
چڪيون	VERB	چڪو	
چڳي	VERB	چڳ	
ڇـڏيـان	VERB	ڇـڏ	
ڇندا	VERB	ڇند	 May need review
ڇهڻ	VERB	ڇه	
ڇوڙي	VERB	ڇوڙ	
ڇيڙيو	VERB	ڇيڙ	
ڇپائي	VERB	ڇپاءِ	
ڇپرائڻ	VERB	ڇپراءِ	
ڇپي	VERB	ڇپ	
ڇپيندو	VERB	ڇپ	
ڇڏيائون	VERB	ڇڏ	
ڇڏيان	VERB	ڇڏ	
ڇڏينداسون	VERB	ڇڏ	
ڇڏيندي	VERB	ڇڏ	
ڇڏينديون	VERB	ڇڏ	
ڇڏڻ	VERB	ڇڏ	
ڇڙجي	VERB	ڇڙج	
ڇڪائجي	VERB	ڇڪ	
ڇڪجي	VERB	ڇڪج	
ڇڪين	VERB	ڇڪ	
ڇڪيو	VERB	ڇڪ	
ڇڪڻ	VERB	ڇڪ	
ڇڻڪارڻ	VERB	ڇڻڪار	
ڊاٺو	VERB	ڊاھ	
ڊنو	VERB	ڊڄ	
ڊهڻ	VERB	ڊه	
ڊوڙايا	VERB	ڊوڙاءِ	
ڊوڙندا	VERB	ڊوڙ	
ڊوڙنـديـون	VERB	ڊوڙ	
ڊوڙڻ	VERB	ڊوڙ	
ڊيڄاريو	VERB	ڊيڄار	
ڊيڄارڻ	VERB	ڊيڄار	
ڊڄو	VERB	ڊڄ	
ڊگهي	VERB	ڊگهو	ADJ
ڌري	VERB	ڌر	
ڌنائين	VERB	ڌناءِ	
ڌوئي	VERB	ڌوءِ	
ڌوئڻ	VERB	ڌوءِ	
ڌوئڻا	VERB	ڌوءِ	
ڌوڪيندو	VERB	ڌوڪ	
ڌوڻيو	VERB	ڌوڻ	
ڌُئان	VERB	ڌُءَ	
ڍوئي	VERB	ڍوءِ	
ڍوئيندا	VERB	ڍوءِ	
ڍڪي	VERB	ڍڪ	
ڏبا	VERB	ڏي	
ڏبيون	VERB	ڏي	
ڏجن	VERB	ڏج	
ڏسندا	VERB	ڏس	
ڏسندڙ	VERB	ڏس	
ڏسين	VERB	ڏس	
ڏسڻو	VERB	ڏس	
ڏياريا	VERB	ڏيار	
ڏياريندا	VERB	ڏيار	
ڏياريندي	VERB	ڏيار	
ڏيارڻ	VERB	ڏيار	
ڏيارڻو	VERB	ڏيار	
ڏينديس	VERB	ڏي	
ڏينديون	VERB	ڏي	
ڏيکار	VERB	ڏيکار	
ڏيکاريندا	VERB	ڏيکار	
ڏيکاريندو	VERB	ڏيکار	
ڏيکاريندي	VERB	ڏيکار	
ڏيڻيون	VERB	ڏي	
ڏٺم	VERB	ڏس	
ڏکڻ	VERB	ڏکڻ	NOUN
ڏڪڻي	VERB	ڏڪ	NOUN?
ڦاٽندي	VERB	ڦاٽ	
ڦاٽڻ	VERB	ڦاٽ	
ڦريل	VERB	ڦر	
ڦهلجي	VERB	ڦهلج	
ڦهليل	VERB	ڦهل	
ڦيرائي	VERB	ڦيراءِ	
ڦيرايو	VERB	ڦيراءِ	
ڦِري	VERB	ڦِر	
ڦِٽي	VERB	ڦِٽ	
ڦٻجي	VERB	ڦٻ	
ڦٽجي	VERB	ڦٽج	
ڦٽجڻ	VERB	ڦٽج	
ڦٽندڙ	VERB	ڦٽ	
ڦٽي	VERB	ڦٽ	
ڦٽيون	VERB	ڦٽ	
کائجانءِ	VERB	کاءِ	
کائجو	VERB	کاءِ	
کائن	VERB	کاءِ	
کائيندو	VERB	کاءِ	
کائيندوء	VERB	کاءِ	
کائيندي	VERB	کاءِ	
کارائيندو	VERB	کاراءِ	
کاوان	VERB	کاءُ	
کسڪو	VERB	کسڪ	
کسڪي	VERB	کسڪ	
کلندي	VERB	کل	
کليا	VERB	کل	
کليو	VERB	کل	
کلڻو	VERB	کل	
کولرائيندس	VERB	کولراءِ	
کوٽي	VERB	کوٽ	
کوٽڻ	VERB	کوٽ	
کينو	VERB	کي	Need review.
کيڏندڙ	VERB	کيڏ	
کيڏين	VERB	کيڏ	
کُلن	VERB	کُل	
کِلن	VERB	کِل	
کِلندو	VERB	کِل	
کِلي	VERB	کِل	
کٽيل	VERB	کٽ	
کڄي	VERB	کڄ	
کڄڻ	VERB	کڄ	
کڙڪايو	VERB	کڙڪاءِ	
کڻائي	VERB	کڻ	
کڻندو	VERB	کڻ	
کڻندي	VERB	کڻ	
کڻو	VERB	کڻ	
ڪاهيندو	VERB	ڪاه	
ڪبو	VERB	ڪر	
ڪترڻ	VERB	ڪتر	
ڪرائيندي	VERB	ڪراءِ	
ڪرائيندڙن	VERB	ڪراءِ	
ڪرايا	VERB	ڪراءِ	
ڪرايون	VERB	ڪراءِ	
ڪرجانءِ	VERB	ڪرجانءِ	
ڪرندي	VERB	ڪر	
ڪريا	VERB	ڪر	
ڪرڻيون	VERB	ڪر	
ڪمائجي	VERB	ڪماءِ	
ڪمائي	VERB	ڪماءِ	
ڪمائيندس	VERB	ڪماءِ	
ڪنايو	VERB	ڪناءِ	
ڪنداسون	VERB	ڪر	
ڪنڙ	VERB	ڪنڙ	Need review.
ڪهدو	VERB	ڪهدو	Need review.
ڪوٺڻ	VERB	ڪوٺ	
ڪيائون	VERB	ڪر	
ڪيان	VERB	ڪر	
ڪيرائي	VERB	ڪيراءِ	
ڪيرايو	VERB	ڪيراٰءِ	
ڪيونسين	VERB	ڪيو	
ڪيوَ	VERB	ڪيو	
ڪِران	VERB	ڪِر	
ڪِرجانءِ	VERB	ڪِرج	
ڪِرندي	VERB	ڪِر	
ڪِريو	VERB	ڪِر	
ڪِرڻ	VERB	ڪِر	
ڪڇندين	VERB	ڪڇ	
ڪڇي	VERB	ڪڇ	
ڪڍرائي	VERB	ڪڍ	
ڪڍرايا	VERB	ڪڍراءِ	
ڪڍن	VERB	ڪڍ	
ڪڍيا	VERB	ڪڍ	
ڪڍيل	VERB	ڪڍ	
ڪڍڻيون	VERB	ڪڍ	
ڪڻا	VERB	ڪڻو	
گذاريندا	VERB	گذار	
گذاريندي	VERB	گذار	
گذرندا	VERB	گذر	
گذرندي	VERB	گذر	
گهارڻ	VERB	گهار	
گهرائي	VERB	گهرو	ADJ 
گهرائڻ	VERB	گهراءِ	
گهران	VERB	گهر	
گهرايا	VERB	گهراءِ	
گهربل	VERB	گهر	ADJ
گهريا	VERB	گهر	
گهريو	VERB	گهر	
گهريون	VERB	گهر	
گهليندو	VERB	گهل	
گهمائيندا	VERB	گهماءِ	
گهميو	VERB	گهم	
گهٽايو	VERB	گهٽاءِ	
گهڙندو	VERB	گهڙ	
گهڙيو	VERB	گهڙ	
گهڙيون	VERB	گهڙ	
گونجبا	VERB	گونج	
گھربل	VERB	گھر	
گھرجن	VERB	گھر	
گھري	VERB	گھر	
گھٽائڻ	VERB	گھٽاءِ	
ڳائيندا	VERB	ڳاءِ	
ڳالهائيندو	VERB	ڳالهاءِ	
ڳالهائيندڙ	VERB	ڳالهاءِ	
ڳالهائڻو	VERB	ڳالهاءِ	
ڳالھائيندي	VERB	ڳالھاءِ	
ڳايو	VERB	ڳاءِ	
ڳرندو	VERB	ڳر	
ڳرندي	VERB	ڳر	
ڳوليو	VERB	ڳول	
ڳوليون	VERB	ڳول	
ڳڙڪائي	VERB	ڳڙڪاءِ	
ڳڙڪايو	VERB	ڳڙڪاءِ	
ڳڻڻ	VERB	ڳڻ	
ھئڻ	VERB	آهي	
ھجڻ	VERB	آھي	
ھلندڙ	VERB	ھل	
ھلڻ	VERB	ھل	
ھوندو	VERB	آھي	
ھڻندي	VERB	ھڻ	
۾ملهايو	VERB	ملھاءِ	Tokenization Problem ۾ ملهايو
