Raw Form	UPOS	proposed lemma	Remarks
ٿورن	ADJ	ٿورو	
ٿورو	ADJ	ٿورو	
ٿوري	ADJ	ٿوري	
ٿوريءَ	ADJ	ٿوريءَ	
چڱي	ADJ	چڱي	
چڱيءَ	ADJ	چڱيءَ	
ڪابه	ADJ	ڪابه	
ڪافي	ADJ	ڪافي	
ڪجهه	ADJ	ڪجهه	
ڪمزور	ADJ	ڪمزور	
ڪيترا	ADJ	ڪيترا	
ڪيترائي	ADJ	ڪيترائي	
ڪيترو	ADJ	ڪيترو	
ڪيتريون	ADJ	ڪيتريون	
گهٽ	ADJ	گهٽ	
گهڻو	ADJ	گهڻو	
گهڻي	ADJ	گهڻي	
ڳاڙهي	ADJ	ڳاڙهي	
ھڪ	ADJ	ھڪ	
ئي	ADP	ئي	
بابت	ADP	بابت	
باوجود	ADP	باوجود	
بعد	ADP	بعد	
تحت	ADP	تحت	
جيڪڏهن	ADP	جيڪڏهن	
خلاف	ADP	خلاف	
دوران	ADP	دوران	
سبب	ADP	سبب	
طرفان	ADP	طرف	
مطابق	ADP	مطابق	
موجب	ADP	موجب	
وارا	ADP	وارو	
وارن	ADP	وارو	
واريون	ADP	واري	
وانگر	ADP	وانگر	
وٽان	ADP	وٽ	
يعني	ADP	يعني	
پاران	ADP	پاران	
پوءِ	ADP	پوءِ	
پڻ	ADP	پڻ	
ڀرسان	ADP	ڀر	
کن	ADP	کن	
کيس	ADP	کي	
ڪري	ADP	ڪري	
آهستي	ADV	آهستي	
آڏو	ADV	آڏو	
اتان	ADV	اتي	
اتي	ADV	اتي	
اندر	ADV	اندر	
اوچتو	ADV	اوچتو	
ايئن	ADV	ايئن	
ايترو	ADV	ايترو	
اڃا	ADV	اڃا	
اڳتي	ADV	اڳ	
اڳيان	ADV	اڳ	
بجاءِ	ADV	بجاءِ	
بدران	ADV	بدران	
بلڪه	ADV	بلڪه	
بهرحال	ADV	بهرحال	
تنهنڪري	ADV	تنهنڪري	
توڙي	ADV	توڙي	
جتي	ADV	جتي	
جهڙو	ADV	جهڙو	
جيڪڏهن	ADV	جيڪڏهن	
جڏهن	ADV	جڏهن	
سامهون	ADV	سامهون	
سواءِ	ADV	سواءِ	
شايد	ADV	شايد	
لاءِ	ADV	لاءِ	
متان	ADV	متان	
موجود	ADV	موجود	Muts be ADJ
مٿان	ADV	مٿي	
مٿي	ADV	مٿي	
نيٺ	ADV	نيٺ	
هاڻ	ADV	هاڻ	
هتان	ADV	هتي	
هتي	ADV	هتي	
هوڏانهن	ADV	هوڏانهن	
هيٺ	ADV	هيٺ	
هيٺان	ADV	هيٺ	
هيڏانهن	ADV	هيڏانهن	
هڪدم	ADV	هڪدم	
وانگر	ADV	وانگر	
واپس	ADV	واپس	
ويجهو	ADV	ويجهو	
وچان	ADV	وچ	
ٻاهر	ADV	ٻاهر	
پري	ADV	پري	
پويان	ADV	پويان	
پٺيان	ADV	پٺيان	
ڀلا	ADV	ڀلا	
ڄڻ	ADV	ڄڻ	
ڇاڪاڻ	ADV	ڇاڪاڻ	
ڏانهن	ADV	ڏانهن	
ڪالهه	ADV	ڪالهه	
ڪٿي	ADV	ڪٿي	
آهيان	AUX	آهي	
آھن	AUX	آھي	
آھي	AUX	آھي	
سگهان	AUX	سگهي	
سگهن	AUX	سگهي	
سگهي	AUX	سگهي	
سگهيو	AUX	سگهي	
ناهي	AUX	ناهي	
ها	AUX	ها	
هو	AUX	هو	
هيون	AUX	هئي	
ٿا	AUX	ٿو	
ٿو	AUX	ٿو	
ٿي	AUX	ٿي	
ٿيون	AUX	ٿي	
توڙي	CCONJ	توڙي	
يا	CCONJ	يا	
اسان	DET	اسان	
انهي	DET	ان	
انهيءَ	DET	ان	
اهڙي	DET	اهڙي	
هو	DET	هو	
هيءَ	DET	هي	
هيءُ	DET	هي	
پنهنجي	DET	پنهنجو	
ڪا	DET	ڪا	
ھن	DET	ھي	
آءِ	NOUN	آءِ	
آئين	NOUN	آئين	
آبپاشي	NOUN	آبپاشي	
آخر	NOUN	آخر	
آر	NOUN	آر	
آرڊيننس	NOUN	آرڊيننس	
آسمان	NOUN	آسمان	
آغا	NOUN	آغا	
آفت	NOUN	آفت	
آفيس	NOUN	آفيس	
آفيسر	NOUN	آفيسر	
آن	NOUN	آن	
آواز	NOUN	آواز	
آپريشن	NOUN	آپريشن	
آڱر	NOUN	آڱر	
اتفاق	NOUN	اتفاق	
اجازت	NOUN	اجازت	
احتجاج	NOUN	احتجاج	
احتساب	NOUN	احتساب	
اختيار	NOUN	اختيار	
استادن	NOUN	استاد	
اسيمبلي	NOUN	اسيمبلي	
اسپتال	NOUN	اسپتال	
اسڪولن	NOUN	اسڪول	
اشارو	NOUN	اشارو	
اطلاع	NOUN	اطلاع	
اعتماد	NOUN	اعتماد	
اعلان	NOUN	اعلان	
اعليٰ	NOUN	اعليٰ	
اغوا	NOUN	اغوا	
اقتدار	NOUN	اقتدار	
امان	NOUN	امان	
اميد	NOUN	اميد	
امير	NOUN	امير	
انتظار	NOUN	انتظار	
انتظام	NOUN	انتظام	
انتظاميا	NOUN	انتظاميا	
انجام	NOUN	انجام	
انڪار	NOUN	انڪار	
انگ	NOUN	انگ	
او	NOUN	او	
اوز	NOUN	اوز	
اي	NOUN	اي	
ايس	NOUN	ايس	
ايف	NOUN	ايف	
ايم	NOUN	ايم	
اين	NOUN	اين	
ايوارڊ	NOUN	ايوارڊ	
ايڇ	NOUN	ايڇ	
اکيون	NOUN	اک	
اڳ	NOUN	اڳ	
اڳواڻ	NOUN	اڳواڻ	
اڳواڻن	NOUN	اڳواڻ	
بئراج	NOUN	بئراج	
بادشاهه	NOUN	بادشاهه	
باندرن	NOUN	باندر	
باهه	NOUN	باهه	
بحث	NOUN	بحث	
بخش	NOUN	بخش	
بدن	NOUN	بدن	
بريفنگ	NOUN	بريفنگ	
بس	NOUN	بس	
بل	NOUN	بل	
بم	NOUN	بم	
بند	NOUN	بند	
بندن	NOUN	بند	
بنياد	NOUN	بنياد	
بي	NOUN	بي	
بيان	NOUN	بيان	
بچاءُ	NOUN	بچاءُ	
بک	NOUN	بک	
تباهه	NOUN	تباهه	
تبديل	NOUN	تبديل	
تبديلي	NOUN	تبديلي	
تحريڪ	NOUN	تحريڪ	
ترجمان	NOUN	ترجمان	
ترجمو	NOUN	ترجمو	
ترجمي	NOUN	ترجمو	
ترميم	NOUN	ترميم	
تسليم	NOUN	تسليم	
تشدد	NOUN	تشدد	
تصوير	NOUN	تصوير	
تعلق	NOUN	تعلق	
تعلقي	NOUN	تعلقو	
تفصيل	NOUN	تفصيل	
تمراڻي	NOUN	تمراڻي	
توب	NOUN	توب	
تيار	NOUN	تيار	
تڪرار	NOUN	تڪرار	
جاءِ	NOUN	جاءِ	
جادوءَ	NOUN	جادوءَ	
جانور	NOUN	جانور	
جانورن	NOUN	جانور	
جانچ	NOUN	جانچ	
جج	NOUN	جج	
ججن	NOUN	جج	
جسٽس	NOUN	جسٽس	
جلد	NOUN	جلد	
جلوس	NOUN	جلوس	
جمهوريت	NOUN	جمهوريت	
جنرل	NOUN	جنرل	
جنم	NOUN	جنم	
جنگ	NOUN	جنگ	
جهنگ	NOUN	جهنگ	
جهوپڙيءَ	NOUN	جهوپڙيءَ	
جواب	NOUN	جواب	
جوابدار	NOUN	جوابدار	
جوابدارن	NOUN	جوابدار	
جي	NOUN	جي	
جيل	NOUN	جيل	
حال	NOUN	حال	
حساب	NOUN	حساب	
حصو	NOUN	حصو	
حصي	NOUN	حصو	
حل	NOUN	حل	
حمايت	NOUN	حمايت	
حملن	NOUN	حملو	
حملو	NOUN	حملو	
حملي	NOUN	حملو	
حوالي	NOUN	حوالي	
حڪم	NOUN	حڪم	
حڪمراني	NOUN	حڪمراني	
حڪومتن	NOUN	حڪومت	
خان	NOUN	خان	
خاندان	NOUN	خاندان	
خريد	NOUN	خريد	
خطاب	NOUN	خطاب	
خوراڪ	NOUN	خوراڪ	
خوشحالي	NOUN	خوشحالي	
خوشيءَ	NOUN	خوشيءَ	
خير	NOUN	خير	
دائي	NOUN	دائي	
دانهن	NOUN	دانهن	
دانهون	NOUN	دانهن	
درخواست	NOUN	درخواست	
دروازي	NOUN	دروازو	
درياءَ	NOUN	درياءَ	
دشمن	NOUN	دشمن	
دشمني	NOUN	دشمني	
دير	NOUN	دير	
ديوتا	NOUN	ديوتا	
ديوتائن	NOUN	ديوتا	
دٻاءُ	NOUN	دٻاءُ	
ذريعن	NOUN	ذريعو	
راءِ	NOUN	راءِ	
رابطو	NOUN	رابطو	
راجا	NOUN	راجا	
راز	NOUN	راز	
راڄ	NOUN	راڄ	
راڳ	NOUN	راڳ	
رت	NOUN	رت	
رد	NOUN	رد	
رستي	NOUN	رستو	
رقم	NOUN	رقم	
روز	NOUN	روز	
روڊ	NOUN	روڊ	
ريت	NOUN	ريت	
رينجرز	NOUN	رينجرز	
رپورٽ	NOUN	رپورٽ	
رپيا	NOUN	رپيو	
رپين	NOUN	رپيو	
رڙ	NOUN	رڙ	
رڙيون	NOUN	رڙ	
زرداري	NOUN	زرداري	
زماني	NOUN	زمانو	
زندگيءَ	NOUN	زندگيءَ	
سائين	NOUN	سائين	
ساراهه	NOUN	ساراهه	
سالن	NOUN	سال	
سامهون	NOUN	سامهون	
سانڊي	NOUN	سانڊو	
ساهه	NOUN	ساهه	
سبب	NOUN	سبب	
سر	NOUN	سر	
سربراهه	NOUN	سربراهه	
سرحد	NOUN	سرحد	
سردار	NOUN	سردار	
سرڪار	NOUN	سرڪار	
سطح	NOUN	سطح	
سفر	NOUN	سفر	
سلامت	NOUN	سلامت	
سلسلو	NOUN	سلسلو	
سلسلي	NOUN	سلسلو	
سماج	NOUN	سماج	
سمجهه	NOUN	سمجهه	
سنڀال	NOUN	سنڀال	
سنڌي	NOUN	سنڌي	
سهراب	NOUN	سهراب	
سوار	NOUN	سوار	
سوال	NOUN	سوال	
سوتون	NOUN	سوت	
سور	NOUN	سور	
سومرو	NOUN	سومرو	
سي	NOUN	سي	
سياسي	NOUN	سياسي	
سيد	NOUN	سيد	
سيشن	NOUN	سيشن	
سيڊا	NOUN	سيڊا	
سيڪريٽري	NOUN	سيڪريٽري	
سيڪيورٽي	NOUN	سيڪيورٽي	
سيڪڙو	NOUN	سيڪڙو	
شامل	NOUN	شامل	
شاهه	NOUN	شاهه	
شخص	NOUN	شخص	
شروع	NOUN	شروع	
شروعات	NOUN	شروعات	
شريف	NOUN	شريف	
شرڪت	NOUN	شرڪت	
شهري	NOUN	شهري	
شهرين	NOUN	شهري	
شهزاديءَ	NOUN	شهزاديءَ	
شهيد	NOUN	شهيد	
شهيدن	NOUN	شهيد	
شيخ	NOUN	شيخ	
شير	NOUN	شير	
شين	NOUN	شين	
شينهن	NOUN	شينهن	
شينهڻ	NOUN	شينهڻ	
شيون	NOUN	شي	
شڪار	NOUN	شڪار	
شڪست	NOUN	شڪست	
شگر	NOUN	شگر	
صحافين	NOUN	صحافي	
صدر	NOUN	صدر	
صلاح	NOUN	صلاح	
صوبن	NOUN	صوبي	
صوبي	NOUN	صوبي	
صورت	NOUN	صورت	
صوفي	NOUN	صوفي	
ضرور	NOUN	ضرور	
ضلعي	NOUN	ضلعو	
طرح	NOUN	طرح	
طرف	NOUN	طرف	
طرفان	NOUN	طرف	
طريقيڪار	NOUN	طريقيڪار	
طور	NOUN	طور	
طوطي	NOUN	طوطو	
ظاهر	NOUN	ظاهر	
عجب	NOUN	عجب	
عدالت	NOUN	عدالت	
عرض	NOUN	عرض	
عقل	NOUN	عقل	
علائقن	NOUN	علائقو	
عمارت	NOUN	عمارت	
عمر	NOUN	عمر	
عملدار	NOUN	عملدار	
عملدارن	NOUN	عملدار	
عوام	NOUN	عوام	
عورتن	NOUN	عورت	
غلطي	NOUN	غلطي	
غور	NOUN	غور	
غير	NOUN	غير	
فائدو	NOUN	فائدو	
فائرنگ	NOUN	فائرنگ	
فقير	NOUN	فقير	
فنڊ	NOUN	فنڊ	
فوج	NOUN	فوج	
فوجي	NOUN	فوج	
فورسز	NOUN	فورس	
فيصلو	NOUN	فيصلو	
فيلبان	NOUN	فيلبان	
قدم	NOUN	قدم	
قرار	NOUN	قرار	
قسمت	NOUN	قسمت	
قيدين	NOUN	قيدي	
لائن	NOUN	لائن	
لاش	NOUN	لاش	
لانگ	NOUN	لانگ	
لاڪپ	NOUN	لاڪپ	
لهر	NOUN	لهر	
ليز	NOUN	ليز	
ليگ	NOUN	ليگ	
لک	NOUN	لک	
مائيءَ	NOUN	مائيءَ	
مارڪيٽ	NOUN	مارڪيٽ	
ماضي	NOUN	ماضي	
مالياتي	NOUN	مالياتي	
ماليڪٽ	NOUN	ماليڪٽ	
مالڪ	NOUN	مالڪ	
مانيٽرنگ	NOUN	مانيٽرنگ	
ماهي	NOUN	ماهي	
ماٺ	NOUN	ماٺ	
ماڻهوءَ	NOUN	ماڻهوءَ	
متاثر	NOUN	متاثر	
متاثرن	NOUN	متاثر	
محسوس	NOUN	محسوس	
محل	NOUN	محل	
مذمت	NOUN	مذمت	
مرضي	NOUN	مرضي	
مرڪز	NOUN	مرڪز	
مسئلن	NOUN	مسئلو	
مسئلو	NOUN	مسئلو	
مستقبل	NOUN	مستقبل	
مسلم	NOUN	مسلم	
مطلب	NOUN	مطلب	
مظاهرو	NOUN	مظاهرو	
معاملن	NOUN	معاملو	
معاملي	NOUN	معاملو	
معنيٰ	NOUN	معنيٰ	
مقبوليت	NOUN	مقبوليت	
مقرر	NOUN	مقرر	
مقصد	NOUN	مقصد	
ملاقات	NOUN	ملاقات	
منظور	NOUN	منظور	
منهن	NOUN	منهن	
مهينن	NOUN	مهينو	
مهيني	NOUN	مهينو	
موقعي	NOUN	موقعو	
ميان	NOUN	ميان	
ميل	NOUN	ميل	
ميلو	NOUN	ميلو	
ميمبرن	NOUN	ميمبر	
ميمڻ	NOUN	ميمڻ	
ميڊيا	NOUN	ميڊيا	
مٽي	NOUN	مٽي	
مٿي	NOUN	مٿي	
مڇين	NOUN	مڇي	
مڇيون	NOUN	مڇي	
مڪاٽو	NOUN	مڪاٽو	
ن	NOUN	ن	
ناظم	NOUN	ناظم	
ناظمن	NOUN	ناظم	
نالو	NOUN	نالو	
نالي	NOUN	نالو	
نانگ	NOUN	نانگ	
ناڻي	NOUN	ناڻو	
نتيجو	NOUN	نتيجو	
نتيجي	NOUN	نتيجو	
نسل	NOUN	نسل	
نشانو	NOUN	نشانو	
نقصان	NOUN	نقصان	
نمائندن	NOUN	نمائندو	
نموني	NOUN	نمونو	
نوٽيفڪيشن	NOUN	نوٽيفڪيشن	
نوڪر	NOUN	نوڪر	
هاءِ	NOUN	هاءِ	
هائوس	NOUN	هائوس	
هزار	NOUN	هزار	
هنڌ	NOUN	هنڌ	
هٿياربندن	NOUN	هٿياربند	
وات	NOUN	وات	
وارثن	NOUN	وارث	
واقعن	NOUN	واقعو	
واقعو	NOUN	واقعو	
واقعي	NOUN	واقعي	
والدين	NOUN	والدين	
واهه	NOUN	واهه	
واپاري	NOUN	واپاري	
واڌ	NOUN	واڌ	
وجهه	NOUN	وجهه	
ورڇ	NOUN	ورڇ	
وزارت	NOUN	وزارت	
وزيراعظم	NOUN	وزيراعظم	
وزيراعليٰ	NOUN	وزيراعليٰ	
وطن	NOUN	وطن	
وفاق	NOUN	وفاق	
وي	NOUN	وي	seems incorrect word
ويڙهه	NOUN	ويڙهه	
وچ	NOUN	وچ	
وڳي	NOUN	وڄ	
وڻ	NOUN	وڻ	
وڻن	NOUN	وڻ	
يونيورسٽي	NOUN	يونيورسٽي	
ٻئي	NOUN	ٻہ	
ٻاهر	NOUN	ٻاهر	
ٻج	NOUN	ٻج	
ٻنيءَ	NOUN	ٻنيءَ	
ٻولي	NOUN	ٻولي	
ٻوليءَ	NOUN	ٻوليءَ	
ٻوڏ	NOUN	ٻوڏ	
ٻيڙي	NOUN	ٻيڙي	
ٽائيم	NOUN	ٽائيم	
ٽهڪ	NOUN	ٽهڪ	
ٽي	NOUN	ٽي	
ٽڪر	NOUN	ٽڪر	
ٽڪري	NOUN	ٽڪري	
ٽڪريءَ	NOUN	ٽڪريءَ	
پ	NOUN	پ	
پئسو	NOUN	پئسو	
پابندي	NOUN	پابندي	
پارليامينٽ	NOUN	پارليامينٽ	
پارٽي	NOUN	پارٽي	
پاسي	NOUN	پاسو	
پاليسي	NOUN	پاليسي	
پاڻيءَ	NOUN	پاڻيءَ	
پروگرام	NOUN	پروگرام	
پلاننگ	NOUN	پلاننگ	
پنن	NOUN	پنن	
پوسٽ	NOUN	پوسٽ	
پوڙهي	NOUN	پوڙهو	
پوڙهيءَ	NOUN	پوڙهي	
پوک	NOUN	پوک	
پي	NOUN	پي	
پيءُ	NOUN	پي	
پيش	NOUN	پيش	
پين	NOUN	پين	
پيٽ	NOUN	پيٽ	
پيپلز	NOUN	پيپلز	
پيڙائي	NOUN	پيڙائي	
پٿر	NOUN	پٿر	
پڇ	NOUN	پڇ	
پڪ	NOUN	پڪ	
ٿائو	NOUN	ٿائو	
ٿاڻي	NOUN	ٿاڻو	
ڀاءُ	NOUN	ڀاءُ	
ڀائرن	NOUN	ڀائر	
ڀتر	NOUN	ڀتر	
ڀيرا	NOUN	ڀيرو	
ڀيرو	NOUN	ڀيرو	
ڀيري	NOUN	ڀيرو	
ڀٽو	NOUN	ڀٽو	
ڄار	NOUN	ڄار	
چئلينج	NOUN	چئلينج	
چانور	NOUN	چانور	
چانورن	NOUN	چانور	
چهنب	NOUN	چهنب	
چوڌري	NOUN	چوڌري	
چيئرمين	NOUN	چيئرمين	
چيتو	NOUN	چيتو	
چيتي	NOUN	چيتو	
چيف	NOUN	چيف	
چين	NOUN	چين	
چٻري	NOUN	چٻرو	
چڪ	NOUN	چڪ	
چڪيءَ	NOUN	چڪيءَ	
ڇو	NOUN	ڇو	
ڇوڪريءَ	NOUN	ڇوڪريءَ	
ڊاڪٽر	NOUN	ڊاڪٽر	
ڊي	NOUN	ڊي	
ڊيسڪ	NOUN	ڊيسڪ	
ڊيم	NOUN	ڊيم	
ڌر	NOUN	ڌر	
ڌرين	NOUN	ڌري	
ڌماڪي	NOUN	ڌماڪو	
ڌيءَ	NOUN	ڌيءَ	
ڌيان	NOUN	ڌيان	
ڍير	NOUN	ڍير	
ڍڳن	NOUN	ڍڳو	
ڍڳي	NOUN	ڍڳو	
ڏس	NOUN	ڏس	
ڦو	NOUN	ڦو	
کاتي	NOUN	کاتو	
کاريءَ	NOUN	کاريءَ	
کام	NOUN	کام	
کجيءَ	NOUN	کجيءَ	
کل	NOUN	کل	
کنڊ	NOUN	کنڊ	
کيس	NOUN	کيس	
ڪ	NOUN	ڪ	
ڪئنال	NOUN	ڪئنال	
ڪائنات	NOUN	ڪائنات	
ڪائو	NOUN	ڪائو	
ڪائونسل	NOUN	ڪائونسل	
ڪابيرو	NOUN	ڪابيرو	
ڪار	NOUN	ڪار	
ڪارروائي	NOUN	ڪارروائي	
ڪارڪنن	NOUN	ڪارڪن	
ڪاميٽي	NOUN	ڪاميٽي	
ڪانگ	NOUN	ڪانگ	
ڪاوش	NOUN	ڪاوش	
ڪاوڙ	NOUN	ڪاوڙ	
ڪاٺير	NOUN	ڪاٺير	
ڪردار	NOUN	ڪردار	
ڪروڙ	NOUN	ڪروڙ	
ڪلاڪ	NOUN	ڪلاڪ	
ڪلاڪن	NOUN	ڪلاڪ	
ڪلهي	NOUN	ڪلهو	
ڪلو	NOUN	ڪلو	
ڪميشن	NOUN	ڪميشن	
ڪمپا	NOUN	ڪمپا	
ڪن	NOUN	ڪن	
ڪناري	NOUN	ڪنارو	
ڪنٽرول	NOUN	ڪنٽرول	
ڪوان	NOUN	ڪوان	
ڪورٽ	NOUN	ڪورٽ	
ڪوٽ	NOUN	ڪوٽ	
ڪوڙ	NOUN	ڪوڙ	
ڪي	NOUN	ڪي	
ڪيس	NOUN	ڪيس	
ڪيو	NOUN	ڪيو	
ڪيوسڪ	NOUN	ڪيوسڪ	
ڪٽار	NOUN	ڪٽار	
ڪپڙا	NOUN	ڪپڙو	
ڪڙمي	NOUN	ڪڙمي	
ڪڙميءَ	NOUN	ڪڙميءَ	
ڪڻڪ	NOUN	ڪڻڪ	
گاڏين	NOUN	گاڏي	
گجگوڙ	NOUN	گجگوڙ	
گدڙ	NOUN	گدڙ	
گرفتار	NOUN	گرفتار	
گرفتاري	NOUN	گرفتاري	
گروپ	NOUN	گروپ	
گريڊ	NOUN	گريڊ	
گنجا	NOUN	گنجو	
گهر	NOUN	گهر	
گهرن	NOUN	گهر	
گهرو	NOUN	گهرو	
گهوڙي	NOUN	گهوڙو	
گهڙي	NOUN	گهڙي	
گهڙيون	NOUN	گهڙي	
گورنر	NOUN	گورنر	
گيلاني	NOUN	گيلاني	
ڳالهه	NOUN	ڳالهه	
ڳڻتي	NOUN	ڳڻتي	
10	NUM	10	
12	NUM	12	
15	NUM	15	
17	NUM	17	
2	NUM	2	
20	NUM	20	
2009ع	NUM	2009	
24	NUM	24	
25	NUM	25	
3	NUM	3	
30	NUM	30	
4	NUM	4	
5	NUM	5	
50	NUM	50	
6	NUM	6	
7	NUM	7	
8	NUM	8	
9	NUM	9	
سڀئي	NUM	سڀ	
هڪڙي	NUM	هڪڙو	
ٻن	NUM	ٻہ	
ٻنهي	NUM	ٻہ	
ٽن	NUM	ٽي	
ڏهه	NUM	ڏهه	
ئي	PART	ئي	
به	PART	به	
ته	PART	ته	
ناهن	PART	ناهي	
نه	PART	نه	
نٿا	PART	نٿو	
نٿو	PART	نٿو	
وغيره	PART	وغيره	
پڻ	PART	پڻ	
ڪونه	PART	ڪونه	
آءٌ	PRON	آءٌ	
آئون	PRON	آئون	
ائين	PRON	ائين	
اسان	PRON	اسين	
ان	PRON	ان	
انهن	PRON	انهي	
انهيءَ	PRON	انهيءَ	
اها	PRON	اها	
اهو	PRON	اهو	
اهي	PRON	اهو	
اوهين	PRON	اوهان	
تنهن	PRON	سا	
جن	PRON	جن	
جنهن	PRON	جيڪو	
جيڪا	PRON	جيڪا	
جيڪو	PRON	جيڪو	
جيڪي	PRON	جيڪو	
سندس	PRON	سندو	
سندن	PRON	سندو	
سو	PRON	سو	
منهنجا	PRON	منهنجو	
هنن	PRON	هي	
هو	PRON	هو	
هوءَ	PRON	هوءَ	
پنهنجيءَ	PRON	پنهنجيءَ	
ڇا	PRON	ڇا	
ڇو	PRON	ڇو	
ڪا	PRON	ڪا	
ڪنهن	PRON	ڪو	
ڪهڙو	PRON	ڪهڙو	
ڪهڙي	PRON	ڪهڙو	
ڪو	PRON	ڪو	
ڪير	PRON	ڪير	
آئرلينڊ	PROPN	آئرلينڊ	
آصف	PROPN	آصف	
آمريڪا	PROPN	آمريڪا	
آڪٽوبر	PROPN	آڪٽوبر	
احمد	PROPN	احمد	
افغانستان	PROPN	افغانستان	
الحرام	PROPN	الحرام	
الرحمان	PROPN	الرحمان	
القاعده	PROPN	القاعده	
ايم	PROPN	ايم	
برطانيه	PROPN	برطانيه	
بش	PROPN	بش	
بلوچستان	PROPN	بلوچستان	
بينظير	PROPN	بينظير	
بيورو	PROPN	بيورو	
جيڪب	PROPN	جيڪب	
حسين	PROPN	حسين	
حيدرآباد	PROPN	حيدرآباد	
خيرپور	PROPN	خيرپور	
ذوالفقار	PROPN	ذوالفقار	
رضا	PROPN	رضا	
سهراب	PROPN	سهراب	
سکر	PROPN	سکر	
شام	PROPN	شام	
شاهه	PROPN	شاهه	
طالبان	PROPN	طالبان	
عافيه	PROPN	عافيه	
عزرائيل	PROPN	عزرائيل	
غلام	PROPN	غلام	
فقير	PROPN	فقير	
فهيم	PROPN	فهيم	
قريشي	PROPN	قريشي	
لالو	PROPN	لالو	
لاهور	PROPN	لاهور	
مارئي	PROPN	مارئي	
محرم	PROPN	محرم	
مرزا	PROPN	مرزا	
مشرف	PROPN	مشرف	
مهاراج	PROPN	مهاراج	
نوابشاهه	PROPN	نوابشاهه	
نواز	PROPN	نواز	
نومبر	PROPN	نومبر	
هليري	PROPN	هليري	
وزيرستان	PROPN	وزيرستان	
يوسف	PROPN	يوسف	
پشاور	PROPN	پشاور	
پنجاب	PROPN	پنجاب	
پنهور	PROPN	پنهور	
ڀارت	PROPN	ڀارت	
ڀالوا	PROPN	ڀالوا	
ڄامشورو	PROPN	ڄامشورو	
ڊسمبر	PROPN	ڊسمبر	
ڏکڻ	PROPN	ڏکڻ	
ڪراچيءَ	PROPN	ڪراچيءَ	
ڪيانگان	PROPN	ڪيانگان	
گومبئي	PROPN	گومبئي	
گڊو	PROPN	گڊو	
ته	SCONJ	ته	
جيڪڏهن	SCONJ	جيڪڏهن	
پر	SCONJ	پر	
ڇاڪاڻ	SCONJ	ڇاڪاڻ	
