Text	UPOS	Predicted	Remarks	
سوليون	NOUN	سولي		
سوير	NOUN	سوير		
سيمينار	NOUN	سيمينار		
سينيئر	NOUN	سينيئر		
سينيٽرن	NOUN	سينيٽرن		
سينٽر	NOUN	سينٽر		
سٽون	NOUN	سٽ		
سپاھين	NOUN	سپاھ		
سڀاڻي	NOUN	سڀاڻي		
سڌارن	NOUN	سڌارو		
سکيا	NOUN	سکيو		
شاهراهه	NOUN	شاهراهه		
شرپسندن	NOUN	شرپسند		
شعور	NOUN	شعور		
شق	NOUN	شق		
شقن	NOUN	شق		
شهرت	NOUN	شهرت		
شوز	NOUN	شوز		
شڪ	NOUN	شڪ		
شڪر	NOUN	شڪر		
صحيحون	NOUN	صحيح		
صدارت	NOUN	صدارت		
ضرورتن	NOUN	ضرورت		
ضلعن	NOUN	ضلعو		
طبقن	NOUN	طبقو		
طبيعت	NOUN	طبيعت		
طوطا	NOUN	طوطو		
عاشوري	NOUN	عاشوري		
عالماڻي	NOUN	عالماڻي		
عباس	NOUN	عباس		
عدالتن	NOUN	عدالت		
عرب	NOUN	عرب		
عرصو	NOUN	عرصو		
عرف	NOUN	عرف		
عزادار	NOUN	عزادار		
عزم	NOUN	عزم		
عضوا	NOUN	عضوو		
عمارتون	NOUN	عمارت		
عهديدارن	NOUN	عهديدار		
عيوضي	NOUN	عيوضي		
غربت	NOUN	غربت		
فائدي	NOUN	فائدو		
فرد	NOUN	فرد		
فرشتن	NOUN	فرشتو		
فريب	NOUN	فريب		
فصل	NOUN	فصل		
فنڊن	NOUN	فنڊ		
فوٽو	NOUN	فوٽو		
فوڪس	NOUN	فوڪس		
ق	NOUN	ق		
قائد	NOUN	قائد		
قاتلن	NOUN	قاتل		
قافلو	NOUN	قافلو		
قافلي	NOUN	قافلو		
قبضو	NOUN	قبضو		
قبول	NOUN	قبول		
قبيلي	NOUN	قبيلي		
قدر	NOUN	قدر		
قرارداد	NOUN	قرارداد		
قربان	NOUN	قربان		
قسط	NOUN	قسط		
قميص	NOUN	قميص		
قوت	NOUN	قوت		
قوتون	NOUN	قوت		
قيد	NOUN	قيد		
قيمت	NOUN	قيمت		
قيمتون	NOUN	قيمت		
لائيٽ	NOUN	لائيٽ		
لازمي	NOUN	لازمي		
لاوو	NOUN	لاوو		
لاچار	NOUN	لاچار		
لاڳاپن	NOUN	لاڳاپو		
لسٽن	NOUN	لسٽ		
لوين	NOUN	لو		
ليفٽ	NOUN	ليفٽ		
ليڊرشپ	NOUN	ليڊرشپ		
لٽريچر	NOUN	لٽريچر		
لٽي	NOUN	لٽي		
لٽيرن	NOUN	لٽيرو		
لڏپلاڻ	NOUN	لڏپلاڻ		
لڳ	NOUN	لڳ		
ماتمي	NOUN	ماتمي		
مارٽم	NOUN	مارٽم		
مارچ	NOUN	مارچ		
مالاڪنڊ	NOUN	مالاڪنڊ		
مالي	NOUN	مالي		
مالھي	NOUN	مالھي		
مامري	NOUN	مامرو		
ماهرن	NOUN	ماهر		
ماهوار	NOUN	ماهوار		
مايوس	NOUN	مايوس		
ماڳ	NOUN	ماڳ		
ماڻھو	NOUN	ماڻھو		
متحد	NOUN	متحد		
مترجم	NOUN	مترجم		
مترجمن	NOUN	مترجم		
مجبور	NOUN	مجبور		
محترمه	NOUN	محترمه		
محرم	NOUN	محرم		
محروم	NOUN	محروم		
محرڪ	NOUN	محرڪ		
مخالفن	NOUN	مخالف		
مخدوم	NOUN	مخدوم		
مدرسا	NOUN	مدرسا		
مرحلي	NOUN	مرحلو		
مردن	NOUN	مرد		
مري	NOUN	مري		
مرڪون	NOUN	مرڪ		
مزارِ	NOUN	مزارِ		
مسئلا	NOUN	مسئلو		
مسافرن	NOUN	مسافر		
مسجدون	NOUN	مسجد		
مشتمل	NOUN	مشتمل		
مشڪل	NOUN	مشڪل		
مظاهرا	NOUN	مظاهرا		
مظلوم	NOUN	مظلوم		
مظهر	NOUN	مظهر		
معيشت	NOUN	معيشت		
مفادن	NOUN	مفادو		
مفاهمت	NOUN	مفاهمت		
ملازم	NOUN	ملازم		
ملاقاتون	NOUN	ملاقات		
ملوث	NOUN	ملوث		
ملين	NOUN	ملي		
منتقلي	NOUN	منتقل		
منظرعام	NOUN	منظرعام		
مهانڊا	NOUN	مهانڊو		
مهمانن	NOUN	مهمان		
مواصلات	NOUN	مواصلات		
موري	NOUN	موري		
موساڪي	NOUN	موساڪي		
موقف	NOUN	موقف		
ميجر	NOUN	ميجر		
ميزائل	NOUN	ميزائل		
ميزبانن	NOUN	ميزبان		
ميزباني	NOUN	ميزباني		
مينهن	NOUN	مينهن		
مينهون	NOUN	مينهون		
مينڊيٽ	NOUN	مينڊيٽ		
ميٺ	NOUN	ميٺ		
مڪمل	NOUN	مڪمل		
مگسي	NOUN	مگسي		
ناردرن	NOUN	ناردرن		
نتيجا	NOUN	نتيجو		
نر	NOUN	نر		
نشو	NOUN	نشو		
نعرو	NOUN	نعرو		
نغارا	NOUN	نغارو		
نور	NOUN	نور		
نوعيت	NOUN	نوعيت		
نير	NOUN	نير		
نيوي	NOUN	نيوي		
نگراني	NOUN	نگراني		
نگري	NOUN	نگري		
هارن	NOUN	هار		
هدايتون	NOUN	هدايت		
هضم	NOUN	هضم		
هـَرن	NOUN	هـَر		
هفتا	NOUN	هفتو		
هليري	NOUN	هليري		
همراهه	NOUN	همراهه		
هموار	NOUN	هموار		
هيليڪاپٽر	NOUN	هيليڪاپٽر		
هٿان	NOUN	هٿ		
هٿيڪو	NOUN	هٿيڪو		
واءُ	NOUN	واءُ		
وائکو	NOUN	وائکو		
وارداتن	NOUN	واردات		
وارن	NOUN	وارو		
واسين	NOUN	واسي		
واعدا	NOUN	واعدا		
والد	NOUN	والد		
واٽر	NOUN	واٽر		
واپس	NOUN	واپس		
واپسي	NOUN	واپسي		
واڌارو	NOUN	واڌارو		
واڻئي	NOUN	واڻيو		
وت	NOUN	وت		
وحشين	NOUN	وحشي		
ورندي	NOUN	ورندي		
ورکا	NOUN	ورکا		
وزارتون	NOUN	وزارت		
وزارتي	NOUN	وزارتي		
وزٽ	NOUN	وزٽ		
وفد	NOUN	وفد		
ونجهه	NOUN	ونجهه		
وندر	NOUN	وندر		
وهڪري	NOUN	وهڪرو		
ووٽن	NOUN	ووٽ		
ويب	NOUN	ويب		
ويزا	NOUN	ويزو		
ويسوڙا	NOUN	ويسوڙو		
ويـچـار	NOUN	ويـچـار		
وٿي	NOUN	وٿ		
وچن	NOUN	وچن		
وڪرو	NOUN	وڪرو		
وڪيل	NOUN	وڪيل		
يرغمال	NOUN	يرغمال		
يمن	NOUN	يمن		
ٺٺولين	NOUN	ٺٺول		
ٺڪاءَ	NOUN	ٺڪاءَ		
ٺڪاڻا	NOUN	ٺڪاڻو		
ٺڪاڻن	NOUN	ٺڪاڻو		
ٻاربي	NOUN	ٻاربي		
ٻارڙن	NOUN	ٻارڙو		
ٻوليون	NOUN	ٻول		
ٻيون	NOUN	ٻي		
ٻچا	NOUN	ٻچو		
ٻڌڻي	NOUN	ٻڌڻي		
ٻڪرين	NOUN	ٻڪر		
ٽارگيٽ	NOUN	ٽارگيٽ		
ٽاڪ	NOUN	ٽاڪ		
ٽولن	NOUN	ٽولو		
ٽولو	NOUN	ٽولو		
ٽيسٽ	NOUN	ٽيسٽ		
ٽيم	NOUN	ٽيم		
ٽپال	NOUN	ٽپال		
ٽڀو	NOUN	ٽڀو		
ٽڪار	NOUN	ٽڪار		
پابند	NOUN	پابند		
پاسپورٽ	NOUN	پاسپورٽ		
پراون	NOUN	پراون		
پرواهه	NOUN	پرواهه		
پروفيشنلز	NOUN	پروفيشنلز		
پرڏيهه	NOUN	پرڏيهه		
پرک	NOUN	پرک		
پس	NOUN	پس		
پسماندگي	NOUN	پسماندگي		
پلر	NOUN	پلر		
پناهه	NOUN	پناهه		
پني	NOUN	پني		
پورا	NOUN	پورا		
پورائو	NOUN	پورائو		
پورٽ	NOUN	پورٽ		
پيدا	NOUN	پيدا		
پيٽرسن	NOUN	پيٽرسن		
پيٽروليم	NOUN	پيٽروليم		
پيچرو	NOUN	پيچرو		
پٺي	NOUN	پٺي		
پٽاٽن	NOUN	پٽاٽو		
پٽيل	NOUN	پٽيل		
ٿيلن	NOUN	ٿيلو		
ٿڙڪڻي	NOUN	ٿڙڪڻي		
ڀ	NOUN	ڀ		
ڀائٽيي	NOUN	ڀائٽيو		
ڀر	NOUN	ڀر		
ڀرپاسي	NOUN	ڀرپاسي		
ڀٽي	NOUN	ڀٽي		
ڄـُـڪَ	NOUN	ڄـُـڪَ		
ڄڻن	NOUN	ڄڻو		
چانڊيو	NOUN	چانڊيو		
چاڙهه	NOUN	چاڙهه		
چرپر	NOUN	چرپر		
چودڳي	NOUN	چودڳو		
چوٽيون	NOUN	چوٽ		
چوڪ	NOUN	چوڪ		
چوڪي	NOUN	چوڪي		
چوڻي	NOUN	چوڻي		
چيلينج	NOUN	چيلينج		
چينل	NOUN	چينل		
چيڪ	NOUN	چيڪ		
ڇاوڻيون	NOUN	ڇاوڻي		
ڇپون	NOUN	ڇپ		
ڇڪتاڻ	NOUN	ڇڪتاڻ		
ڇڪيون	NOUN	ڇڪي		
ڊويزن	NOUN	ڊويزن		
ڊيموڪريسي	NOUN	ڊيموڪريسي		
ڊيوٽيون	NOUN	ڊيوٽي		
ڊيپوٽيشن	NOUN	ڊيپوٽيشن		
ڊپٽي	NOUN	ڊپٽي		
ڌاڙن	NOUN	ڌاڙو		
ڌرتيءَ	NOUN	ڌرتيءَ		
ڌماڪو	NOUN	ڌماڪو		
ڍءُ	NOUN	ڍءُ		
ڍؤ	NOUN	ڍؤ		
ڍانچي	NOUN	ڍانچو		
ڍُڪ	NOUN	ڍُڪ		
ڍڳيون	NOUN	ڍڳي		
ڏاٽي	NOUN	ڏاٽو		
ڏاچي	NOUN	ڏاچي		
ڏاچيءَ	NOUN	ڏاچيءَ		
ڏاڏر	NOUN	ڏاڏر		
ڏنڊي	NOUN	ڏنڊو		
ڏوهارين	NOUN	ڏوهاري		
ڏوهن	NOUN	ڏوهي		
ڏکيائون	NOUN	ڏک		
ڦال	NOUN	ڦال		
ڦر	NOUN	ڦر		
ڦرلٽ	NOUN	ڦرلٽ		
ڦهڪو	NOUN	ڦهڪو		
ڦيرڦار	NOUN	ڦيرڦار		
ڦٽين	NOUN	ڦٽي		
کاڄ	NOUN	کاڄ		
کوٽ	NOUN	کوٽ		
کوٽو	NOUN	کوٽو		
کٽيءَ	NOUN	کٽيءَ		
کڙين	NOUN	کڙي		
کڙيي	NOUN	کڙيي		
ڪئمپ	NOUN	ڪئمپ		
ڪئمپون	NOUN	ڪئمپ		
ڪائره	NOUN	ڪائره		
ڪارخانن	NOUN	ڪارخانو		
ڪارن	NOUN	ڪار		
ڪارواين	NOUN	ڪاروائي		
ڪارپوريشن	NOUN	ڪارپوريشن		
ڪارڪردگي	NOUN	ڪارڪردگي		
ڪارڪن	NOUN	ڪارڪن		
ڪامورا	NOUN	ڪامورو		
ڪامورن	NOUN	ڪامورو		
ڪانفرنس	NOUN	ڪانفرنس		
ڪاني	NOUN	ڪاني		
ڪانٽريڪٽ	NOUN	ڪانٽريڪٽ		
ڪتا	NOUN	ڪتو		
ڪتابن	NOUN	ڪتاب		
ڪرت	NOUN	ڪرت		
ڪـُـن	NOUN	ڪـُـن		
ڪلنٽن	NOUN	ڪلنٽن		
ڪلهن	NOUN	ڪلهي		
ڪنب	NOUN	ڪنب		
ڪنن	NOUN	ڪنن		
ڪنيڪشن	NOUN	ڪنيڪشن		
ڪنڊ	NOUN	ڪنڊ		
ڪنڍي	NOUN	ڪنڍي		
ڪورس	NOUN	ڪورس		
ڪوششون	NOUN	ڪوشش		
ڪوٽا	NOUN	ڪوٽا		
ڪيري	NOUN	ڪيري		
ڪڙڇ	NOUN	ڪڙڇ		
گئس	NOUN	گئس		
گاديءَ	NOUN	گاديءَ		
گاوڙ	NOUN	گاوڙ		
گاڏيون	NOUN	گاڏي		
گداڙي	NOUN	گداڙي		
گراف	NOUN	گراف		
گرام	NOUN	گرام		
گرم	NOUN	گرم		
گروهن	NOUN	گروھ		
گـُـڙ	NOUN	گـُـڙ		
گم	NOUN	گم		
گمان	NOUN	گمان		
گنج	NOUN	گنج		
گهيڙ	NOUN	گهيڙ		
گوسڙو	NOUN	گوسڙو		
گولين	NOUN	گولي		
گوليون	NOUN	گولي		
گوپانگ	NOUN	گوپانگ		
گيج	NOUN	گيج		
گڏجاڻي	NOUN	گڏجاڻِي		
ڳالهين	NOUN	ڳاهه		
ڳاڙهو	NOUN	ڳاڙهو		
ڳجها	NOUN	ڳجهو		
ڳوٺاڻن	NOUN	ڳوٺاڻو		
ڳوٺاڻو	NOUN	ڳوٺاڻو		
ڳڀي	NOUN	ڳڀ		
ڳڙهي	NOUN	ڳڙهي		
ھوٽل	NOUN	ھوٽل		
100	NUM	100		
118	NUM	118		
125	NUM	125		
150	NUM	150		
18	NUM	18		
1973ع	NUM	1973		
1974ع	NUM	1974		
2002ع	NUM	2002		
2003ع	NUM	2003		
2008ع	NUM	2008		
21	NUM	21		
29	NUM	29		
31	NUM	31		
40	NUM	40		
45	NUM	45		
66	NUM	66		
74	NUM	74		
81	NUM	81		
980	NUM	980		
سوا	NUM	سوا		
چئين	NUM	چار		
ڏهين	NUM	ڏھ		
اُهي	PRON	اُهي		
تيئن	PRON	تي		
جي	PRON	جي		
جيئن	PRON	جيئن		
سـو	PRON	سـو		
سنڌي	PRON	سنڌي		
پنهنجون	PRON	پنهنجو		
پنھنجو	PRON	پنھنجو		
پنھنجي	PRON	پنھنجو		
ڪن	PRON	ڪو		
ڪوئي	PRON	ڪو		
ڪيئن	PRON	ڪيئن		
ڪڏهن	PRON	ڪڏهن		
ھن	PRON	ھي		
UK	PROPN	UK		
آءِ	PROPN	آءِ		
آر	PROPN	آر		
آفريڪا	PROPN	آفريڪا		
اربين	PROPN	اربين	seems NOUN	
اطهر	PROPN	اطهر		
اعظم	PROPN	اعظم		
الحق	PROPN	الحق		
الزمان	PROPN	الزمان		
امتياز	PROPN	امتياز		
امراءُ	PROPN	امراءُ		
امين	PROPN	امين		
انگرادوس	PROPN	انگرادوس		
اياز	PROPN	اياز		
ايريا	PROPN	ايريا		
ايس	PROPN	ايس		
اينگلو	PROPN	اينگلو		
ايٿوپيا	PROPN	ايٿوپيا		
بخت	PROPN	بخت		
بختيار	PROPN	بختيار		
برازيل	PROPN	برازيل		
تصدق	PROPN	تصدق		
جاتي	PROPN	جاتي		
جدي	PROPN	جدي		
جرادت	PROPN	جرادت		
جواد	PROPN	جواد		
حسن	PROPN	حسن		
حنادي	PROPN	حنادي		
خيرو	PROPN	خيرو		
راولپنڊي	PROPN	راولپنڊي		
روغا	PROPN	روغو		
رومن	PROPN	روم		
روهڙي	PROPN	روهڙي		
سئڪسن	PROPN	سئڪسن		
سارو	PROPN	سارو		
سروڪئي	PROPN	سروڪئي		
سعودي	PROPN	سعودي		
سهيل	PROPN	سهيل		
سوات	PROPN	سوات		
ش	PROPN	ش		
صادق	PROPN	صادق		
صديق	PROPN	صديق		
طارق	PROPN	طارق		
عبدالوحيد	PROPN	عبدالوحيد		
عبدالوهاب	PROPN	عبدالوهاب		
