Text	POS	Lemma	
وچولي	ADJ	وچولي
ٻاهرين	ADJ	ٻاهرين
ٽريڪ	ADJ	ٽريڪ
ٽنگيل	ADJ	ٽنگيل
ٽيو	ADJ	ٽيو
پراڻا	ADJ	پراڻو
پوريون	ADJ	پوري
ڀلو	ADJ	ڀلو
ڀلي	ADJ	ڀلي
ڀڳ	ADJ	ڀڳ
ڀڳل	ADJ	ڀڳ
ڄاڻايل	ADJ	ڄاڻييو
چئن	ADJ	چئو
چئني	ADJ	چئني
چار	ADJ	چار
چالاڪ	ADJ	چالاڪ
چوٿين	ADJ	چوٿو
ڇتو	ADJ	ڇتو
کيرا	ADJ	کيرو
ڪمبخت	ADJ	ڪمبخت
ڪچو	ADJ	ڪچو
ڪڙڪيدار	ADJ	ڪڙڪيدار
گم	ADJ	گم
گهاٽي	ADJ	گهاٽو
گيدي	ADJ	گيدي
گڊ	ADJ	گڊ
الاجي	ADP	الاجي
بدران	ADP	بدران
بنان	ADP	بنان
حوالي	ADP	حوالي
دا	ADP	دا
رمطابق	ADP	رمطابق
زده	ADP	زده
ساڻن	ADP	ساڻو
سوڌو	ADP	سوڌو
سوڌوُ	ADP	سوڌو
متعلق	ADP	متعلق
منجهانئس	ADP	منجهان
هين	ADP	هين
وچ	ADP	وچ
ڀلا	ADP	ڀلا
ڄڻ	ADP	ڄڻ
کانئس	ADP	کا
آخر	ADV	آخر
ائين	ADV	ائين
ابتڙ	ADV	ابتڙ
اجهو	ADV	اجهو
اندران	ADV	اندران
اڃاسو	ADV	اڃاسو
اڳيئي	ADV	اڳيئي
جهٽ	ADV	جهٽ
خوب	ADV	خوب
سرعام	ADV	سرعام
سلهاڙجي	ADV	سلهاڙجي
سلهاڙيل	ADV	سلهاڙيل
سڌو	ADV	سڌو
سگهو	ADV	سگهي
مسين	ADV	مسين
ملي	ADV	مل
مٿس	ADV	مٿس
مٿن	ADV	مٿن
مٿين	ADV	مٿيو
هـُـنهين	ADV	هـــھھ
هيٺين	ADV	هيٺ
هيڪاري	ADV	هيڪارو
ورهوڪو	ADV	ورهوڪو
ويجها	ADV	ويجها
پروڪو	ADV	پروڪو
پرڀرو	ADV	پرڀرو
پٽ	ADV	پٽ
ڀر	ADV	ڀر
ڌڙم	ADV	ڌڙم
ڪاڏي	ADV	ڪاڏي
ڪيڏانهن	ADV	ڪيڏانهن
ڪڍ	ADV	ڪڍ
جنهنڪري	CCONJ	جنهنڪري
جي	CCONJ	جي
ڪي	CCONJ	ڪي
تباهي	DET	تباهي
جهڙي	DET	جهڙو
مان	DET	مان
خبردار	INTJ	خبردار
چڱو	INTJ	چڱو
ڙي	INTJ	ڙي
آئنده	NOUN	آئنده
آئيندي	NOUN	آئيندو
آرمري	NOUN	آرمري
آرٽيڪل	NOUN	آرٽيڪل
آزادي	NOUN	آزادي
آساني	NOUN	آساني
آستان	NOUN	آستان
آسرو	NOUN	آسرو
آفتن	NOUN	آفت
آکاڻي	NOUN	آکاڻو
آکاڻيءَ	NOUN	آکاڻيءَ
آکاڻيون	NOUN	آکاڻ
اثاثن	NOUN	اثاث
ارمان	NOUN	ارمان
اسٽاپ	NOUN	اسٽاپ
اسٽيشن	NOUN	اسٽيشن
اشو	NOUN	اشو
اصل	NOUN	اصل
اصلاح	NOUN	اصلاح
اصلاحات	NOUN	اصلاحات
اطمينان	NOUN	اطمينان
اعتراض	NOUN	اعتراض
الرا	NOUN	الرا
انٽرنيشنل	NOUN	انٽرنيشنل
انڊس	NOUN	انڊس
انگهو	NOUN	انگهو
اوسي	NOUN	اوسي
اوسيڙي	NOUN	اوسيڙي
اونائي	NOUN	اونائي
اونايون	NOUN	اونائين
اوهان	NOUN	اوهان
اوور	NOUN	اوور
اوڏانهن	NOUN	اوڏانهن
اوڳاهي	NOUN	اوڳاهي
ايز	NOUN	ايز
اُتان	NOUN	اُتي
اُڃ	NOUN	اُڃ
اٿارٽي	NOUN	اٿارٽي
اڪائونٽنگ	NOUN	اڪائونٽنگ
اڳوڻي	NOUN	اڳوڻو
بت	NOUN	بت
بجاراڻي	NOUN	بجاراڻي
بدمعاشي	NOUN	بدمعاشي
برطانيا	NOUN	برطانيا
بـُـل	NOUN	بـُـل
بلو	NOUN	بلو
بلوچ	NOUN	بلوچ
بندر	NOUN	بندر
بنڊ	NOUN	بنڊ
بنگلو	NOUN	بنگلو
بهادر	NOUN	بهادر
بهلڪاڻي	NOUN	بهلڪاڻي
بينچ	NOUN	بينچ
بيهڻ	NOUN	بيهڻ
بچائي	NOUN	بچا
تائيد	NOUN	تائيد
تازا	NOUN	تازا
تجويز	NOUN	تجويز
ترقياتي	NOUN	ترقياتي
تصديق	NOUN	تصديق
تعاون	NOUN	تعاون
تعلقن	NOUN	تعلقو
تعلقو	NOUN	تعلقو
تـرڪـڻ	NOUN	تـرڪـڻ
تقريب	NOUN	تقريب
تلاءَ	NOUN	تلاءَ
تلاءُ	NOUN	تلاءُ
تلاش	NOUN	تلاش
تماشي	NOUN	تماشي
تند	NOUN	تند
توبهه	NOUN	توبهه
تيزي	NOUN	تيزي
تڙڀيڙ	NOUN	تڙڀيڙ
تڪن	NOUN	تڪو
ثابتي	NOUN	ثابتي
جاگير	NOUN	جاگير
جتوئي	NOUN	جتوئي
جذبي	NOUN	جذبي
جلسو	NOUN	جلسو
جمال	NOUN	جمال
جمع	NOUN	جمع
جمعو	NOUN	جمعو
جهنڊو	NOUN	جهنڊو
جهٽ	NOUN	جهٽ
جهڳا	NOUN	جهڳو
جوئي	NOUN	جوئي
جوانن	NOUN	جوان
جوڻيجا	NOUN	جوڻيجو
حاڪم	NOUN	حاڪم
حرڪت	NOUN	حرڪت
حساس	NOUN	حساس
حفاظت	NOUN	حفاظت
حلف	NOUN	حلف
حياتيءَ	NOUN	حياتيءَ
خراب	NOUN	خراب
خطرو	NOUN	خطرو
خلل	NOUN	خلل
خواجا	NOUN	خواجو
خواهش	NOUN	خواهش
خواهشون	NOUN	خواهش
خوبي	NOUN	خوبي
خود	NOUN	خود
خيما	NOUN	خيمو
داخل	NOUN	داخل
داس	NOUN	داس
درآمد	NOUN	درآمد
دراني	NOUN	دراني
درجي	NOUN	درجي
درخواستن	NOUN	درخواست
دروازن	NOUN	دروازو
دعا	NOUN	دعا
دلجاءِ	NOUN	دلجاءِ
دم	NOUN	دم
دمدمي	NOUN	دمدمي
دولاب	NOUN	دولاب
دُٻي	NOUN	دُٻو
دٻجي	NOUN	دٻج
دڳُ	NOUN	دڳُ
ذميوار	NOUN	ذميوار
رباني	NOUN	رباني
رستم	NOUN	رستم
رسيون	NOUN	رس
رضاڪارن	NOUN	رضاڪار
رعب	NOUN	رعب
رفتار	NOUN	رفتار
رمارڪس	NOUN	رمارڪس
رهواسين	NOUN	رهواسي
روايتون	NOUN	روايت
روڊن	NOUN	روڊو
روڪي	NOUN	روڪ
ريلو	NOUN	ريلو
ريڙهه	NOUN	ريڙهه
رُوڙ	NOUN	رُوڙ
رِڍَ	NOUN	رِڍَ
رٽائرمينٽ	NOUN	رٽائرمينٽ
رکڻي	NOUN	رکڻي
زلزلي	NOUN	زلزلي
زنانا	NOUN	زنانو
ساند	NOUN	ساند
سانگي	NOUN	سانگي
ساڄي	NOUN	ساڄو
سبزوئي	NOUN	سبزوئي
ستين	NOUN	ست
سرائي	NOUN	سرائي
سرندي	NOUN	سرندو
سرٽيفڪيٽ	NOUN	سرٽيفڪيٽ
سرگرمين	NOUN	سرگرم
سرگرميون	NOUN	سرگرمي
سعيو	NOUN	سعيو
سفارتي	NOUN	سفارتي
سفارش	NOUN	سفارش
سلامتيءَ	NOUN	سلامتيءَ
سلطان	NOUN	سلطان
سندراڻي	NOUN	سندراڻو
سهي	NOUN	سهي
سومرا	NOUN	سومرو
سونهارو	NOUN	سونهارو
سونٽيون	NOUN	سونٽيون
سويرو	NOUN	سويرو
سيلنگ	NOUN	سيلنگ
سيٺار	NOUN	سيٺار
سيڪشن	NOUN	سيڪشن
سٽي	NOUN	سٽي
سچل	NOUN	سچل
سڌو	NOUN	سڌو
سکپور	NOUN	سکپور
سڪل	NOUN	سڪل
شهلياڻي	NOUN	شهلياڻي
شوق	NOUN	شوق
شيهن	NOUN	شيه
شيهي	NOUN	شيهي
صفحا	NOUN	صفحا
طئي	NOUN	طئي
طرفن	NOUN	طرفو
طريقيڪا	NOUN	طريقيڪا
طلب	NOUN	طلب
عام	NOUN	عام
عدليا	NOUN	عدليا
علائقائي	NOUN	علائقائي
عمرون	NOUN	عمر
غار	NOUN	غار
غوث	NOUN	غوث
غوثپور	NOUN	غوثپور
فجر	NOUN	فجر
فراهم	NOUN	فراهم
فلو	NOUN	فلو
فوٽ	NOUN	فوٽ
فيصلي	NOUN	فيصلي
فٽ	NOUN	فٽ
قانونسازي	NOUN	قانونسازي
لئيءَ	NOUN	لئيءَ
لائبريري	NOUN	لائبريري
لاشن	NOUN	لاشن
لال	NOUN	لال
لاٿ	NOUN	لاٿ
لاڻيءَ	NOUN	لاڻيءَ
لقب	NOUN	لقب
لقمو	NOUN	لقمو
لوڪ	NOUN	لوڪ
لڏ	NOUN	لڏ
لکي	NOUN	لک
لکين	NOUN	لک
مئنيجمينٽ	NOUN	مئنيجمينٽ
مار	NOUN	مار
ماسٽر	NOUN	ماسٽر
مال	NOUN	مال
مانيءَ	NOUN	مانيءَ
متاع	NOUN	متاع
متعلق	NOUN	متعلق
محلي	NOUN	محلي
مختص	NOUN	مختص
مرزا	NOUN	مرزا
مريد	NOUN	مريد
مزو	NOUN	مزو
مستحڪم	NOUN	مستحڪم
مستي	NOUN	مستي
مسلسل	NOUN	مسلسل
مشروط	NOUN	مشروط
مصيبت	NOUN	مصيبت
مطمئن	NOUN	مطمئو
معجزو	NOUN	معجزو
معززين	NOUN	معززي
مـوتي	NOUN	مـوتي
مقابلو	NOUN	مقابلو
مقاصد	NOUN	مقاصد
مقدس	NOUN	مقدس
مقرري	NOUN	مقرري
ملازمن	NOUN	ملازم
ملتوي	NOUN	ملتوي
مملڪت	NOUN	مملڪت
من	NOUN	من
مندر	NOUN	مندر
منصوبا	NOUN	منصوبا
منصوبي	NOUN	منصوبو
منٿون	NOUN	منٿون
مهر	NOUN	مهر
مهم	NOUN	مهم
موتي	NOUN	موتي
موج	NOUN	موج
موٽرون	NOUN	موٽرون
موچي	NOUN	موچي
مياڻي	NOUN	مياڻي
ميثاق	NOUN	ميثاق
ميراڻي	NOUN	ميراڻي
ميٽر	NOUN	ميٽر
مَنهن	NOUN	مَنهن
مٿاهيون	NOUN	مٿانھ
مڏ	NOUN	مڏ
ناليون	NOUN	نالي
ناچ	NOUN	ناچ
نثار	NOUN	نثار
نجات	NOUN	نجات
نظرداري	NOUN	نظرداري
نـَـر	NOUN	نـَـر
نندو	NOUN	نندو
نندواڻي	NOUN	نندواڻو
نون	NOUN	نئون
نيرو	NOUN	نيرو
نيروٽيءَ	NOUN	نيروٽيءَ
نيشنل	NOUN	نيشنل
نيڪال	NOUN	نيڪال
هائوڪار	NOUN	هائوڪار
هاريءَ	NOUN	هاريءَ
هراس	NOUN	هراس
هرن	NOUN	هر
هـُـرلي	NOUN	هـُـرلي
همايون	NOUN	همايون
همدردي	NOUN	همدردي
هنبوڇيءَ	NOUN	هنبوڇيءَ
هنڌان	NOUN	هنڌي
هوم	NOUN	هوم
هونئن	NOUN	هونئن
هيرا	NOUN	هيرو
هيري	NOUN	هيري
هيليڪاپٽرن	NOUN	هيليڪاپٽرن
هيٺاهيون	NOUN	هيٺ
هيڏانهن	NOUN	هيڏانهن
هڪٻئي	NOUN	هڪٻ
واجهه	NOUN	واجهه
وارننگ	NOUN	وارننگ
واريءَ	NOUN	واريءَ
وزيرن	NOUN	وزير
وسيلن	NOUN	وسيلو
وسڪارو	NOUN	وسڪارو
وهڪرن	NOUN	وهڪرو
وهڪرو	NOUN	وهڪرو
ويٺا	NOUN	ويٺو
وٿين	NOUN	وٿي
وک	NOUN	وک
وڪوڙي	NOUN	وڪوڙ
ٺڪاءُ	NOUN	ٺڪاءُ
ٻاهرين	NOUN	ٻاهرين
ٻوهي	NOUN	ٻوهي
ٻوٽي	NOUN	ٻوٽي
ٻيلو	NOUN	ٻيلو
ٻيلي	NOUN	ٻيلي
ٻيو	NOUN	ٻيو
ٻيڙيون	NOUN	ٻيڙي
ٻچڙن	NOUN	ٻچڙو
ٻگي	NOUN	ٻگو
ٽئين	NOUN	ٽئين
ٽاهه	NOUN	ٽاهه
ٽنڊي	NOUN	ٽنڊي
ٽوڙي	NOUN	ٽوڙ
ٽيڪنيڪل	NOUN	ٽيڪنيڪل
ٽِڪار	NOUN	ٽِڪار
ٽٻي	NOUN	ٽٻي
ٽٻيون	NOUN	ٽٻي
ٽپ	NOUN	ٽپ
ٽڪي	NOUN	ٽڪي
ٽڻ	NOUN	ٽڻ
پارٽيون	NOUN	پارٽيون
پاسو	NOUN	پاسو
پانڌي	NOUN	پانڌي
پاٻوڙي	NOUN	پاٻوڙو
پاڙن	NOUN	پاڙو
پاڳارو	NOUN	پاڳارو
پتافي	NOUN	پتافي
پختونخوا	NOUN	پختونخوا
پرنسپل	NOUN	پرنسپل
پرهه	NOUN	پرهه
پريشر	NOUN	پريشر
پلاڻ	NOUN	پلاڻ
پلرن	NOUN	پلر
پلونگڙا	NOUN	پلونگڙا
پلونگڙو	NOUN	پلونگڙو
پليد	NOUN	پليد
پنهواري	NOUN	پنهواري
پهه	NOUN	پهه
پهچن	NOUN	پهچ
پيارو	NOUN	پيارو
پيتي	NOUN	پيتو
پيج	NOUN	پيج
پيشاب	NOUN	پيشاب
پيڙهه	NOUN	پيڙهه
پٺن	NOUN	پٺ
پڃر	NOUN	پڃر
پڇاڙيءَ	NOUN	پڇاڙي
پکو	NOUN	پکو
ٿاڻن	NOUN	ٿاڻو
ٿـُـڙ	NOUN	ٿـُـڙ
ڀائر	NOUN	ڀائر
ڀائو	NOUN	ڀائو
ڀائيواري	NOUN	ڀائيواري
ڀاتي	NOUN	ڀاتي
ڀت	NOUN	ڀت
ڀيتن	NOUN	ڀيت
ڀيو	NOUN	ڀيو
ڀيڻ	NOUN	ڀيڻ
ڀڄي	NOUN	ڀڄ
ڀڳ	NOUN	ڀڳ
ڄام	NOUN	ڄام
ڄـُـڪ	NOUN	ڄـُـڪ
ڄڻا	NOUN	ڄڻو
ڄڻو	NOUN	ڄڻو
چاچڙ	NOUN	چاچڙ
چبوترا	NOUN	چبوترا
چـَران	NOUN	چـَر
چـَـهيءَ	NOUN	چـَههي
چـُون	NOUN	چـُ
چنبو	NOUN	چنبو
چندن	NOUN	چندو
چنڻ	NOUN	چن
چونڊن	NOUN	چونڊ
چَهي	NOUN	چَهو
چپن	NOUN	چپو
چڙ	NOUN	چڙ
چڪي	NOUN	چڪو
ڇائي	NOUN	ڇائي
ڇانوڻي	NOUN	ڇانوڻي
ڇند	NOUN	ڇند
ڇوڙ	NOUN	ڇوڙ
ڇيڻي	NOUN	ڇيڻي
ڊزاسٽر	NOUN	ڊزاسٽر
ڊڊيون	NOUN	ڊڊوو
ڍانچو	NOUN	ڍانچو
ڏاچين	NOUN	ڏاچ
ڏاچيون	NOUN	ڏاچ
ڏنل	NOUN	ڏنو
ڏنو	NOUN	ڏنو
ڏنڊا	NOUN	ڏنڊو
ڏنڊن	NOUN	ڏنڊو
ڏنڊو	NOUN	ڏنڊو
ڏهاڪي	NOUN	ڏهاڪو
ڦورو	NOUN	ڦورو
ڦولهڙيان	NOUN	ڦولهڙيون
ڦولهڙيون	NOUN	ڦولهڙ
ڦٽيءَ	NOUN	ڦٽيءَ
کاتا	NOUN	کاتو
کاري	NOUN	کاري
کاهي	NOUN	کاهي
کاڌ	NOUN	کاڌ
کاڌي	NOUN	کاڌي
کرل	NOUN	کرل
کينهوڙي	NOUN	کينهوڙو
کڙيو	NOUN	کڙيو
کک	NOUN	کک
ڪئٽلاگ	NOUN	ڪئٽلاگ
ڪارو	NOUN	ڪارو
ڪالعدم	NOUN	ڪالعدم
ڪامپليڪس	NOUN	ڪامپليڪس
ڪانا	NOUN	ڪانا
ڪانن	NOUN	ڪان
ڪتيءَ	NOUN	ڪتيءَ
ڪرسي	NOUN	ڪرسي
ڪرنٽ	NOUN	ڪرنٽ
ڪرڻي	NOUN	ڪرڻي
ڪـن	NOUN	ڪـن
ڪـَني	NOUN	ڪـَني
ڪـُـڏ	NOUN	ڪـُـڏ
ڪلر	NOUN	ڪلر
ڪلواڙي	NOUN	ڪلواڙي
ڪلوميٽر	NOUN	ڪلوميٽر
ڪلي	NOUN	ڪلي
ڪمن	NOUN	ڪمن
ڪنڌ	NOUN	ڪنڌ
ڪوتاهي	NOUN	ڪوتاهي
ڪورڪمانڊر	NOUN	ڪورڪمانڊر
ڪوڙي	NOUN	ڪوڙو
ڪيهاٽ	NOUN	ڪيهاٽ
ڪيٽي	NOUN	ڪيٽي
ڪپ	NOUN	ڪپ
ڪپڙن	NOUN	ڪپڙ
ڪچا	NOUN	ڪچا
ڪچي	NOUN	ڪچي
ڪڙڪي	NOUN	ڪڙڪي
ڪڪڙين	NOUN	ڪڪڙ
گبلو	NOUN	گبلو
گجڪار	NOUN	گجڪار
گجڪارون	NOUN	گجڪار
گداڙيءَ	NOUN	گداڙيءَ
گدڙن	NOUN	گدڙ
گرڙاٽ	NOUN	گرڙاٽ
گس	NOUN	گس
گندري	NOUN	گندري
گهارن	NOUN	گهار
گهارو	NOUN	گهارو
گهانگهرو	NOUN	گهانگهرو
گهور	NOUN	گهور
گهڻيءَ	NOUN	گهڻيءَ
گور	NOUN	گور
گورننس	NOUN	گورننس
گوڏي	NOUN	گوڏ
گپ	NOUN	گپ
گڏ	NOUN	گڏ
گڏهه	NOUN	گڏهه
ڳالهاء	NOUN	ڳالهاو
ڳولا	NOUN	ڳولا
ڳوٺاڻا	NOUN	ڳوٺاڻو
ڳوڙهه	NOUN	ڳوڙهه
ڳچين	NOUN	ڳچيو
130	NUM	130
175	NUM	175
1947ع	NUM	1947ع
1976ع	NUM	1976ع
1985ع	NUM	1985ع
2005ع	NUM	2005ع
22	NUM	22
238	NUM	238
239	NUM	239
اٺ	NUM	اٺ
هزارين	NUM	هزار
ٻي	NUM	ٻہ
پهريون	NUM	پهريون
ڏيڍ	NUM	ڏيڍ
نا	PART	نا
ڪانه	PART	ڪانه
آء	PRON	آء
اُن	PRON	اُن
توتان	PRON	توتان
توهين	PRON	توهان
تيستائين	PRON	تيستائين
تيڏي	PRON	تيڏي
جا	PRON	جو
جو	PRON	جو
جيستائين	PRON	جيستائين
رسول	PRON	رسول
سين	PRON	سين
هي	PRON	هي
پڇ	PRON	پڇ
ڪٿي	PRON	ڪٿي
آگسٽ	PROPN	آگسٽ
افتخار	PROPN	افتخار
الاسد	PROPN	الاسد
الطاڪيا	PROPN	الطاڪيا
الف	PROPN	الف
الهه	PROPN	الهه
الهيار	PROPN	الهيار
الهڏتي	PROPN	الهڏتي
اولهه	PROPN	اولهه
اوٻاوڙي	PROPN	اوٻاوڙي
اُتر	PROPN	اُتر
اُٻاوڙو	PROPN	اُٻاوڙو
اُٻاوڙي	PROPN	اُٻاوڙي
بائوديرو	PROPN	بائوديرو
باگڙجي	PROPN	باگڙج
بخش	PROPN	بخش
برابر	PROPN	برابر
بسل	PROPN	بسل
بشار	PROPN	بشار
بشارالاسد	PROPN	بشارالاسد
بشام	PROPN	بشام
بلاول	PROPN	بلاول
بچائي	PROPN	بچا
بچل	PROPN	بچل
بگن	PROPN	بگن
توهين	PROPN	توهان
ثاقب	PROPN	ثاقب
حيدر	PROPN	حيدر
خانپور	PROPN	خانپور
خليل	PROPN	خليل
خورشيد	PROPN	خورشيد
خيبر	PROPN	خيبر
دايو	PROPN	دايو
دفر	PROPN	دفر
رمدي	PROPN	رمدي
روهڙيءَ	PROPN	روهڙيءَ
رڪ	PROPN	رڪ
زاهد	PROPN	زاهد
ساڌ	PROPN	ساڌ
سنڌوءَ	PROPN	سنڌوءَ
سيکاٽ	PROPN	سيکاٽ
شاهنواز	PROPN	شاهنواز
شهدادپور	PROPN	شهدادپور
ضياءُ	PROPN	ضياءُ
طاهرزادي	PROPN	طاهرزادو
عاقل	PROPN	عاقل
عبدالرحمان	PROPN	عبدالرحمان
عبدالرزاق	PROPN	عبدالرزاق
عبدالستار	PROPN	عبدالستار
عبدالقيوم	PROPN	عبدالقيوم
عبدالمجيد	PROPN	عبدالمجيد
عثمان	PROPN	عثمان
عزيزان	PROPN	عزيزان
عمرڪوٽ	PROPN	عمرڪوٽ
غوثپور	PROPN	غوثپور
فاضل	PROPN	فاضل
فتح	PROPN	فتح
فرانس	PROPN	فرانس
قائمي	PROPN	قائمي
قادرپور	PROPN	قادرپور
قالو	PROPN	قالو
قربان	PROPN	قربان
لاڙ	PROPN	لاڙ
ماٿيلي	PROPN	ماٿيلي
مبارڪپور	PROPN	مبارڪپور
معشوق	PROPN	معشوق
ممدا	PROPN	ممدا
منڊوديرو	PROPN	منڊوديرو
مولاداد	PROPN	مولاداد
ميرخان	PROPN	ميرخان
نثار	PROPN	نثار
وارهه	PROPN	وارهه
ولي	PROPN	ولي
ٺٽي	PROPN	ٺٽي
ٻنڊي	PROPN	ٻنڊو
پنو	PROPN	پنو
پنوعاقل	PROPN	پنوعاقل
ٿرپارڪر	PROPN	ٿرپارڪر
ڀاڻوٺ	PROPN	ڀاڻوٺ
ڏوڪري	PROPN	ڏوڪرِي
ڪرمپور	PROPN	ڪرمپور
ڪشمور	PROPN	ڪشمور
ڪنڌرا	PROPN	ڪنڌرو
گوهر	PROPN	گوهر
گيمڙو	PROPN	گيمڙو
؛	PUNCT	؛
آزمايون	VERB	آزما
آهيان	VERB	آهي
آيون	VERB	آءي
اينديون	VERB	ايندي
اُٿي	VERB	اُٿ
اٿاري	VERB	اٿار
اٿيئي	VERB	اٿي
اچيـَو	VERB	اچ
بيهاري	VERB	بيهاري
بيهان	VERB	بيهان
بيهجي	VERB	بيهج
بيٺس	VERB	بيٺس
بچائيندو	VERB	بچا
ترس	VERB	ترس
ترسيا	VERB	ترسيو
ته	VERB	ته
تپايو	VERB	تپايو
جهليس	VERB	جهل
رکيائين	VERB	رک
سانڍيو	VERB	سانڍيو
ستل	VERB	ستل
سمجهو	VERB	سمجهو
سمجهيائين	VERB	سمجهي
سمجهين	VERB	سمجه
سنڀالي	VERB	سنڀال
سهڪندي	VERB	سهڪندو
سڏائي	VERB	سڏاءِ
سڏايائين	VERB	سڏڏياءِ
سگهندا	VERB	سگهيدو
سگهندس	VERB	سگهندو
قبول	VERB	قبول
لاهي	VERB	لاهي
لاهيندي	VERB	لاه
لاهڻ	VERB	لاهڻ
لاٿائين	VERB	لاٿائي
لنگهندي	VERB	لنگه
لنگهيون	VERB	لنگه
لٿو	VERB	لٿو
لڙهيا	VERB	لڙهيو
لڙهڻ	VERB	لڙهڻ
لڪل	VERB	لڪو
لڪو	VERB	لڪو
لڪڻ	VERB	لڪڻ
لڳس	VERB	لڳس
لڳـا	VERB	لڳـو
لڳن	VERB	لڳ
ماني	VERB	ماني
متفق	VERB	متفق
ملائيندڙ	VERB	ملائ
مهٽجي	VERB	مهٽجي
موٽي	VERB	موٽي
موڪليا	VERB	موڪليو
موڪلڻ	VERB	موڪل
مٽيل	VERB	مٽيل
نهاري	VERB	نهار
نهاريائين	VERB	نهار
نچن	VERB	نچ
نچندڙ	VERB	نچ
نچي	VERB	نچو
نڪتا	VERB	نڪتو
نڪتو	VERB	نڪتو
نڪتي	VERB	نڪتو
نڪرو	VERB	نڪرو
هجئي	VERB	هجئي
هريل	VERB	هريو
هريو	VERB	هريو
هلائيندڙ	VERB	هلاءِ
هلندس	VERB	هل
هلندو	VERB	هل
هنيائين	VERB	ھڻ
هيس	VERB	هيس
هيو	VERB	هئ
هڪل	VERB	هڪل
ورتائينس	VERB	ورتائ
وري	VERB	وري
وريو	VERB	ور
ورڻ	VERB	ور
وزارتن	VERB	وزارت
ونائين	VERB	وناءِ
وهندو	VERB	وه
وهندڙ	VERB	وهن
وهي	VERB	وهي
ويجهو	VERB	ويجهو
ويندس	VERB	ويندو
ويهارج	VERB	ويهارج
ويهجي	VERB	ويهج
وڃو	VERB	وڃو
وڃين	VERB	وڃ
وچڙندو	VERB	وچڙ
وڌائي	VERB	وڌاءِ
وڌائين	VERB	وڌاءِ
وڌائڻو	VERB	وڌاءِ
وڍي	VERB	وڍي
وڳي	VERB	وڳو
وڳڙو	VERB	وڳڙو
وڻيوَ	VERB	وڻ
ٺاهيا	VERB	ٺاهيو
ٺاهيان	VERB	ٺاه
ٺهندو	VERB	ٺه
ٺهڻ	VERB	ٺه
ٻـُـڌ	VERB	ٻـُـڌ
ٻوٽي	VERB	ٻوٽ
ٻوڙي	VERB	ٻوڙو
ٻڌاءِ	VERB	ٻڌاءِ
ٻڌان	VERB	ٻڌا
ٻڌايس	VERB	ٻڌاءِ
ٻڌايون	VERB	ٻڌا
ٻڌندي	VERB	ٻڌ
ٻڏي	VERB	ٻڏ
ٻڪرين	VERB	ٻڪر
ٽئين	VERB	ٽئا
ٽاريان	VERB	ٽاري
ٽري	VERB	ٽري
ٽنگجي	VERB	ٽنگج
ٽنگيل	VERB	ٽنگيل
ٽهڪندو	VERB	ٽهڪ
ٽٽڻ	VERB	ٽٽ
ٽپن	VERB	ٽپ
ٽپندو	VERB	ٽپ
ٽڪرائجڻ	VERB	ٽڪراءِ
ٽڪراجڻ	VERB	ٽڪراج
ٽڪرايو	VERB	ٽڪرا
پئو	VERB	پئو
